,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,cases_per_100k,deaths_per_100k,death_rate,new_cases,new_cases_per_100k,new_deaths,new_cases_per_100k_ra,new_deaths_ra,active_cases,infected_to_one
45821,2020-03-10,Burlington,New Jersey,34005.0,2,0.0,5,New Jersey,Burlington,445349,0.44908599772313396,0.0,0.0,,,,,,,
45822,2020-03-11,Burlington,New Jersey,34005.0,2,0.0,5,New Jersey,Burlington,445349,0.44908599772313396,0.0,0.0,0.0,0.0,0.0,,,,
45823,2020-03-12,Burlington,New Jersey,34005.0,2,0.0,5,New Jersey,Burlington,445349,0.44908599772313396,0.0,0.0,0.0,0.0,0.0,,,,
45824,2020-03-13,Burlington,New Jersey,34005.0,3,0.0,5,New Jersey,Burlington,445349,0.673628996584701,0.0,0.0,1.0,0.22454299886156703,0.0,,,,
45825,2020-03-14,Burlington,New Jersey,34005.0,3,0.0,5,New Jersey,Burlington,445349,0.673628996584701,0.0,0.0,0.0,0.0,0.0,,,,
45826,2020-03-15,Burlington,New Jersey,34005.0,4,0.0,5,New Jersey,Burlington,445349,0.8981719954462679,0.0,0.0,1.0,0.22454299886156692,0.0,,,,
45827,2020-03-16,Burlington,New Jersey,34005.0,5,0.0,5,New Jersey,Burlington,445349,1.1227149943078352,0.0,0.0,1.0,0.22454299886156726,0.0,,,,
45828,2020-03-17,Burlington,New Jersey,34005.0,5,0.0,5,New Jersey,Burlington,445349,1.1227149943078352,0.0,0.0,0.0,0.0,0.0,0.09623271379781446,0.0,,
45829,2020-03-18,Burlington,New Jersey,34005.0,10,0.0,5,New Jersey,Burlington,445349,2.2454299886156703,0.0,0.0,5.0,1.1227149943078352,0.0,0.25662057012750517,0.0,8.0,13917.156250000002
45830,2020-03-19,Burlington,New Jersey,34005.0,14,0.0,5,New Jersey,Burlington,445349,3.1436019840619376,0.0,0.0,4.0,0.8981719954462672,0.0,0.38493085519125764,0.0,12.0,9278.104166666666
45831,2020-03-20,Burlington,New Jersey,34005.0,17,0.0,5,New Jersey,Burlington,445349,3.817230980646639,0.0,0.0,3.0,0.6736289965847013,0.0,0.449085997723134,0.0,15.0,7422.483333333334
45832,2020-03-21,Burlington,New Jersey,34005.0,20,0.0,5,New Jersey,Burlington,445349,4.490859977231341,0.0,0.0,3.0,0.6736289965847018,0.0,0.5453187115209486,0.0,17.0,6549.25
45833,2020-03-22,Burlington,New Jersey,34005.0,26,0.0,5,New Jersey,Burlington,445349,5.838117970400742,0.0,0.0,6.0,1.3472579931694018,0.0,0.7057065678506392,0.0,23.0,4840.75
45834,2020-03-23,Burlington,New Jersey,34005.0,36,0.0,5,New Jersey,Burlington,445349,8.08354795901641,0.0,0.0,10.0,2.245429988615668,0.0,0.9944047092440822,0.0,32.0,3479.2890625000005
45835,2020-03-24,Burlington,New Jersey,34005.0,42,0.0,5,New Jersey,Burlington,445349,9.430805952185814,0.0,0.0,6.0,1.3472579931694035,0.0,1.1868701368397114,0.0,37.0,3009.1148648648646
45836,2020-03-25,Burlington,New Jersey,34005.0,48,1.0,5,New Jersey,Burlington,445349,10.778063945355216,0.22454299886156698,0.020833333333333332,6.0,1.3472579931694018,0.22454299886156698,1.2189477081056495,0.03207757126593814,43.0,2589.2383720930234
45837,2020-03-26,Burlington,New Jersey,34005.0,64,3.0,5,New Jersey,Burlington,445349,14.370751927140287,0.673628996584701,0.046875,16.0,3.5926879817850708,0.449085997723134,1.6038785632969073,0.09623271379781442,54.0,2061.800925925926
45838,2020-03-27,Burlington,New Jersey,34005.0,88,3.0,5,New Jersey,Burlington,445349,19.759783899817897,0.673628996584701,0.03409090909090909,24.0,5.389031972677611,0.0,2.277507559881608,0.09623271379781442,74.0,1504.5574324324323
45839,2020-03-28,Burlington,New Jersey,34005.0,115,3.0,5,New Jersey,Burlington,445349,25.822444869080204,0.673628996584701,0.02608695652173913,27.0,6.062660969262307,0.0,3.0473692702641233,0.09623271379781442,98.0,1136.094387755102
45840,2020-03-29,Burlington,New Jersey,34005.0,142,3.0,5,New Jersey,Burlington,445349,31.885105838342515,0.673628996584701,0.02112676056338028,27.0,6.062660969262311,0.0,3.7209982668488246,0.09623271379781442,122.0,912.6004098360655
