,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,per_100k,per_100k_ra,new_cases,new_cases_ra
475374,2020-03-30,Torrance,New Mexico,35057.0,3,0,57,New Mexico,Torrance,15461,19.403660824008796,,,
475375,2020-03-31,Torrance,New Mexico,35057.0,3,0,57,New Mexico,Torrance,15461,19.403660824008796,,0.0,
475376,2020-04-01,Torrance,New Mexico,35057.0,3,0,57,New Mexico,Torrance,15461,19.403660824008796,,0.0,
475377,2020-04-02,Torrance,New Mexico,35057.0,3,0,57,New Mexico,Torrance,15461,19.403660824008796,,0.0,
475378,2020-04-03,Torrance,New Mexico,35057.0,3,0,57,New Mexico,Torrance,15461,19.403660824008796,,0.0,
475379,2020-04-04,Torrance,New Mexico,35057.0,6,0,57,New Mexico,Torrance,15461,38.80732164801759,,19.403660824008796,
475380,2020-04-05,Torrance,New Mexico,35057.0,6,0,57,New Mexico,Torrance,15461,38.80732164801759,24.947563916582737,0.0,
475381,2020-04-06,Torrance,New Mexico,35057.0,6,0,57,New Mexico,Torrance,15461,38.80732164801759,27.71951546286971,0.0,2.771951546286971
475382,2020-04-07,Torrance,New Mexico,35057.0,7,0,57,New Mexico,Torrance,15461,45.27520858935386,31.415450857919005,6.467886941336268,3.6959353950492946
475383,2020-04-08,Torrance,New Mexico,35057.0,7,0,57,New Mexico,Torrance,15461,45.27520858935386,35.1113862529683,0.0,3.6959353950492946
475384,2020-04-09,Torrance,New Mexico,35057.0,8,0,57,New Mexico,Torrance,15461,51.74309553069012,39.73130549677992,6.4678869413362605,4.6199192438116174
475385,2020-04-10,Torrance,New Mexico,35057.0,9,0,57,New Mexico,Torrance,15461,58.21098247202639,45.27520858935386,6.467886941336268,5.543903092573942
475386,2020-04-11,Torrance,New Mexico,35057.0,9,0,57,New Mexico,Torrance,15461,58.21098247202639,48.04716013564083,0.0,2.771951546286971
475387,2020-04-12,Torrance,New Mexico,35057.0,10,0,57,New Mexico,Torrance,15461,64.67886941336266,51.743095530690134,6.467886941336275,3.695935395049296
475388,2020-04-13,Torrance,New Mexico,35057.0,10,0,57,New Mexico,Torrance,15461,64.67886941336266,55.43903092573943,0.0,3.695935395049296
475389,2020-04-14,Torrance,New Mexico,35057.0,12,0,57,New Mexico,Torrance,15461,77.61464329603518,60.05895016955105,12.935773882672521,4.6199192438116174
475390,2020-04-15,Torrance,New Mexico,35057.0,12,0,57,New Mexico,Torrance,15461,77.61464329603518,64.67886941336268,0.0,4.6199192438116174
475391,2020-04-16,Torrance,New Mexico,35057.0,12,0,57,New Mexico,Torrance,15461,77.61464329603518,68.37480480841197,0.0,3.6959353950492946
475392,2020-04-17,Torrance,New Mexico,35057.0,12,0,57,New Mexico,Torrance,15461,77.61464329603518,71.14675635469895,0.0,2.771951546286971
475393,2020-04-18,Torrance,New Mexico,35057.0,12,0,57,New Mexico,Torrance,15461,77.61464329603518,73.9187079009859,0.0,2.771951546286971
475394,2020-04-19,Torrance,New Mexico,35057.0,12,0,57,New Mexico,Torrance,15461,77.61464329603518,75.76667559851055,0.0,1.847967697524646
475395,2020-04-20,Torrance,New Mexico,35057.0,13,0,57,New Mexico,Torrance,15461,84.08253023737146,78.5386271447975,6.467886941336275,2.771951546286971
475396,2020-04-21,Torrance,New Mexico,35057.0,13,0,57,New Mexico,Torrance,15461,84.08253023737146,79.46261099355982,0.0,0.923983848762325
475397,2020-04-22,Torrance,New Mexico,35057.0,13,0,57,New Mexico,Torrance,15461,84.08253023737146,80.38659484232214,0.0,0.923983848762325
475398,2020-04-23,Torrance,New Mexico,35057.0,13,0,57,New Mexico,Torrance,15461,84.08253023737146,81.31057869108447,0.0,0.923983848762325
475399,2020-04-24,Torrance,New Mexico,35057.0,13,0,57,New Mexico,Torrance,15461,84.08253023737146,82.23456253984679,0.0,0.923983848762325
475400,2020-04-25,Torrance,New Mexico,35057.0,13,0,57,New Mexico,Torrance,15461,84.08253023737146,83.15854638860911,0.0,0.923983848762325
475401,2020-04-26,Torrance,New Mexico,35057.0,14,0,57,New Mexico,Torrance,15461,90.55041717870772,85.00651408613375,6.4678869413362605,1.847967697524648
475402,2020-04-27,Torrance,New Mexico,35057.0,14,0,57,New Mexico,Torrance,15461,90.55041717870772,85.93049793489607,0.0,0.923983848762323
475403,2020-04-28,Torrance,New Mexico,35057.0,15,0,57,New Mexico,Torrance,15461,97.01830412004398,87.77846563242072,6.4678869413362605,1.847967697524646
475404,2020-04-29,Torrance,New Mexico,35057.0,15,0,57,New Mexico,Torrance,15461,97.01830412004398,89.62643332994536,0.0,1.847967697524646
475405,2020-04-30,Torrance,New Mexico,35057.0,15,0,57,New Mexico,Torrance,15461,97.01830412004398,91.47440102747,0.0,1.847967697524646
475406,2020-05-01,Torrance,New Mexico,35057.0,15,0,57,New Mexico,Torrance,15461,97.01830412004398,93.32236872499463,0.0,1.847967697524646
475407,2020-05-02,Torrance,New Mexico,35057.0,16,0,57,New Mexico,Torrance,15461,103.48619106138024,96.09432027128162,6.4678869413362605,2.7719515462869686
475408,2020-05-03,Torrance,New Mexico,35057.0,16,0,57,New Mexico,Torrance,15461,103.48619106138024,97.94228796880627,0.0,1.847967697524646
475409,2020-05-04,Torrance,New Mexico,35057.0,16,0,57,New Mexico,Torrance,15461,103.48619106138024,99.79025566633094,0.0,1.847967697524646
475410,2020-05-05,Torrance,New Mexico,35057.0,17,0,57,New Mexico,Torrance,15461,109.9540780027165,101.63822336385559,6.4678869413362605,1.847967697524646
475411,2020-05-06,Torrance,New Mexico,35057.0,17,0,57,New Mexico,Torrance,15461,109.9540780027165,103.48619106138024,0.0,1.847967697524646
475412,2020-05-07,Torrance,New Mexico,35057.0,17,1,57,New Mexico,Torrance,15461,109.9540780027165,105.33415875890488,0.0,1.847967697524646
475413,2020-05-08,Torrance,New Mexico,35057.0,17,1,57,New Mexico,Torrance,15461,109.9540780027165,107.18212645642951,0.0,1.847967697524646
475414,2020-05-09,Torrance,New Mexico,35057.0,18,1,57,New Mexico,Torrance,15461,116.42196494405277,109.03009415395415,6.467886941336275,1.847967697524648
475415,2020-05-10,Torrance,New Mexico,35057.0,18,1,57,New Mexico,Torrance,15461,116.42196494405277,110.8780618514788,0.0,1.847967697524648
475416,2020-05-11,Torrance,New Mexico,35057.0,18,1,57,New Mexico,Torrance,15461,116.42196494405277,112.72602954900344,0.0,1.847967697524648
475417,2020-05-12,Torrance,New Mexico,35057.0,19,1,57,New Mexico,Torrance,15461,122.88985188538904,114.57399724652808,6.4678869413362605,1.847967697524648
475418,2020-05-13,Torrance,New Mexico,35057.0,19,1,57,New Mexico,Torrance,15461,122.88985188538904,116.42196494405273,0.0,1.847967697524648
475419,2020-05-14,Torrance,New Mexico,35057.0,19,1,57,New Mexico,Torrance,15461,122.88985188538904,118.26993264157737,0.0,1.847967697524648
475420,2020-05-15,Torrance,New Mexico,35057.0,19,1,57,New Mexico,Torrance,15461,122.88985188538904,120.11790033910201,0.0,1.847967697524648
475421,2020-05-16,Torrance,New Mexico,35057.0,19,1,57,New Mexico,Torrance,15461,122.88985188538904,121.04188418786433,0.0,0.923983848762323
475422,2020-05-17,Torrance,New Mexico,35057.0,19,1,57,New Mexico,Torrance,15461,122.88985188538904,121.96586803662665,0.0,0.923983848762323
475423,2020-05-18,Torrance,New Mexico,35057.0,19,1,57,New Mexico,Torrance,15461,122.88985188538904,122.88985188538898,0.0,0.923983848762323
475424,2020-05-19,Torrance,New Mexico,35057.0,20,1,57,New Mexico,Torrance,15461,129.35773882672532,123.81383573415131,6.467886941336289,0.923983848762327
475425,2020-05-20,Torrance,New Mexico,35057.0,20,1,57,New Mexico,Torrance,15461,129.35773882672532,124.73781958291363,0.0,0.923983848762327
