,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,cases_per_100k,deaths_per_100k,death_rate,new_cases,new_deaths,new_cases_ra,new_deaths_ra
59532,2020-03-12,Dutchess,New York,36027.0,1,0,27,New York,Dutchess,294218,0.33988403156842883,0.0,0.0,,,,
59533,2020-03-13,Dutchess,New York,36027.0,3,0,27,New York,Dutchess,294218,1.0196520947052865,0.0,0.0,0.6797680631368577,0.0,,
59534,2020-03-14,Dutchess,New York,36027.0,4,0,27,New York,Dutchess,294218,1.3595361262737153,0.0,0.0,0.33988403156842883,0.0,,
59535,2020-03-15,Dutchess,New York,36027.0,7,0,27,New York,Dutchess,294218,2.379188220979002,0.0,0.0,1.0196520947052865,0.0,,
59536,2020-03-16,Dutchess,New York,36027.0,10,0,27,New York,Dutchess,294218,3.3988403156842883,0.0,0.0,1.0196520947052865,0.0,,
59537,2020-03-17,Dutchess,New York,36027.0,16,0,27,New York,Dutchess,294218,5.438144505094861,0.0,0.0,2.039304189410573,0.0,,
59538,2020-03-18,Dutchess,New York,36027.0,20,0,27,New York,Dutchess,294218,6.797680631368577,0.0,0.0,1.3595361262737153,0.0,,
59539,2020-03-19,Dutchess,New York,36027.0,31,0,27,New York,Dutchess,294218,10.536404978621293,0.0,0.0,3.7387243472527167,0.0,1.4566458495789807,0.0
59540,2020-03-20,Dutchess,New York,36027.0,36,0,27,New York,Dutchess,294218,12.235825136463438,0.0,0.0,1.6994201578421446,0.0,1.6023104345368786,0.0
59541,2020-03-21,Dutchess,New York,36027.0,49,0,27,New York,Dutchess,294218,16.654317546853015,0.0,0.0,4.418492410389577,0.0,2.184968774368471,0.0
59542,2020-03-22,Dutchess,New York,36027.0,82,0,27,New York,Dutchess,294218,27.87049058861117,0.0,0.0,11.216173041758154,0.0,3.641614623947452,0.0
59543,2020-03-23,Dutchess,New York,36027.0,100,0,27,New York,Dutchess,294218,33.988403156842885,0.0,0.0,6.117912568231716,0.0,4.369937548736942,0.0
59544,2020-03-24,Dutchess,New York,36027.0,124,0,27,New York,Dutchess,294218,42.145619914485174,0.0,0.0,8.157216757642288,0.0,5.24392505848433,0.0
59545,2020-03-25,Dutchess,New York,36027.0,153,0,27,New York,Dutchess,294218,52.00225682996961,0.0,0.0,9.856636915484437,0.0,6.457796599800147,0.0
59546,2020-03-26,Dutchess,New York,36027.0,190,2,27,New York,Dutchess,294218,64.57796599800149,0.6797680631368577,0.010526315789473684,12.575709168031878,0.6797680631368577,7.720223002768599,0.09710972330526538
59547,2020-03-27,Dutchess,New York,36027.0,225,2,27,New York,Dutchess,294218,76.47390710289649,0.6797680631368577,0.008888888888888889,11.895941104895002,0.0,9.17686885234758,0.09710972330526538
59548,2020-03-28,Dutchess,New York,36027.0,262,2,27,New York,Dutchess,294218,89.04961627092835,0.6797680631368577,0.007633587786259542,12.575709168031864,0.0,10.342185532010763,0.09710972330526538
59549,2020-03-29,Dutchess,New York,36027.0,320,2,27,New York,Dutchess,294218,108.76289010189723,0.6797680631368577,0.00625,19.713273830968873,0.0,11.556057073326581,0.09710972330526538
59550,2020-03-30,Dutchess,New York,36027.0,392,3,27,New York,Dutchess,294218,133.23454037482412,1.0196520947052865,0.007653061224489796,24.471650272926894,0.33988403156842883,14.17801960256875,0.14566458495789808
59551,2020-03-31,Dutchess,New York,36027.0,484,4,27,New York,Dutchess,294218,164.50387127911955,1.3595361262737153,0.008264462809917356,31.26933090429543,0.33988403156842883,17.47975019494777,0.19421944661053075
59552,2020-04-01,Dutchess,New York,36027.0,547,5,27,New York,Dutchess,294218,185.9165652679306,1.6994201578421442,0.009140767824497258,21.412693988811043,0.33988403156842883,19.130615491137284,0.24277430826316346
59553,2020-04-02,Dutchess,New York,36027.0,667,9,27,New York,Dutchess,294218,226.70264905614206,3.0589562841158595,0.013493253373313344,40.78608378821147,1.3595361262737153,23.1606690083058,0.33988403156842883
59554,2020-04-03,Dutchess,New York,36027.0,809,9,27,New York,Dutchess,294218,274.96618153885896,3.0589562841158595,0.011124845488257108,48.2635324827169,0.0,28.3560392051375,0.33988403156842883
59555,2020-04-04,Dutchess,New York,36027.0,938,11,27,New York,Dutchess,294218,318.8112216111863,3.738724347252717,0.011727078891257996,43.84504007232732,0.6797680631368577,32.82308647717971,0.43699375487369424
59556,2020-04-05,Dutchess,New York,36027.0,1077,11,27,New York,Dutchess,294218,366.05510199919786,3.738724347252717,0.01021355617455896,47.243880388011576,0.0,36.756030271042945,0.43699375487369424
59557,2020-04-06,Dutchess,New York,36027.0,1189,12,27,New York,Dutchess,294218,404.1221135348619,4.078608378821146,0.010092514718250631,38.06701153566405,0.33988403156842883,38.698224737148244,0.43699375487369424
59558,2020-04-07,Dutchess,New York,36027.0,1249,15,27,New York,Dutchess,294218,424.51515542896766,5.098260473526433,0.01200960768614892,20.39304189410575,1.019652094705287,37.14446916426401,0.5341034781789596
59559,2020-04-08,Dutchess,New York,36027.0,1395,16,27,New York,Dutchess,294218,474.13822403795825,5.438144505094861,0.011469534050179211,49.62306860899059,0.3398840315684284,41.174522681432514,0.5341034781789596
59560,2020-04-09,Dutchess,New York,36027.0,1493,21,27,New York,Dutchess,294218,507.44685913166427,7.137564662937006,0.01406563965170797,33.308635093706016,1.6994201578421446,40.10631572507459,0.5826583398315923
59561,2020-04-10,Dutchess,New York,36027.0,1598,25,27,New York,Dutchess,294218,543.1346824463493,8.497100789210721,0.015644555694618274,35.68782331468503,1.3595361262737153,38.30978584392718,0.776877786442123
59562,2020-04-11,Dutchess,New York,36027.0,1744,27,27,New York,Dutchess,294218,592.7577510553399,9.176868852347578,0.01548165137614679,49.62306860899059,0.6797680631368568,39.135218492021934,0.7768777864421229
59563,2020-04-12,Dutchess,New York,36027.0,1838,30,27,New York,Dutchess,294218,624.7068500227723,10.196520947052866,0.01632208922742111,31.949098967432406,1.0196520947052878,36.950249717653485,0.9225423714000212
59564,2020-04-13,Dutchess,New York,36027.0,1881,37,27,New York,Dutchess,294218,639.3218633802147,12.575709168031869,0.019670388091440724,14.615013357442422,2.379188220979003,33.59996426362182,1.2138715413158174
