,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,per_100k,new_cases,new_cases_ra
240460,2020-03-21,Buncombe,North Carolina,37021.0,1,0,21,North Carolina,Buncombe,261191,0.3828615840515179,,
240461,2020-03-22,Buncombe,North Carolina,37021.0,1,0,21,North Carolina,Buncombe,261191,0.3828615840515179,0.0,
240462,2020-03-23,Buncombe,North Carolina,37021.0,1,0,21,North Carolina,Buncombe,261191,0.3828615840515179,0.0,
240463,2020-03-24,Buncombe,North Carolina,37021.0,5,0,21,North Carolina,Buncombe,261191,1.9143079202575894,1.5314463362060715,
240464,2020-03-25,Buncombe,North Carolina,37021.0,12,0,21,North Carolina,Buncombe,261191,4.594339008618214,2.680031088360625,
240465,2020-03-26,Buncombe,North Carolina,37021.0,15,0,21,North Carolina,Buncombe,261191,5.742923760772768,1.1485847521545534,
240466,2020-03-27,Buncombe,North Carolina,37021.0,15,0,21,North Carolina,Buncombe,261191,5.742923760772768,0.0,
240467,2020-03-28,Buncombe,North Carolina,37021.0,17,0,21,North Carolina,Buncombe,261191,6.5086469288758035,0.7657231681030359,
240468,2020-03-29,Buncombe,North Carolina,37021.0,19,1,21,North Carolina,Buncombe,261191,7.274370096978839,0.7657231681030359,
240469,2020-03-30,Buncombe,North Carolina,37021.0,20,1,21,North Carolina,Buncombe,261191,7.657231681030358,0.3828615840515184,
240470,2020-03-31,Buncombe,North Carolina,37021.0,22,1,21,North Carolina,Buncombe,261191,8.422954849133394,0.7657231681030359,
240471,2020-04-01,Buncombe,North Carolina,37021.0,22,1,21,North Carolina,Buncombe,261191,8.422954849133394,0.0,
240472,2020-04-02,Buncombe,North Carolina,37021.0,22,1,21,North Carolina,Buncombe,261191,8.422954849133394,0.0,
240473,2020-04-03,Buncombe,North Carolina,37021.0,24,1,21,North Carolina,Buncombe,261191,9.188678017236429,0.765723168103035,
240474,2020-04-04,Buncombe,North Carolina,37021.0,27,1,21,North Carolina,Buncombe,261191,10.337262769390982,1.1485847521545534,0.711028656095676
240475,2020-04-05,Buncombe,North Carolina,37021.0,28,1,21,North Carolina,Buncombe,261191,10.7201243534425,0.3828615840515184,0.7383759120993558
240476,2020-04-06,Buncombe,North Carolina,37021.0,31,1,21,North Carolina,Buncombe,261191,11.868709105597054,1.1485847521545534,0.8204176801103954
240477,2020-04-07,Buncombe,North Carolina,37021.0,33,1,21,North Carolina,Buncombe,261191,12.634432273700089,0.765723168103035,0.7657231681030356
240478,2020-04-08,Buncombe,North Carolina,37021.0,33,1,21,North Carolina,Buncombe,261191,12.634432273700089,0.0,0.5742923760772767
240479,2020-04-09,Buncombe,North Carolina,37021.0,34,1,21,North Carolina,Buncombe,261191,13.017293857751607,0.3828615840515184,0.519597864069917
240480,2020-04-10,Buncombe,North Carolina,37021.0,36,2,21,North Carolina,Buncombe,261191,13.783017025854644,0.7657231681030368,0.5742923760772768
240481,2020-04-11,Buncombe,North Carolina,37021.0,36,2,21,North Carolina,Buncombe,261191,13.783017025854644,0.0,0.5195978640699171
240482,2020-04-12,Buncombe,North Carolina,37021.0,36,2,21,North Carolina,Buncombe,261191,13.783017025854644,0.0,0.4649033520625574
240483,2020-04-13,Buncombe,North Carolina,37021.0,36,3,21,North Carolina,Buncombe,261191,13.783017025854644,0.0,0.4375560960588775
240484,2020-04-14,Buncombe,North Carolina,37021.0,37,3,21,North Carolina,Buncombe,261191,14.16587860990616,0.3828615840515166,0.4102088400551976
240485,2020-04-15,Buncombe,North Carolina,37021.0,37,3,21,North Carolina,Buncombe,261191,14.16587860990616,0.0,0.4102088400551976
240486,2020-04-16,Buncombe,North Carolina,37021.0,41,3,21,North Carolina,Buncombe,261191,15.69732494611223,1.53144633620607,0.5195978640699168
240487,2020-04-17,Buncombe,North Carolina,37021.0,42,3,21,North Carolina,Buncombe,261191,16.08018653016375,0.38286158405152015,0.4922506080662372
240488,2020-04-18,Buncombe,North Carolina,37021.0,45,3,21,North Carolina,Buncombe,261191,17.228771282318306,1.1485847521545551,0.49225060806623727
240489,2020-04-19,Buncombe,North Carolina,37021.0,46,3,21,North Carolina,Buncombe,261191,17.61163286636982,0.3828615840515148,0.49225060806623705
240490,2020-04-20,Buncombe,North Carolina,37021.0,45,3,21,North Carolina,Buncombe,261191,17.228771282318306,-0.3828615840515148,0.3828615840515179
240491,2020-04-21,Buncombe,North Carolina,37021.0,46,3,21,North Carolina,Buncombe,261191,17.61163286636982,0.3828615840515148,0.35551432804783784
240492,2020-04-22,Buncombe,North Carolina,37021.0,46,3,21,North Carolina,Buncombe,261191,17.61163286636982,0.0,0.35551432804783784
240493,2020-04-23,Buncombe,North Carolina,37021.0,49,3,21,North Carolina,Buncombe,261191,18.760217618524376,1.1485847521545551,0.41020884005519764
240494,2020-04-24,Buncombe,North Carolina,37021.0,49,3,21,North Carolina,Buncombe,261191,18.760217618524376,0.0,0.35551432804783784
240495,2020-04-25,Buncombe,North Carolina,37021.0,50,3,21,North Carolina,Buncombe,261191,19.14307920257589,0.3828615840515148,0.3828615840515175
240496,2020-04-26,Buncombe,North Carolina,37021.0,51,3,21,North Carolina,Buncombe,261191,19.52594078662741,0.3828615840515184,0.41020884005519737
240497,2020-04-27,Buncombe,North Carolina,37021.0,51,3,21,North Carolina,Buncombe,261191,19.52594078662741,0.0,0.41020884005519737
240498,2020-04-28,Buncombe,North Carolina,37021.0,53,4,21,North Carolina,Buncombe,261191,20.291663954730446,0.7657231681030368,0.4375560960588774
240499,2020-04-29,Buncombe,North Carolina,37021.0,54,4,21,North Carolina,Buncombe,261191,20.674525538781964,0.3828615840515184,0.4649033520625573
240500,2020-04-30,Buncombe,North Carolina,37021.0,63,4,21,North Carolina,Buncombe,261191,24.120279795245622,3.4457542564636583,0.6016396320809564
240501,2020-05-01,Buncombe,North Carolina,37021.0,65,4,21,North Carolina,Buncombe,261191,24.88600296334866,0.7657231681030368,0.6289868880846362
240502,2020-05-02,Buncombe,North Carolina,37021.0,72,4,21,North Carolina,Buncombe,261191,27.566034051709288,2.6800310883606286,0.7383759120993557
240503,2020-05-03,Buncombe,North Carolina,37021.0,73,4,21,North Carolina,Buncombe,261191,27.948895635760806,0.3828615840515184,0.7383759120993559
240504,2020-05-04,Buncombe,North Carolina,37021.0,77,4,21,North Carolina,Buncombe,261191,29.480341971966876,1.53144633620607,0.8751121921177549
240505,2020-05-05,Buncombe,North Carolina,37021.0,78,4,21,North Carolina,Buncombe,261191,29.863203556018394,0.3828615840515184,0.8751121921177551
240506,2020-05-06,Buncombe,North Carolina,37021.0,78,4,21,North Carolina,Buncombe,261191,29.863203556018394,0.0,0.8751121921177551
240507,2020-05-07,Buncombe,North Carolina,37021.0,88,4,21,North Carolina,Buncombe,261191,33.691819396533575,3.8286158405151802,1.066542984143514
240508,2020-05-08,Buncombe,North Carolina,37021.0,88,4,21,North Carolina,Buncombe,261191,33.691819396533575,0.0,1.066542984143514
240509,2020-05-09,Buncombe,North Carolina,37021.0,92,4,21,North Carolina,Buncombe,261191,35.22326573273964,1.5314463362060664,1.1485847521545534
240510,2020-05-10,Buncombe,North Carolina,37021.0,100,4,21,North Carolina,Buncombe,261191,38.28615840515178,3.06289267241214,1.340015544180312
240511,2020-05-11,Buncombe,North Carolina,37021.0,101,4,21,North Carolina,Buncombe,261191,38.6690199892033,0.3828615840515184,1.367362800183992
