,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,per_100k,new_cases,new_cases_ra
458884,2020-03-29,Currituck,North Carolina,37053.0,1,0,53,North Carolina,Currituck,27763,3.601916219428736,,
458885,2020-03-30,Currituck,North Carolina,37053.0,1,0,53,North Carolina,Currituck,27763,3.601916219428736,0.0,
458886,2020-03-31,Currituck,North Carolina,37053.0,1,0,53,North Carolina,Currituck,27763,3.601916219428736,0.0,
458887,2020-04-01,Currituck,North Carolina,37053.0,1,0,53,North Carolina,Currituck,27763,3.601916219428736,0.0,
458888,2020-04-02,Currituck,North Carolina,37053.0,2,0,53,North Carolina,Currituck,27763,7.203832438857472,3.601916219428736,
458889,2020-04-03,Currituck,North Carolina,37053.0,2,0,53,North Carolina,Currituck,27763,7.203832438857472,0.0,
458890,2020-04-04,Currituck,North Carolina,37053.0,2,0,53,North Carolina,Currituck,27763,7.203832438857472,0.0,
458891,2020-04-05,Currituck,North Carolina,37053.0,2,0,53,North Carolina,Currituck,27763,7.203832438857472,0.0,
458892,2020-04-06,Currituck,North Carolina,37053.0,2,0,53,North Carolina,Currituck,27763,7.203832438857472,0.0,
458893,2020-04-07,Currituck,North Carolina,37053.0,3,0,53,North Carolina,Currituck,27763,10.805748658286209,3.6019162194287366,
458894,2020-04-08,Currituck,North Carolina,37053.0,3,0,53,North Carolina,Currituck,27763,10.805748658286209,0.0,
458895,2020-04-09,Currituck,North Carolina,37053.0,3,0,53,North Carolina,Currituck,27763,10.805748658286209,0.0,
458896,2020-04-10,Currituck,North Carolina,37053.0,3,0,53,North Carolina,Currituck,27763,10.805748658286209,0.0,
458897,2020-04-11,Currituck,North Carolina,37053.0,3,0,53,North Carolina,Currituck,27763,10.805748658286209,0.0,
458898,2020-04-12,Currituck,North Carolina,37053.0,3,0,53,North Carolina,Currituck,27763,10.805748658286209,0.0,0.5145594599183909
458899,2020-04-13,Currituck,North Carolina,37053.0,3,0,53,North Carolina,Currituck,27763,10.805748658286209,0.0,0.5145594599183909
458900,2020-04-14,Currituck,North Carolina,37053.0,3,0,53,North Carolina,Currituck,27763,10.805748658286209,0.0,0.5145594599183909
458901,2020-04-15,Currituck,North Carolina,37053.0,2,0,53,North Carolina,Currituck,27763,7.203832438857472,-3.6019162194287366,0.25727972995919546
458902,2020-04-16,Currituck,North Carolina,37053.0,2,0,53,North Carolina,Currituck,27763,7.203832438857472,0.0,3.172065784643304e-17
458903,2020-04-17,Currituck,North Carolina,37053.0,2,0,53,North Carolina,Currituck,27763,7.203832438857472,0.0,3.172065784643304e-17
458904,2020-04-18,Currituck,North Carolina,37053.0,2,0,53,North Carolina,Currituck,27763,7.203832438857472,0.0,3.172065784643304e-17
458905,2020-04-19,Currituck,North Carolina,37053.0,2,0,53,North Carolina,Currituck,27763,7.203832438857472,0.0,3.172065784643304e-17
458906,2020-04-20,Currituck,North Carolina,37053.0,2,0,53,North Carolina,Currituck,27763,7.203832438857472,0.0,3.172065784643304e-17
458907,2020-04-21,Currituck,North Carolina,37053.0,2,0,53,North Carolina,Currituck,27763,7.203832438857472,0.0,-0.25727972995919546
458908,2020-04-22,Currituck,North Carolina,37053.0,2,0,53,North Carolina,Currituck,27763,7.203832438857472,0.0,-0.25727972995919546
458909,2020-04-23,Currituck,North Carolina,37053.0,2,0,53,North Carolina,Currituck,27763,7.203832438857472,0.0,-0.25727972995919546
458910,2020-04-24,Currituck,North Carolina,37053.0,2,0,53,North Carolina,Currituck,27763,7.203832438857472,0.0,-0.25727972995919546
458911,2020-04-25,Currituck,North Carolina,37053.0,2,0,53,North Carolina,Currituck,27763,7.203832438857472,0.0,-0.25727972995919546
458912,2020-04-26,Currituck,North Carolina,37053.0,2,0,53,North Carolina,Currituck,27763,7.203832438857472,0.0,-0.25727972995919546
458913,2020-04-27,Currituck,North Carolina,37053.0,2,0,53,North Carolina,Currituck,27763,7.203832438857472,0.0,-0.25727972995919546
458914,2020-04-28,Currituck,North Carolina,37053.0,2,0,53,North Carolina,Currituck,27763,7.203832438857472,0.0,-0.25727972995919546
458915,2020-04-29,Currituck,North Carolina,37053.0,5,0,53,North Carolina,Currituck,27763,18.00958109714368,10.805748658286209,0.7718391898775864
458916,2020-04-30,Currituck,North Carolina,37053.0,5,0,53,North Carolina,Currituck,27763,18.00958109714368,0.0,0.7718391898775864
458917,2020-05-01,Currituck,North Carolina,37053.0,4,0,53,North Carolina,Currituck,27763,14.407664877714945,-3.6019162194287357,0.5145594599183909
458918,2020-05-02,Currituck,North Carolina,37053.0,5,0,53,North Carolina,Currituck,27763,18.00958109714368,3.6019162194287357,0.7718391898775864
458919,2020-05-03,Currituck,North Carolina,37053.0,5,0,53,North Carolina,Currituck,27763,18.00958109714368,0.0,0.7718391898775864
458920,2020-05-04,Currituck,North Carolina,37053.0,5,0,53,North Carolina,Currituck,27763,18.00958109714368,0.0,0.7718391898775864
458921,2020-05-05,Currituck,North Carolina,37053.0,5,0,53,North Carolina,Currituck,27763,18.00958109714368,0.0,0.7718391898775864
458922,2020-05-06,Currituck,North Carolina,37053.0,5,0,53,North Carolina,Currituck,27763,18.00958109714368,0.0,0.7718391898775864
458923,2020-05-07,Currituck,North Carolina,37053.0,7,0,53,North Carolina,Currituck,27763,25.213413536001156,7.203832438857475,1.2863986497959774
458924,2020-05-08,Currituck,North Carolina,37053.0,9,0,53,North Carolina,Currituck,27763,32.41724597485863,7.203832438857475,1.8009581097143685
458925,2020-05-09,Currituck,North Carolina,37053.0,9,0,53,North Carolina,Currituck,27763,32.41724597485863,0.0,1.8009581097143685
458926,2020-05-10,Currituck,North Carolina,37053.0,9,0,53,North Carolina,Currituck,27763,32.41724597485863,0.0,1.8009581097143685
458927,2020-05-11,Currituck,North Carolina,37053.0,9,0,53,North Carolina,Currituck,27763,32.41724597485863,0.0,1.8009581097143685
458928,2020-05-12,Currituck,North Carolina,37053.0,9,0,53,North Carolina,Currituck,27763,32.41724597485863,0.0,1.8009581097143685
458929,2020-05-13,Currituck,North Carolina,37053.0,9,0,53,North Carolina,Currituck,27763,32.41724597485863,0.0,1.029118919836782
458930,2020-05-14,Currituck,North Carolina,37053.0,11,0,53,North Carolina,Currituck,27763,39.6210784137161,7.203832438857468,1.5436783797551727
458931,2020-05-15,Currituck,North Carolina,37053.0,11,0,53,North Carolina,Currituck,27763,39.6210784137161,0.0,1.8009581097143683
458932,2020-05-16,Currituck,North Carolina,37053.0,11,0,53,North Carolina,Currituck,27763,39.6210784137161,0.0,1.5436783797551727
458933,2020-05-17,Currituck,North Carolina,37053.0,11,0,53,North Carolina,Currituck,27763,39.6210784137161,0.0,1.5436783797551727
458934,2020-05-18,Currituck,North Carolina,37053.0,11,0,53,North Carolina,Currituck,27763,39.6210784137161,0.0,1.5436783797551727
458935,2020-05-19,Currituck,North Carolina,37053.0,11,0,53,North Carolina,Currituck,27763,39.6210784137161,0.0,1.5436783797551727
458936,2020-05-20,Currituck,North Carolina,37053.0,11,0,53,North Carolina,Currituck,27763,39.6210784137161,0.0,1.5436783797551727
458937,2020-05-21,Currituck,North Carolina,37053.0,11,0,53,North Carolina,Currituck,27763,39.6210784137161,0.0,1.0291189198367816
458938,2020-05-22,Currituck,North Carolina,37053.0,11,0,53,North Carolina,Currituck,27763,39.6210784137161,0.0,0.5145594599183906
458939,2020-05-23,Currituck,North Carolina,37053.0,11,0,53,North Carolina,Currituck,27763,39.6210784137161,0.0,0.5145594599183906
458940,2020-05-24,Currituck,North Carolina,37053.0,11,0,53,North Carolina,Currituck,27763,39.6210784137161,0.0,0.5145594599183906
458941,2020-05-25,Currituck,North Carolina,37053.0,11,0,53,North Carolina,Currituck,27763,39.6210784137161,0.0,0.5145594599183906
458942,2020-05-26,Currituck,North Carolina,37053.0,11,0,53,North Carolina,Currituck,27763,39.6210784137161,0.0,0.5145594599183906
458943,2020-05-27,Currituck,North Carolina,37053.0,13,0,53,North Carolina,Currituck,27763,46.82491085257357,7.203832438857475,1.0291189198367816
458944,2020-05-28,Currituck,North Carolina,37053.0,13,0,53,North Carolina,Currituck,27763,46.82491085257357,0.0,0.514559459918391
458945,2020-05-29,Currituck,North Carolina,37053.0,13,0,53,North Carolina,Currituck,27763,46.82491085257357,0.0,0.514559459918391
458946,2020-05-30,Currituck,North Carolina,37053.0,13,0,53,North Carolina,Currituck,27763,46.82491085257357,0.0,0.514559459918391
458947,2020-05-31,Currituck,North Carolina,37053.0,13,0,53,North Carolina,Currituck,27763,46.82491085257357,0.0,0.514559459918391
458948,2020-06-01,Currituck,North Carolina,37053.0,14,0,53,North Carolina,Currituck,27763,50.42682707200231,3.6019162194287375,0.7718391898775866
458949,2020-06-02,Currituck,North Carolina,37053.0,14,0,53,North Carolina,Currituck,27763,50.42682707200231,0.0,0.7718391898775866
458950,2020-06-03,Currituck,North Carolina,37053.0,14,0,53,North Carolina,Currituck,27763,50.42682707200231,0.0,0.7718391898775866
458951,2020-06-04,Currituck,North Carolina,37053.0,15,0,53,North Carolina,Currituck,27763,54.02874329143104,3.6019162194287304,1.0291189198367816
458952,2020-06-05,Currituck,North Carolina,37053.0,15,0,53,North Carolina,Currituck,27763,54.02874329143104,0.0,1.0291189198367816
458953,2020-06-06,Currituck,North Carolina,37053.0,15,0,53,North Carolina,Currituck,27763,54.02874329143104,0.0,1.0291189198367816
458954,2020-06-07,Currituck,North Carolina,37053.0,15,0,53,North Carolina,Currituck,27763,54.02874329143104,0.0,1.0291189198367816
458955,2020-06-08,Currituck,North Carolina,37053.0,15,0,53,North Carolina,Currituck,27763,54.02874329143104,0.0,1.0291189198367816
