,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,per_100k,new_cases,new_cases_ra
203811,2020-03-20,Davidson,North Carolina,37057.0,1,0,57,North Carolina,Davidson,167609,0.5966266727920339,,
203812,2020-03-21,Davidson,North Carolina,37057.0,1,0,57,North Carolina,Davidson,167609,0.5966266727920339,0.0,
203813,2020-03-22,Davidson,North Carolina,37057.0,1,0,57,North Carolina,Davidson,167609,0.5966266727920339,0.0,
203814,2020-03-23,Davidson,North Carolina,37057.0,2,0,57,North Carolina,Davidson,167609,1.1932533455840677,0.5966266727920339,
203815,2020-03-24,Davidson,North Carolina,37057.0,2,0,57,North Carolina,Davidson,167609,1.1932533455840677,0.0,
203816,2020-03-25,Davidson,North Carolina,37057.0,2,0,57,North Carolina,Davidson,167609,1.1932533455840677,0.0,
203817,2020-03-26,Davidson,North Carolina,37057.0,3,0,57,North Carolina,Davidson,167609,1.7898800183761014,0.5966266727920337,
203818,2020-03-27,Davidson,North Carolina,37057.0,4,0,57,North Carolina,Davidson,167609,2.3865066911681354,0.596626672792034,
203819,2020-03-28,Davidson,North Carolina,37057.0,14,0,57,North Carolina,Davidson,167609,8.352773419088473,5.966266727920338,
203820,2020-03-29,Davidson,North Carolina,37057.0,16,0,57,North Carolina,Davidson,167609,9.546026764672542,1.1932533455840684,
203821,2020-03-30,Davidson,North Carolina,37057.0,19,0,57,North Carolina,Davidson,167609,11.335906783048644,1.7898800183761026,
203822,2020-03-31,Davidson,North Carolina,37057.0,23,0,57,North Carolina,Davidson,167609,13.722413474216777,2.386506691168133,
203823,2020-04-01,Davidson,North Carolina,37057.0,28,0,57,North Carolina,Davidson,167609,16.705546838176947,2.983133363960169,
203824,2020-04-02,Davidson,North Carolina,37057.0,35,0,57,North Carolina,Davidson,167609,20.881933547721186,4.176386709544239,
203825,2020-04-03,Davidson,North Carolina,37057.0,43,0,57,North Carolina,Davidson,167609,25.654946930057456,4.77301338233627,1.7898800183761019
203826,2020-04-04,Davidson,North Carolina,37057.0,53,0,57,North Carolina,Davidson,167609,31.621213657977794,5.966266727920338,2.216041927513269
203827,2020-04-05,Davidson,North Carolina,37057.0,57,0,57,North Carolina,Davidson,167609,34.00772034914593,2.386506691168133,2.386506691168136
203828,2020-04-06,Davidson,North Carolina,37057.0,63,0,57,North Carolina,Davidson,167609,37.58748038589813,3.579760036752205,2.5995876457367193
203829,2020-04-07,Davidson,North Carolina,37057.0,70,1,57,North Carolina,Davidson,167609,41.76386709544237,4.176386709544239,2.8979009821327364
203830,2020-04-08,Davidson,North Carolina,37057.0,73,1,57,North Carolina,Davidson,167609,43.553747113818474,1.7898800183761026,3.0257495548738866
203831,2020-04-09,Davidson,North Carolina,37057.0,78,2,57,North Carolina,Davidson,167609,46.53688047777864,2.983133363960164,3.196214318528753
203832,2020-04-10,Davidson,North Carolina,37057.0,81,2,57,North Carolina,Davidson,167609,48.32676049615474,1.7898800183761026,3.2814467003561867
203833,2020-04-11,Davidson,North Carolina,37057.0,85,2,57,North Carolina,Davidson,167609,50.71326718732288,2.3865066911681367,3.025749554873886
203834,2020-04-12,Davidson,North Carolina,37057.0,85,2,57,North Carolina,Davidson,167609,50.71326718732288,0.0,2.9405171730464525
203835,2020-04-13,Davidson,North Carolina,37057.0,84,2,57,North Carolina,Davidson,167609,50.11664051453084,-0.5966266727920342,2.7700524093915857
203836,2020-04-14,Davidson,North Carolina,37057.0,86,2,57,North Carolina,Davidson,167609,51.30989386011491,1.1932533455840684,2.6848200275641525
203837,2020-04-15,Davidson,North Carolina,37057.0,87,2,57,North Carolina,Davidson,167609,51.906520532906946,0.5966266727920342,2.514355263909285
203838,2020-04-16,Davidson,North Carolina,37057.0,91,2,57,North Carolina,Davidson,167609,54.29302722407508,2.3865066911681367,2.3865066911681354
203839,2020-04-17,Davidson,North Carolina,37057.0,94,2,57,North Carolina,Davidson,167609,56.08290724245118,1.7898800183760954,2.1734257365995515
203840,2020-04-18,Davidson,North Carolina,37057.0,94,2,57,North Carolina,Davidson,167609,56.08290724245118,0.0,1.7472638274623844
203841,2020-04-19,Davidson,North Carolina,37057.0,94,2,57,North Carolina,Davidson,167609,56.08290724245118,0.0,1.5767990638075176
203842,2020-04-20,Davidson,North Carolina,37057.0,94,2,57,North Carolina,Davidson,167609,56.08290724245118,0.0,1.3211019183252173
203843,2020-04-21,Davidson,North Carolina,37057.0,96,2,57,North Carolina,Davidson,167609,57.276160588035246,1.1932533455840684,1.1080209637566336
203844,2020-04-22,Davidson,North Carolina,37057.0,103,2,57,North Carolina,Davidson,167609,61.45254729757948,4.176386709544232,1.2784857274115
203845,2020-04-23,Davidson,North Carolina,37057.0,107,2,57,North Carolina,Davidson,167609,63.839053988747615,2.3865066911681367,1.2358695364977839
203846,2020-04-24,Davidson,North Carolina,37057.0,113,2,57,North Carolina,Davidson,167609,67.41881402549981,3.579760036752198,1.3637181092389334
203847,2020-04-25,Davidson,North Carolina,37057.0,120,4,57,North Carolina,Davidson,167609,71.59520073504406,4.176386709544246,1.4915666819800841
203848,2020-04-26,Davidson,North Carolina,37057.0,156,4,57,North Carolina,Davidson,167609,93.07376095555728,21.478560220513216,3.0257495548738853
203849,2020-04-27,Davidson,North Carolina,37057.0,155,4,57,North Carolina,Davidson,167609,92.47713428276525,-0.5966266727920271,3.0257495548738857
203850,2020-04-28,Davidson,North Carolina,37057.0,166,5,57,North Carolina,Davidson,167609,99.04002768347762,6.562893400712369,3.4092952730973356
203851,2020-04-29,Davidson,North Carolina,37057.0,160,7,57,North Carolina,Davidson,167609,95.46026764672541,-3.579760036752205,3.1109819367013185
203852,2020-04-30,Davidson,North Carolina,37057.0,163,7,57,North Carolina,Davidson,167609,97.25014766510152,1.7898800183761097,3.0683657457876023
203853,2020-05-01,Davidson,North Carolina,37057.0,166,8,57,North Carolina,Davidson,167609,99.04002768347762,1.7898800183760954,3.0683657457876023
203854,2020-05-02,Davidson,North Carolina,37057.0,180,8,57,North Carolina,Davidson,167609,107.39280110256608,8.352773419088464,3.6649924185796356
203855,2020-05-03,Davidson,North Carolina,37057.0,179,8,57,North Carolina,Davidson,167609,106.79617442977406,-0.5966266727920271,3.6223762276659195
203856,2020-05-04,Davidson,North Carolina,37057.0,179,10,57,North Carolina,Davidson,167609,106.79617442977406,0.0,3.6223762276659195
203857,2020-05-05,Davidson,North Carolina,37057.0,183,10,57,North Carolina,Davidson,167609,109.18268112094219,2.3865066911681367,3.7076086094933527
203858,2020-05-06,Davidson,North Carolina,37057.0,186,10,57,North Carolina,Davidson,167609,110.9725611393183,1.7898800183761097,3.5371438458384867
203859,2020-05-07,Davidson,North Carolina,37057.0,191,10,57,North Carolina,Davidson,167609,113.95569450327845,2.9831333639601496,3.579760036752202
203860,2020-05-08,Davidson,North Carolina,37057.0,199,10,57,North Carolina,Davidson,167609,118.72870788561472,4.7730133823362735,3.664992418579636
203861,2020-05-09,Davidson,North Carolina,37057.0,201,10,57,North Carolina,Davidson,167609,119.92196123119881,1.1932533455840826,3.451911464011053
203862,2020-05-10,Davidson,North Carolina,37057.0,202,10,57,North Carolina,Davidson,167609,120.51858790399085,0.5966266727920413,1.960344782030969
203863,2020-05-11,Davidson,North Carolina,37057.0,205,10,57,North Carolina,Davidson,167609,122.30846792236694,1.7898800183760954,2.130809545685835
203864,2020-05-12,Davidson,North Carolina,37057.0,227,10,57,North Carolina,Davidson,167609,135.43425472379167,13.125786801424724,2.5995876457367175
203865,2020-05-13,Davidson,North Carolina,37057.0,232,10,57,North Carolina,Davidson,167609,138.41738808775185,2.983133363960178,3.068365745787602
203866,2020-05-14,Davidson,North Carolina,37057.0,243,10,57,North Carolina,Davidson,167609,144.98028148846421,6.562893400712369,3.4092952730973347
203867,2020-05-15,Davidson,North Carolina,37057.0,255,10,57,North Carolina,Davidson,167609,152.13980156196862,7.15952007350441,3.792840991320786
203868,2020-05-16,Davidson,North Carolina,37057.0,274,10,57,North Carolina,Davidson,167609,163.47570834501727,11.335906783048642,4.005921945889369
203869,2020-05-17,Davidson,North Carolina,37057.0,288,10,57,North Carolina,Davidson,167609,171.82848176410576,8.352773419088493,4.645164809595121
203870,2020-05-18,Davidson,North Carolina,37057.0,293,10,57,North Carolina,Davidson,167609,174.8116151280659,2.9831333639601496,4.858245764163703
203871,2020-05-19,Davidson,North Carolina,37057.0,306,11,57,North Carolina,Davidson,167609,182.56776187436236,7.7561467462964515,5.241791482387154
203872,2020-05-20,Davidson,North Carolina,37057.0,314,11,57,North Carolina,Davidson,167609,187.34077525669863,4.7730133823362735,5.454872436955737
203873,2020-05-21,Davidson,North Carolina,37057.0,323,11,57,North Carolina,Davidson,167609,192.71041531182695,5.369640055128315,5.625337200610606
203874,2020-05-22,Davidson,North Carolina,37057.0,332,11,57,North Carolina,Davidson,167609,198.08005536695524,5.369640055128286,5.667953391524321
203875,2020-05-23,Davidson,North Carolina,37057.0,345,11,57,North Carolina,Davidson,167609,205.8362021132517,7.7561467462964515,6.136731491575205
203876,2020-05-24,Davidson,North Carolina,37057.0,352,11,57,North Carolina,Davidson,167609,210.01258882279592,4.176386709544232,6.392428637057504
203877,2020-05-25,Davidson,North Carolina,37057.0,361,11,57,North Carolina,Davidson,167609,215.3822288779242,5.369640055128286,6.648125782539803
203878,2020-05-26,Davidson,North Carolina,37057.0,361,11,57,North Carolina,Davidson,167609,215.3822288779242,0.0,5.710569582438038
203879,2020-05-27,Davidson,North Carolina,37057.0,361,11,57,North Carolina,Davidson,167609,215.3822288779242,0.0,5.497488627869453
203880,2020-05-28,Davidson,North Carolina,37057.0,368,12,57,North Carolina,Davidson,167609,219.55861558746844,4.176386709544232,5.327023864214587
203881,2020-05-29,Davidson,North Carolina,37057.0,385,12,57,North Carolina,Davidson,167609,229.701269024933,10.14265343746456,5.540104818783169
203882,2020-05-30,Davidson,North Carolina,37057.0,398,13,57,North Carolina,Davidson,167609,237.45741577122945,7.7561467462964515,5.284407673300869
203883,2020-05-31,Davidson,North Carolina,37057.0,413,13,57,North Carolina,Davidson,167609,246.40681586310998,8.949400091880534,5.327023864214587
203884,2020-06-01,Davidson,North Carolina,37057.0,430,13,57,North Carolina,Davidson,167609,256.5494693005745,10.142653437464531,5.838418155179185
203885,2020-06-02,Davidson,North Carolina,37057.0,434,13,57,North Carolina,Davidson,167609,258.9359759917427,2.386506691168165,5.454872436955736
203886,2020-06-03,Davidson,North Carolina,37057.0,446,13,57,North Carolina,Davidson,167609,266.09549606524706,7.159520073504382,5.625337200610601
203887,2020-06-04,Davidson,North Carolina,37057.0,477,13,57,North Carolina,Davidson,167609,284.59092292180014,18.49542685655308,6.56289340071237
