,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,cases_per_100k,deaths_per_100k,death_rate,new_cases,new_cases_per_100k,new_deaths,new_cases_per_100k_ra,new_deaths_ra,active_cases,infected_to_one
844957,2020-06-02,Dickey,North Dakota,38021.0,1,0.0,21,North Dakota,Dickey,4872,20.525451559934318,0.0,0.0,,,,,,,
844958,2020-06-03,Dickey,North Dakota,38021.0,1,0.0,21,North Dakota,Dickey,4872,20.525451559934318,0.0,0.0,0.0,0.0,0.0,,,,
844959,2020-06-04,Dickey,North Dakota,38021.0,1,0.0,21,North Dakota,Dickey,4872,20.525451559934318,0.0,0.0,0.0,0.0,0.0,,,,
844960,2020-06-05,Dickey,North Dakota,38021.0,1,0.0,21,North Dakota,Dickey,4872,20.525451559934318,0.0,0.0,0.0,0.0,0.0,,,,
844961,2020-06-06,Dickey,North Dakota,38021.0,1,0.0,21,North Dakota,Dickey,4872,20.525451559934318,0.0,0.0,0.0,0.0,0.0,,,,
844962,2020-06-07,Dickey,North Dakota,38021.0,1,0.0,21,North Dakota,Dickey,4872,20.525451559934318,0.0,0.0,0.0,0.0,0.0,,,,
844963,2020-06-08,Dickey,North Dakota,38021.0,1,0.0,21,North Dakota,Dickey,4872,20.525451559934318,0.0,0.0,0.0,0.0,0.0,,,,
844964,2020-06-09,Dickey,North Dakota,38021.0,1,0.0,21,North Dakota,Dickey,4872,20.525451559934318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
844965,2020-06-10,Dickey,North Dakota,38021.0,1,0.0,21,North Dakota,Dickey,4872,20.525451559934318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
844966,2020-06-11,Dickey,North Dakota,38021.0,2,0.0,21,North Dakota,Dickey,4872,41.050903119868636,0.0,0.0,1.0,20.525451559934318,0.0,2.9322073657049024,0.0,1.0,1218.0
844967,2020-06-12,Dickey,North Dakota,38021.0,2,0.0,21,North Dakota,Dickey,4872,41.050903119868636,0.0,0.0,0.0,0.0,0.0,2.9322073657049024,0.0,1.0,1218.0
844968,2020-06-13,Dickey,North Dakota,38021.0,3,0.0,21,North Dakota,Dickey,4872,61.576354679802954,0.0,0.0,1.0,20.525451559934318,0.0,5.864414731409805,0.0,2.0,609.0
844969,2020-06-14,Dickey,North Dakota,38021.0,3,0.0,21,North Dakota,Dickey,4872,61.576354679802954,0.0,0.0,0.0,0.0,0.0,5.864414731409805,0.0,2.0,609.0
844970,2020-06-15,Dickey,North Dakota,38021.0,3,0.0,21,North Dakota,Dickey,4872,61.576354679802954,0.0,0.0,0.0,0.0,0.0,5.864414731409805,0.0,2.0,609.0
844971,2020-06-16,Dickey,North Dakota,38021.0,3,0.0,21,North Dakota,Dickey,4872,61.576354679802954,0.0,0.0,0.0,0.0,0.0,5.864414731409805,0.0,2.0,609.0
844972,2020-06-17,Dickey,North Dakota,38021.0,3,0.0,21,North Dakota,Dickey,4872,61.576354679802954,0.0,0.0,0.0,0.0,0.0,5.864414731409805,0.0,2.0,609.0
844973,2020-06-18,Dickey,North Dakota,38021.0,3,0.0,21,North Dakota,Dickey,4872,61.576354679802954,0.0,0.0,0.0,0.0,0.0,2.9322073657049024,0.0,2.0,609.0
844974,2020-06-19,Dickey,North Dakota,38021.0,4,0.0,21,North Dakota,Dickey,4872,82.10180623973727,0.0,0.0,1.0,20.525451559934318,0.0,5.864414731409805,0.0,2.0,609.0
844975,2020-06-20,Dickey,North Dakota,38021.0,4,0.0,21,North Dakota,Dickey,4872,82.10180623973727,0.0,0.0,0.0,0.0,0.0,2.9322073657049024,0.0,2.0,609.0
844976,2020-06-21,Dickey,North Dakota,38021.0,4,0.0,21,North Dakota,Dickey,4872,82.10180623973727,0.0,0.0,0.0,0.0,0.0,2.9322073657049024,0.0,1.0,1218.0
844977,2020-06-22,Dickey,North Dakota,38021.0,4,0.0,21,North Dakota,Dickey,4872,82.10180623973727,0.0,0.0,0.0,0.0,0.0,2.9322073657049024,0.0,1.0,1218.0
844978,2020-06-23,Dickey,North Dakota,38021.0,4,0.0,21,North Dakota,Dickey,4872,82.10180623973727,0.0,0.0,0.0,0.0,0.0,2.9322073657049024,0.0,1.0,1218.0
