,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,cases_per_100k,deaths_per_100k,death_rate,new_cases,new_deaths,new_cases_ra,new_deaths_ra
444502,2020-03-28,McLean,North Dakota,38055.0,2,0,55,North Dakota,McLean,9450,21.164021164021165,0.0,0.0,,,,
444503,2020-03-29,McLean,North Dakota,38055.0,2,0,55,North Dakota,McLean,9450,21.164021164021165,0.0,0.0,0.0,0.0,,
444504,2020-03-30,McLean,North Dakota,38055.0,2,0,55,North Dakota,McLean,9450,21.164021164021165,0.0,0.0,0.0,0.0,,
444505,2020-03-31,McLean,North Dakota,38055.0,2,0,55,North Dakota,McLean,9450,21.164021164021165,0.0,0.0,0.0,0.0,,
444506,2020-04-01,McLean,North Dakota,38055.0,2,0,55,North Dakota,McLean,9450,21.164021164021165,0.0,0.0,0.0,0.0,,
444507,2020-04-02,McLean,North Dakota,38055.0,2,0,55,North Dakota,McLean,9450,21.164021164021165,0.0,0.0,0.0,0.0,,
444508,2020-04-03,McLean,North Dakota,38055.0,2,0,55,North Dakota,McLean,9450,21.164021164021165,0.0,0.0,0.0,0.0,,
444509,2020-04-04,McLean,North Dakota,38055.0,2,0,55,North Dakota,McLean,9450,21.164021164021165,0.0,0.0,0.0,0.0,0.0,0.0
444510,2020-04-05,McLean,North Dakota,38055.0,2,0,55,North Dakota,McLean,9450,21.164021164021165,0.0,0.0,0.0,0.0,0.0,0.0
444511,2020-04-06,McLean,North Dakota,38055.0,2,0,55,North Dakota,McLean,9450,21.164021164021165,0.0,0.0,0.0,0.0,0.0,0.0
444512,2020-04-07,McLean,North Dakota,38055.0,2,0,55,North Dakota,McLean,9450,21.164021164021165,0.0,0.0,0.0,0.0,0.0,0.0
444513,2020-04-08,McLean,North Dakota,38055.0,2,0,55,North Dakota,McLean,9450,21.164021164021165,0.0,0.0,0.0,0.0,0.0,0.0
444514,2020-04-09,McLean,North Dakota,38055.0,2,0,55,North Dakota,McLean,9450,21.164021164021165,0.0,0.0,0.0,0.0,0.0,0.0
444515,2020-04-10,McLean,North Dakota,38055.0,2,0,55,North Dakota,McLean,9450,21.164021164021165,0.0,0.0,0.0,0.0,0.0,0.0
444516,2020-04-11,McLean,North Dakota,38055.0,2,0,55,North Dakota,McLean,9450,21.164021164021165,0.0,0.0,0.0,0.0,0.0,0.0
444517,2020-04-12,McLean,North Dakota,38055.0,2,0,55,North Dakota,McLean,9450,21.164021164021165,0.0,0.0,0.0,0.0,0.0,0.0
444518,2020-04-13,McLean,North Dakota,38055.0,2,0,55,North Dakota,McLean,9450,21.164021164021165,0.0,0.0,0.0,0.0,0.0,0.0
444519,2020-04-14,McLean,North Dakota,38055.0,2,0,55,North Dakota,McLean,9450,21.164021164021165,0.0,0.0,0.0,0.0,0.0,0.0
444520,2020-04-15,McLean,North Dakota,38055.0,3,0,55,North Dakota,McLean,9450,31.746031746031747,0.0,0.0,10.582010582010582,0.0,1.5117157974300832,0.0
444521,2020-04-16,McLean,North Dakota,38055.0,3,0,55,North Dakota,McLean,9450,31.746031746031747,0.0,0.0,0.0,0.0,1.5117157974300832,0.0
444522,2020-04-17,McLean,North Dakota,38055.0,3,0,55,North Dakota,McLean,9450,31.746031746031747,0.0,0.0,0.0,0.0,1.5117157974300832,0.0
444523,2020-04-18,McLean,North Dakota,38055.0,3,0,55,North Dakota,McLean,9450,31.746031746031747,0.0,0.0,0.0,0.0,1.5117157974300832,0.0
444524,2020-04-19,McLean,North Dakota,38055.0,3,0,55,North Dakota,McLean,9450,31.746031746031747,0.0,0.0,0.0,0.0,1.5117157974300832,0.0
444525,2020-04-20,McLean,North Dakota,38055.0,3,0,55,North Dakota,McLean,9450,31.746031746031747,0.0,0.0,0.0,0.0,1.5117157974300832,0.0
444526,2020-04-21,McLean,North Dakota,38055.0,3,0,55,North Dakota,McLean,9450,31.746031746031747,0.0,0.0,0.0,0.0,1.5117157974300832,0.0
444527,2020-04-22,McLean,North Dakota,38055.0,3,0,55,North Dakota,McLean,9450,31.746031746031747,0.0,0.0,0.0,0.0,0.0,0.0
444528,2020-04-23,McLean,North Dakota,38055.0,3,0,55,North Dakota,McLean,9450,31.746031746031747,0.0,0.0,0.0,0.0,0.0,0.0
444529,2020-04-24,McLean,North Dakota,38055.0,3,0,55,North Dakota,McLean,9450,31.746031746031747,0.0,0.0,0.0,0.0,0.0,0.0
444530,2020-04-25,McLean,North Dakota,38055.0,3,0,55,North Dakota,McLean,9450,31.746031746031747,0.0,0.0,0.0,0.0,0.0,0.0
444531,2020-04-26,McLean,North Dakota,38055.0,3,0,55,North Dakota,McLean,9450,31.746031746031747,0.0,0.0,0.0,0.0,0.0,0.0
444532,2020-04-27,McLean,North Dakota,38055.0,3,0,55,North Dakota,McLean,9450,31.746031746031747,0.0,0.0,0.0,0.0,0.0,0.0
444533,2020-04-28,McLean,North Dakota,38055.0,3,0,55,North Dakota,McLean,9450,31.746031746031747,0.0,0.0,0.0,0.0,0.0,0.0
444534,2020-04-29,McLean,North Dakota,38055.0,3,0,55,North Dakota,McLean,9450,31.746031746031747,0.0,0.0,0.0,0.0,0.0,0.0
444535,2020-04-30,McLean,North Dakota,38055.0,3,0,55,North Dakota,McLean,9450,31.746031746031747,0.0,0.0,0.0,0.0,0.0,0.0
444536,2020-05-01,McLean,North Dakota,38055.0,3,0,55,North Dakota,McLean,9450,31.746031746031747,0.0,0.0,0.0,0.0,0.0,0.0
444537,2020-05-02,McLean,North Dakota,38055.0,5,0,55,North Dakota,McLean,9450,52.91005291005291,0.0,0.0,21.164021164021165,0.0,3.0234315948601664,0.0
444538,2020-05-03,McLean,North Dakota,38055.0,5,0,55,North Dakota,McLean,9450,52.91005291005291,0.0,0.0,0.0,0.0,3.0234315948601664,0.0
444539,2020-05-04,McLean,North Dakota,38055.0,5,0,55,North Dakota,McLean,9450,52.91005291005291,0.0,0.0,0.0,0.0,3.0234315948601664,0.0
444540,2020-05-05,McLean,North Dakota,38055.0,5,0,55,North Dakota,McLean,9450,52.91005291005291,0.0,0.0,0.0,0.0,3.0234315948601664,0.0
444541,2020-05-06,McLean,North Dakota,38055.0,5,0,55,North Dakota,McLean,9450,52.91005291005291,0.0,0.0,0.0,0.0,3.0234315948601664,0.0
444542,2020-05-07,McLean,North Dakota,38055.0,5,0,55,North Dakota,McLean,9450,52.91005291005291,0.0,0.0,0.0,0.0,3.0234315948601664,0.0
444543,2020-05-08,McLean,North Dakota,38055.0,5,0,55,North Dakota,McLean,9450,52.91005291005291,0.0,0.0,0.0,0.0,3.0234315948601664,0.0
444544,2020-05-09,McLean,North Dakota,38055.0,5,0,55,North Dakota,McLean,9450,52.91005291005291,0.0,0.0,0.0,0.0,0.0,0.0
444545,2020-05-10,McLean,North Dakota,38055.0,5,0,55,North Dakota,McLean,9450,52.91005291005291,0.0,0.0,0.0,0.0,0.0,0.0
444546,2020-05-11,McLean,North Dakota,38055.0,5,0,55,North Dakota,McLean,9450,52.91005291005291,0.0,0.0,0.0,0.0,0.0,0.0
444547,2020-05-12,McLean,North Dakota,38055.0,5,0,55,North Dakota,McLean,9450,52.91005291005291,0.0,0.0,0.0,0.0,0.0,0.0
444548,2020-05-13,McLean,North Dakota,38055.0,5,0,55,North Dakota,McLean,9450,52.91005291005291,0.0,0.0,0.0,0.0,0.0,0.0
444549,2020-05-14,McLean,North Dakota,38055.0,5,0,55,North Dakota,McLean,9450,52.91005291005291,0.0,0.0,0.0,0.0,0.0,0.0
444550,2020-05-15,McLean,North Dakota,38055.0,5,0,55,North Dakota,McLean,9450,52.91005291005291,0.0,0.0,0.0,0.0,0.0,0.0
444551,2020-05-16,McLean,North Dakota,38055.0,5,0,55,North Dakota,McLean,9450,52.91005291005291,0.0,0.0,0.0,0.0,0.0,0.0
444552,2020-05-17,McLean,North Dakota,38055.0,6,0,55,North Dakota,McLean,9450,63.492063492063494,0.0,0.0,10.582010582010582,0.0,1.5117157974300832,0.0
444553,2020-05-18,McLean,North Dakota,38055.0,6,0,55,North Dakota,McLean,9450,63.492063492063494,0.0,0.0,0.0,0.0,1.5117157974300832,0.0
444554,2020-05-19,McLean,North Dakota,38055.0,7,0,55,North Dakota,McLean,9450,74.07407407407408,0.0,0.0,10.582010582010582,0.0,3.0234315948601664,0.0
444555,2020-05-20,McLean,North Dakota,38055.0,7,0,55,North Dakota,McLean,9450,74.07407407407408,0.0,0.0,0.0,0.0,3.0234315948601664,0.0
444556,2020-05-21,McLean,North Dakota,38055.0,7,0,55,North Dakota,McLean,9450,74.07407407407408,0.0,0.0,0.0,0.0,3.0234315948601664,0.0
444557,2020-05-22,McLean,North Dakota,38055.0,7,0,55,North Dakota,McLean,9450,74.07407407407408,0.0,0.0,0.0,0.0,3.0234315948601664,0.0
444558,2020-05-23,McLean,North Dakota,38055.0,7,0,55,North Dakota,McLean,9450,74.07407407407408,0.0,0.0,0.0,0.0,3.0234315948601664,0.0
444559,2020-05-24,McLean,North Dakota,38055.0,7,0,55,North Dakota,McLean,9450,74.07407407407408,0.0,0.0,0.0,0.0,1.5117157974300832,0.0
444560,2020-05-25,McLean,North Dakota,38055.0,7,0,55,North Dakota,McLean,9450,74.07407407407408,0.0,0.0,0.0,0.0,1.5117157974300832,0.0
444561,2020-05-26,McLean,North Dakota,38055.0,7,0,55,North Dakota,McLean,9450,74.07407407407408,0.0,0.0,0.0,0.0,0.0,0.0
444562,2020-05-27,McLean,North Dakota,38055.0,7,0,55,North Dakota,McLean,9450,74.07407407407408,0.0,0.0,0.0,0.0,0.0,0.0
444563,2020-05-28,McLean,North Dakota,38055.0,7,0,55,North Dakota,McLean,9450,74.07407407407408,0.0,0.0,0.0,0.0,0.0,0.0
444564,2020-05-29,McLean,North Dakota,38055.0,7,0,55,North Dakota,McLean,9450,74.07407407407408,0.0,0.0,0.0,0.0,0.0,0.0
444565,2020-05-30,McLean,North Dakota,38055.0,7,0,55,North Dakota,McLean,9450,74.07407407407408,0.0,0.0,0.0,0.0,0.0,0.0
444566,2020-05-31,McLean,North Dakota,38055.0,7,0,55,North Dakota,McLean,9450,74.07407407407408,0.0,0.0,0.0,0.0,0.0,0.0
444567,2020-06-01,McLean,North Dakota,38055.0,7,0,55,North Dakota,McLean,9450,74.07407407407408,0.0,0.0,0.0,0.0,0.0,0.0
444568,2020-06-02,McLean,North Dakota,38055.0,7,0,55,North Dakota,McLean,9450,74.07407407407408,0.0,0.0,0.0,0.0,0.0,0.0
444569,2020-06-03,McLean,North Dakota,38055.0,7,0,55,North Dakota,McLean,9450,74.07407407407408,0.0,0.0,0.0,0.0,0.0,0.0
444570,2020-06-04,McLean,North Dakota,38055.0,7,0,55,North Dakota,McLean,9450,74.07407407407408,0.0,0.0,0.0,0.0,0.0,0.0
444571,2020-06-05,McLean,North Dakota,38055.0,7,0,55,North Dakota,McLean,9450,74.07407407407408,0.0,0.0,0.0,0.0,0.0,0.0
