,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,per_100k,new_cases,new_cases_ra
647635,2020-04-25,Pembina,North Dakota,38067.0,1,0,67,North Dakota,Pembina,6801,14.703720041170417,,
647636,2020-04-26,Pembina,North Dakota,38067.0,1,0,67,North Dakota,Pembina,6801,14.703720041170417,0.0,
647637,2020-04-27,Pembina,North Dakota,38067.0,1,0,67,North Dakota,Pembina,6801,14.703720041170417,0.0,
647638,2020-04-28,Pembina,North Dakota,38067.0,1,0,67,North Dakota,Pembina,6801,14.703720041170417,0.0,
647639,2020-04-29,Pembina,North Dakota,38067.0,1,0,67,North Dakota,Pembina,6801,14.703720041170417,0.0,
647640,2020-04-30,Pembina,North Dakota,38067.0,3,0,67,North Dakota,Pembina,6801,44.11116012351125,29.40744008234083,
647641,2020-05-01,Pembina,North Dakota,38067.0,3,0,67,North Dakota,Pembina,6801,44.11116012351125,0.0,
647642,2020-05-02,Pembina,North Dakota,38067.0,3,0,67,North Dakota,Pembina,6801,44.11116012351125,0.0,
647643,2020-05-03,Pembina,North Dakota,38067.0,3,0,67,North Dakota,Pembina,6801,44.11116012351125,0.0,
647644,2020-05-04,Pembina,North Dakota,38067.0,3,0,67,North Dakota,Pembina,6801,44.11116012351125,0.0,
647645,2020-05-05,Pembina,North Dakota,38067.0,4,0,67,North Dakota,Pembina,6801,58.81488016468167,14.70372004117042,
647646,2020-05-06,Pembina,North Dakota,38067.0,4,0,67,North Dakota,Pembina,6801,58.81488016468167,0.0,
647647,2020-05-07,Pembina,North Dakota,38067.0,5,0,67,North Dakota,Pembina,6801,73.51860020585208,14.703720041170413,
647648,2020-05-08,Pembina,North Dakota,38067.0,6,0,67,North Dakota,Pembina,6801,88.2223202470225,14.703720041170413,
647649,2020-05-09,Pembina,North Dakota,38067.0,6,0,67,North Dakota,Pembina,6801,88.2223202470225,0.0,5.251328586132291
647650,2020-05-10,Pembina,North Dakota,38067.0,6,0,67,North Dakota,Pembina,6801,88.2223202470225,0.0,5.251328586132291
647651,2020-05-11,Pembina,North Dakota,38067.0,6,0,67,North Dakota,Pembina,6801,88.2223202470225,0.0,5.251328586132291
647652,2020-05-12,Pembina,North Dakota,38067.0,6,0,67,North Dakota,Pembina,6801,88.2223202470225,0.0,5.251328586132291
647653,2020-05-13,Pembina,North Dakota,38067.0,6,0,67,North Dakota,Pembina,6801,88.2223202470225,0.0,5.251328586132291
647654,2020-05-14,Pembina,North Dakota,38067.0,6,0,67,North Dakota,Pembina,6801,88.2223202470225,0.0,3.150797151679375
647655,2020-05-15,Pembina,North Dakota,38067.0,6,0,67,North Dakota,Pembina,6801,88.2223202470225,0.0,3.150797151679375
647656,2020-05-16,Pembina,North Dakota,38067.0,6,0,67,North Dakota,Pembina,6801,88.2223202470225,0.0,3.150797151679375
647657,2020-05-17,Pembina,North Dakota,38067.0,6,0,67,North Dakota,Pembina,6801,88.2223202470225,0.0,3.150797151679375
647658,2020-05-18,Pembina,North Dakota,38067.0,6,0,67,North Dakota,Pembina,6801,88.2223202470225,0.0,3.150797151679375
647659,2020-05-19,Pembina,North Dakota,38067.0,6,0,67,North Dakota,Pembina,6801,88.2223202470225,0.0,2.100531434452917
647660,2020-05-20,Pembina,North Dakota,38067.0,6,0,67,North Dakota,Pembina,6801,88.2223202470225,0.0,2.100531434452917
647661,2020-05-21,Pembina,North Dakota,38067.0,6,0,67,North Dakota,Pembina,6801,88.2223202470225,0.0,1.0502657172264587
647662,2020-05-22,Pembina,North Dakota,38067.0,6,0,67,North Dakota,Pembina,6801,88.2223202470225,0.0,5.075305255429287e-16
647663,2020-05-23,Pembina,North Dakota,38067.0,6,0,67,North Dakota,Pembina,6801,88.2223202470225,0.0,5.075305255429287e-16
647664,2020-05-24,Pembina,North Dakota,38067.0,6,0,67,North Dakota,Pembina,6801,88.2223202470225,0.0,5.075305255429287e-16
647665,2020-05-25,Pembina,North Dakota,38067.0,6,0,67,North Dakota,Pembina,6801,88.2223202470225,0.0,5.075305255429287e-16
647666,2020-05-26,Pembina,North Dakota,38067.0,6,0,67,North Dakota,Pembina,6801,88.2223202470225,0.0,5.075305255429287e-16
647667,2020-05-27,Pembina,North Dakota,38067.0,6,0,67,North Dakota,Pembina,6801,88.2223202470225,0.0,5.075305255429287e-16
647668,2020-05-28,Pembina,North Dakota,38067.0,6,0,67,North Dakota,Pembina,6801,88.2223202470225,0.0,5.075305255429287e-16
647669,2020-05-29,Pembina,North Dakota,38067.0,6,0,67,North Dakota,Pembina,6801,88.2223202470225,0.0,5.075305255429287e-16
647670,2020-05-30,Pembina,North Dakota,38067.0,6,0,67,North Dakota,Pembina,6801,88.2223202470225,0.0,5.075305255429287e-16
647671,2020-05-31,Pembina,North Dakota,38067.0,6,0,67,North Dakota,Pembina,6801,88.2223202470225,0.0,5.075305255429287e-16
647672,2020-06-01,Pembina,North Dakota,38067.0,6,0,67,North Dakota,Pembina,6801,88.2223202470225,0.0,5.075305255429287e-16
647673,2020-06-02,Pembina,North Dakota,38067.0,6,0,67,North Dakota,Pembina,6801,88.2223202470225,0.0,5.075305255429287e-16
647674,2020-06-03,Pembina,North Dakota,38067.0,6,0,67,North Dakota,Pembina,6801,88.2223202470225,0.0,5.075305255429287e-16
