,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,per_100k,new_cases,new_cases_ra
148418,2020-03-18,Huron,Ohio,39077.0,1,0,77,Ohio,Huron,58266,1.7162667765077404,,
148419,2020-03-19,Huron,Ohio,39077.0,1,0,77,Ohio,Huron,58266,1.7162667765077404,0.0,
148420,2020-03-20,Huron,Ohio,39077.0,1,0,77,Ohio,Huron,58266,1.7162667765077404,0.0,
148421,2020-03-21,Huron,Ohio,39077.0,1,0,77,Ohio,Huron,58266,1.7162667765077404,0.0,
148422,2020-03-22,Huron,Ohio,39077.0,1,0,77,Ohio,Huron,58266,1.7162667765077404,0.0,
148423,2020-03-23,Huron,Ohio,39077.0,1,0,77,Ohio,Huron,58266,1.7162667765077404,0.0,
148424,2020-03-24,Huron,Ohio,39077.0,2,0,77,Ohio,Huron,58266,3.432533553015481,1.7162667765077404,
148425,2020-03-25,Huron,Ohio,39077.0,2,0,77,Ohio,Huron,58266,3.432533553015481,0.0,
148426,2020-03-26,Huron,Ohio,39077.0,3,0,77,Ohio,Huron,58266,5.148800329523221,1.71626677650774,
148427,2020-03-27,Huron,Ohio,39077.0,3,0,77,Ohio,Huron,58266,5.148800329523221,0.0,
148428,2020-03-28,Huron,Ohio,39077.0,3,0,77,Ohio,Huron,58266,5.148800329523221,0.0,
148429,2020-03-29,Huron,Ohio,39077.0,3,0,77,Ohio,Huron,58266,5.148800329523221,0.0,
148430,2020-03-30,Huron,Ohio,39077.0,3,1,77,Ohio,Huron,58266,5.148800329523221,0.0,
148431,2020-03-31,Huron,Ohio,39077.0,4,1,77,Ohio,Huron,58266,6.865067106030962,1.7162667765077408,
148432,2020-04-01,Huron,Ohio,39077.0,4,1,77,Ohio,Huron,58266,6.865067106030962,0.0,0.36777145210880147
148433,2020-04-02,Huron,Ohio,39077.0,4,1,77,Ohio,Huron,58266,6.865067106030962,0.0,0.36777145210880147
148434,2020-04-03,Huron,Ohio,39077.0,5,1,77,Ohio,Huron,58266,8.581333882538702,1.7162667765077408,0.4903619361450687
148435,2020-04-04,Huron,Ohio,39077.0,6,1,77,Ohio,Huron,58266,10.297600659046442,1.716266776507739,0.6129524201813358
148436,2020-04-05,Huron,Ohio,39077.0,6,1,77,Ohio,Huron,58266,10.297600659046442,0.0,0.6129524201813358
148437,2020-04-06,Huron,Ohio,39077.0,9,1,77,Ohio,Huron,58266,15.446400988569664,5.1488003295232225,0.9807238722901374
148438,2020-04-07,Huron,Ohio,39077.0,10,1,77,Ohio,Huron,58266,17.162667765077405,1.7162667765077408,0.9807238722901374
148439,2020-04-08,Huron,Ohio,39077.0,9,1,77,Ohio,Huron,58266,15.446400988569664,-1.7162667765077408,0.8581333882538702
148440,2020-04-09,Huron,Ohio,39077.0,10,1,77,Ohio,Huron,58266,17.162667765077405,1.7162667765077408,0.8581333882538702
148441,2020-04-10,Huron,Ohio,39077.0,10,1,77,Ohio,Huron,58266,17.162667765077405,0.0,0.8581333882538702
148442,2020-04-11,Huron,Ohio,39077.0,15,1,77,Ohio,Huron,58266,25.744001647616106,8.5813338825387,1.4710858084352059
148443,2020-04-12,Huron,Ohio,39077.0,14,1,77,Ohio,Huron,58266,24.027734871108365,-1.7162667765077408,1.3484953243989388
148444,2020-04-13,Huron,Ohio,39077.0,14,1,77,Ohio,Huron,58266,24.027734871108365,0.0,1.3484953243989388
148445,2020-04-14,Huron,Ohio,39077.0,14,1,77,Ohio,Huron,58266,24.027734871108365,0.0,1.2259048403626716
148446,2020-04-15,Huron,Ohio,39077.0,14,1,77,Ohio,Huron,58266,24.027734871108365,0.0,1.2259048403626716
