,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,per_100k,per_100k_ra,new_cases,new_cases_ra
87439,2020-03-14,Lorain,Ohio,39093.0,1,0,93,Ohio,Lorain,309833,0.3227545161425671,,,
87440,2020-03-15,Lorain,Ohio,39093.0,2,0,93,Ohio,Lorain,309833,0.6455090322851342,,0.3227545161425671,
87441,2020-03-16,Lorain,Ohio,39093.0,3,0,93,Ohio,Lorain,309833,0.9682635484277013,,0.3227545161425671,
87442,2020-03-17,Lorain,Ohio,39093.0,4,0,93,Ohio,Lorain,309833,1.2910180645702685,,0.3227545161425671,
87443,2020-03-18,Lorain,Ohio,39093.0,6,0,93,Ohio,Lorain,309833,1.9365270968554027,,0.6455090322851342,
87444,2020-03-19,Lorain,Ohio,39093.0,6,0,93,Ohio,Lorain,309833,1.9365270968554027,,0.0,
87445,2020-03-20,Lorain,Ohio,39093.0,10,0,93,Ohio,Lorain,309833,3.227545161425671,1.4754492166517355,1.2910180645702685,
87446,2020-03-21,Lorain,Ohio,39093.0,14,0,93,Ohio,Lorain,309833,4.51856322599594,2.0748504609165033,1.2910180645702685,0.5994012442647675
87447,2020-03-22,Lorain,Ohio,39093.0,19,0,93,Ohio,Lorain,309833,6.132335806708775,2.8586828572627376,1.6137725807128351,0.7838323963462344
87448,2020-03-23,Lorain,Ohio,39093.0,24,0,93,Ohio,Lorain,309833,7.746108387421611,3.826946405690439,1.613772580712836,0.9682635484277012
87449,2020-03-24,Lorain,Ohio,39093.0,30,0,93,Ohio,Lorain,309833,9.682635484277014,5.025748894219975,1.9365270968554036,1.1988024885295352
87450,2020-03-25,Lorain,Ohio,39093.0,37,0,93,Ohio,Lorain,309833,11.941917097274983,6.455090322851343,2.2592816129979685,1.4293414286313688
87451,2020-03-26,Lorain,Ohio,39093.0,44,0,93,Ohio,Lorain,309833,14.201198710272955,8.20718626762528,2.259281612997972,1.7520959447739362
87452,2020-03-27,Lorain,Ohio,39093.0,56,0,93,Ohio,Lorain,309833,18.07425290398376,10.32814451656215,3.8730541937108036,2.1209582489368697
87453,2020-03-28,Lorain,Ohio,39093.0,65,0,93,Ohio,Lorain,309833,20.979043549266862,12.679641705600854,2.9047906452831036,2.351497189038703
87454,2020-03-29,Lorain,Ohio,39093.0,74,1,93,Ohio,Lorain,309833,23.883834194549966,15.215570046721023,2.9047906452831036,2.5359283411201696
87455,2020-03-30,Lorain,Ohio,39093.0,78,2,93,Ohio,Lorain,309833,25.174852259120236,17.705390599820827,1.2910180645702702,2.489820553099803
87456,2020-03-31,Lorain,Ohio,39093.0,82,2,93,Ohio,Lorain,309833,26.465870323690503,20.1029955768799,1.2910180645702667,2.397604977059069
87457,2020-04-01,Lorain,Ohio,39093.0,85,2,93,Ohio,Lorain,309833,27.434133872118206,22.3161694018575,0.9682635484277036,2.213173824977603
87458,2020-04-02,Lorain,Ohio,39093.0,90,2,93,Ohio,Lorain,309833,29.047906452831043,24.43712765079437,1.613772580712837,2.120958248936869
87459,2020-04-03,Lorain,Ohio,39093.0,95,2,93,Ohio,Lorain,309833,30.661679033543876,26.235331383588676,1.6137725807128334,1.7982037327943015
87460,2020-04-04,Lorain,Ohio,39093.0,105,2,93,Ohio,Lorain,309833,33.88922419496955,28.079642904403347,3.227545161425674,1.8443115208146688
87461,2020-04-05,Lorain,Ohio,39093.0,110,3,93,Ohio,Lorain,309833,35.502996775682384,29.739523273136548,1.6137725807128334,1.6598803687332015
87462,2020-04-06,Lorain,Ohio,39093.0,117,3,93,Ohio,Lorain,309833,37.76227838868036,31.537727005930854,2.259281612997974,1.7982037327943021
87463,2020-04-07,Lorain,Ohio,39093.0,116,3,93,Ohio,Lorain,309833,37.439523872537784,33.10539179862332,-0.3227545161425738,1.5676647926924676
87464,2020-04-08,Lorain,Ohio,39093.0,136,4,93,Ohio,Lorain,309833,43.89461419538913,35.456888987662026,6.455090322851348,2.3514971890387026
