,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,per_100k,new_cases,new_cases_ra
286353,2020-03-23,Washington,Ohio,39167.0,1,0,167,Ohio,Washington,59911,1.669142561466175,,
286354,2020-03-24,Washington,Ohio,39167.0,1,0,167,Ohio,Washington,59911,1.669142561466175,0.0,
286355,2020-03-25,Washington,Ohio,39167.0,1,0,167,Ohio,Washington,59911,1.669142561466175,0.0,
286356,2020-03-26,Washington,Ohio,39167.0,1,0,167,Ohio,Washington,59911,1.669142561466175,0.0,
286357,2020-03-27,Washington,Ohio,39167.0,2,0,167,Ohio,Washington,59911,3.33828512293235,1.669142561466175,
286358,2020-03-28,Washington,Ohio,39167.0,2,0,167,Ohio,Washington,59911,3.33828512293235,0.0,
286359,2020-03-29,Washington,Ohio,39167.0,3,0,167,Ohio,Washington,59911,5.007427684398524,1.6691425614661743,
286360,2020-03-30,Washington,Ohio,39167.0,3,0,167,Ohio,Washington,59911,5.007427684398524,0.0,
286361,2020-03-31,Washington,Ohio,39167.0,3,0,167,Ohio,Washington,59911,5.007427684398524,0.0,
286362,2020-04-01,Washington,Ohio,39167.0,3,0,167,Ohio,Washington,59911,5.007427684398524,0.0,
286363,2020-04-02,Washington,Ohio,39167.0,4,0,167,Ohio,Washington,59911,6.6765702458647,1.6691425614661757,
286364,2020-04-03,Washington,Ohio,39167.0,4,0,167,Ohio,Washington,59911,6.6765702458647,0.0,
286365,2020-04-04,Washington,Ohio,39167.0,6,0,167,Ohio,Washington,59911,10.014855368797049,3.3382851229323487,
286366,2020-04-05,Washington,Ohio,39167.0,8,0,167,Ohio,Washington,59911,13.3531404917294,3.3382851229323514,
286367,2020-04-06,Washington,Ohio,39167.0,15,0,167,Ohio,Washington,59911,25.037138421992623,11.683997930263223,1.669142561466175
286368,2020-04-07,Washington,Ohio,39167.0,27,0,167,Ohio,Washington,59911,45.06684915958672,20.029710737594094,3.0998361855800387
286369,2020-04-08,Washington,Ohio,39167.0,30,0,167,Ohio,Washington,59911,50.074276843985245,5.007427684398529,3.4575095916085052
286370,2020-04-09,Washington,Ohio,39167.0,34,0,167,Ohio,Washington,59911,56.75084708984994,6.676570245864696,3.934407466313126
286371,2020-04-10,Washington,Ohio,39167.0,35,1,167,Ohio,Washington,59911,58.41998965131612,1.669142561466181,3.9344074663131265
286372,2020-04-11,Washington,Ohio,39167.0,36,1,167,Ohio,Washington,59911,60.08913221278229,1.6691425614661668,4.053631934989282
286373,2020-04-12,Washington,Ohio,39167.0,39,1,167,Ohio,Washington,59911,65.09655989718082,5.007427684398536,4.292080872341593
286374,2020-04-13,Washington,Ohio,39167.0,41,1,167,Ohio,Washington,59911,68.43484502011317,3.338285122932348,4.5305298096939035
286375,2020-04-14,Washington,Ohio,39167.0,44,2,167,Ohio,Washington,59911,73.4422727045117,5.007427684398522,4.88820321572237
286376,2020-04-15,Washington,Ohio,39167.0,47,4,167,Ohio,Washington,59911,78.44970038891022,5.007427684398522,5.245876621750836
286377,2020-04-16,Washington,Ohio,39167.0,53,5,167,Ohio,Washington,59911,88.46455575770726,10.014855368797043,5.841998965131611
