,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,per_100k,new_cases,new_cases_ra
347179,2020-03-25,Bryan,Oklahoma,40013.0,1,0,13,Oklahoma,Bryan,47995,2.0835503698301907,,
347180,2020-03-26,Bryan,Oklahoma,40013.0,1,0,13,Oklahoma,Bryan,47995,2.0835503698301907,0.0,
347181,2020-03-27,Bryan,Oklahoma,40013.0,1,0,13,Oklahoma,Bryan,47995,2.0835503698301907,0.0,
347182,2020-03-28,Bryan,Oklahoma,40013.0,1,0,13,Oklahoma,Bryan,47995,2.0835503698301907,0.0,
347183,2020-03-29,Bryan,Oklahoma,40013.0,1,0,13,Oklahoma,Bryan,47995,2.0835503698301907,0.0,
347184,2020-03-30,Bryan,Oklahoma,40013.0,1,0,13,Oklahoma,Bryan,47995,2.0835503698301907,0.0,
347185,2020-03-31,Bryan,Oklahoma,40013.0,1,0,13,Oklahoma,Bryan,47995,2.0835503698301907,0.0,
347186,2020-04-01,Bryan,Oklahoma,40013.0,1,0,13,Oklahoma,Bryan,47995,2.0835503698301907,0.0,
347187,2020-04-02,Bryan,Oklahoma,40013.0,2,0,13,Oklahoma,Bryan,47995,4.167100739660381,2.0835503698301907,
347188,2020-04-03,Bryan,Oklahoma,40013.0,3,0,13,Oklahoma,Bryan,47995,6.250651109490573,2.083550369830191,
347189,2020-04-04,Bryan,Oklahoma,40013.0,3,0,13,Oklahoma,Bryan,47995,6.250651109490573,0.0,
347190,2020-04-05,Bryan,Oklahoma,40013.0,3,0,13,Oklahoma,Bryan,47995,6.250651109490573,0.0,
347191,2020-04-06,Bryan,Oklahoma,40013.0,3,0,13,Oklahoma,Bryan,47995,6.250651109490573,0.0,
347192,2020-04-07,Bryan,Oklahoma,40013.0,3,0,13,Oklahoma,Bryan,47995,6.250651109490573,0.0,
347193,2020-04-08,Bryan,Oklahoma,40013.0,3,0,13,Oklahoma,Bryan,47995,6.250651109490573,0.0,0.2976500528328844
347194,2020-04-09,Bryan,Oklahoma,40013.0,3,0,13,Oklahoma,Bryan,47995,6.250651109490573,0.0,0.2976500528328844
347195,2020-04-10,Bryan,Oklahoma,40013.0,3,0,13,Oklahoma,Bryan,47995,6.250651109490573,0.0,0.2976500528328844
347196,2020-04-11,Bryan,Oklahoma,40013.0,3,0,13,Oklahoma,Bryan,47995,6.250651109490573,0.0,0.2976500528328844
347197,2020-04-12,Bryan,Oklahoma,40013.0,3,0,13,Oklahoma,Bryan,47995,6.250651109490573,0.0,0.2976500528328844
347198,2020-04-13,Bryan,Oklahoma,40013.0,4,0,13,Oklahoma,Bryan,47995,8.334201479320763,2.0835503698301903,0.4464750792493266
347199,2020-04-14,Bryan,Oklahoma,40013.0,4,0,13,Oklahoma,Bryan,47995,8.334201479320763,0.0,0.4464750792493266
347200,2020-04-15,Bryan,Oklahoma,40013.0,5,0,13,Oklahoma,Bryan,47995,10.417751849150953,2.0835503698301903,0.5953001056657687
347201,2020-04-16,Bryan,Oklahoma,40013.0,5,0,13,Oklahoma,Bryan,47995,10.417751849150953,0.0,0.4464750792493266
347202,2020-04-17,Bryan,Oklahoma,40013.0,5,0,13,Oklahoma,Bryan,47995,10.417751849150953,0.0,0.29765005283288437
347203,2020-04-18,Bryan,Oklahoma,40013.0,5,0,13,Oklahoma,Bryan,47995,10.417751849150953,0.0,0.29765005283288437
347204,2020-04-19,Bryan,Oklahoma,40013.0,5,0,13,Oklahoma,Bryan,47995,10.417751849150953,0.0,0.29765005283288437
347205,2020-04-20,Bryan,Oklahoma,40013.0,5,0,13,Oklahoma,Bryan,47995,10.417751849150953,0.0,0.29765005283288437
347206,2020-04-21,Bryan,Oklahoma,40013.0,6,1,13,Oklahoma,Bryan,47995,12.501302218981145,2.083550369830192,0.44647507924932667
347207,2020-04-22,Bryan,Oklahoma,40013.0,6,1,13,Oklahoma,Bryan,47995,12.501302218981145,0.0,0.44647507924932667
347208,2020-04-23,Bryan,Oklahoma,40013.0,6,1,13,Oklahoma,Bryan,47995,12.501302218981145,0.0,0.44647507924932667
347209,2020-04-24,Bryan,Oklahoma,40013.0,6,1,13,Oklahoma,Bryan,47995,12.501302218981145,0.0,0.44647507924932667
347210,2020-04-25,Bryan,Oklahoma,40013.0,6,1,13,Oklahoma,Bryan,47995,12.501302218981145,0.0,0.44647507924932667
347211,2020-04-26,Bryan,Oklahoma,40013.0,6,1,13,Oklahoma,Bryan,47995,12.501302218981145,0.0,0.44647507924932667
347212,2020-04-27,Bryan,Oklahoma,40013.0,6,1,13,Oklahoma,Bryan,47995,12.501302218981145,0.0,0.29765005283288454
347213,2020-04-28,Bryan,Oklahoma,40013.0,8,1,13,Oklahoma,Bryan,47995,16.668402958641526,4.1671007396603805,0.5953001056657689
347214,2020-04-29,Bryan,Oklahoma,40013.0,8,1,13,Oklahoma,Bryan,47995,16.668402958641526,0.0,0.4464750792493267
347215,2020-04-30,Bryan,Oklahoma,40013.0,8,1,13,Oklahoma,Bryan,47995,16.668402958641526,0.0,0.4464750792493267
347216,2020-05-01,Bryan,Oklahoma,40013.0,8,1,13,Oklahoma,Bryan,47995,16.668402958641526,0.0,0.4464750792493267
