,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,cases_per_100k,deaths_per_100k,death_rate,new_cases,new_deaths,new_cases_ra,new_deaths_ra
367893,2020-03-25,Delaware,Oklahoma,40041.0,1,0.0,41,Oklahoma,Delaware,43009,2.325094747610965,0.0,0.0,,,,
367894,2020-03-26,Delaware,Oklahoma,40041.0,1,0.0,41,Oklahoma,Delaware,43009,2.325094747610965,0.0,0.0,0.0,0.0,,
367895,2020-03-27,Delaware,Oklahoma,40041.0,2,0.0,41,Oklahoma,Delaware,43009,4.65018949522193,0.0,0.0,2.325094747610965,0.0,,
367896,2020-03-28,Delaware,Oklahoma,40041.0,4,0.0,41,Oklahoma,Delaware,43009,9.30037899044386,0.0,0.0,4.65018949522193,0.0,,
367897,2020-03-29,Delaware,Oklahoma,40041.0,4,0.0,41,Oklahoma,Delaware,43009,9.30037899044386,0.0,0.0,0.0,0.0,,
367898,2020-03-30,Delaware,Oklahoma,40041.0,7,0.0,41,Oklahoma,Delaware,43009,16.275663233276756,0.0,0.0,6.975284242832895,0.0,,
367899,2020-03-31,Delaware,Oklahoma,40041.0,7,0.0,41,Oklahoma,Delaware,43009,16.275663233276756,0.0,0.0,0.0,0.0,,
367900,2020-04-01,Delaware,Oklahoma,40041.0,8,0.0,41,Oklahoma,Delaware,43009,18.60075798088772,0.0,0.0,2.325094747610965,0.0,2.325094747610965,0.0
367901,2020-04-02,Delaware,Oklahoma,40041.0,10,0.0,41,Oklahoma,Delaware,43009,23.25094747610965,0.0,0.0,4.65018949522193,0.0,2.9894075326426695,0.0
367902,2020-04-03,Delaware,Oklahoma,40041.0,11,0.0,41,Oklahoma,Delaware,43009,25.576042223720613,0.0,0.0,2.3250947476109616,0.0,2.989407532642669,0.0
367903,2020-04-04,Delaware,Oklahoma,40041.0,11,0.0,41,Oklahoma,Delaware,43009,25.576042223720613,0.0,0.0,0.0,0.0,2.3250947476109647,0.0
367904,2020-04-05,Delaware,Oklahoma,40041.0,12,0.0,41,Oklahoma,Delaware,43009,27.90113697133158,0.0,0.0,2.3250947476109687,0.0,2.6572511401268173,0.0
