,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,per_100k,new_cases,new_cases_ra
698467,2020-06-21,Ellis,Oklahoma,40045.0,1,0,45,Oklahoma,Ellis,3859,25.91344908007256,,
698468,2020-06-22,Ellis,Oklahoma,40045.0,1,0,45,Oklahoma,Ellis,3859,25.91344908007256,0.0,
698469,2020-06-23,Ellis,Oklahoma,40045.0,1,0,45,Oklahoma,Ellis,3859,25.91344908007256,0.0,
698470,2020-06-24,Ellis,Oklahoma,40045.0,1,0,45,Oklahoma,Ellis,3859,25.91344908007256,0.0,
698471,2020-06-25,Ellis,Oklahoma,40045.0,1,0,45,Oklahoma,Ellis,3859,25.91344908007256,0.0,
698472,2020-06-26,Ellis,Oklahoma,40045.0,1,0,45,Oklahoma,Ellis,3859,25.91344908007256,0.0,
698473,2020-06-27,Ellis,Oklahoma,40045.0,1,0,45,Oklahoma,Ellis,3859,25.91344908007256,0.0,
698474,2020-06-28,Ellis,Oklahoma,40045.0,1,0,45,Oklahoma,Ellis,3859,25.91344908007256,0.0,
698475,2020-06-29,Ellis,Oklahoma,40045.0,1,0,45,Oklahoma,Ellis,3859,25.91344908007256,0.0,
698476,2020-06-30,Ellis,Oklahoma,40045.0,1,0,45,Oklahoma,Ellis,3859,25.91344908007256,0.0,
698477,2020-07-01,Ellis,Oklahoma,40045.0,1,0,45,Oklahoma,Ellis,3859,25.91344908007256,0.0,
698478,2020-07-02,Ellis,Oklahoma,40045.0,1,0,45,Oklahoma,Ellis,3859,25.91344908007256,0.0,
698479,2020-07-03,Ellis,Oklahoma,40045.0,1,0,45,Oklahoma,Ellis,3859,25.91344908007256,0.0,
698480,2020-07-04,Ellis,Oklahoma,40045.0,1,0,45,Oklahoma,Ellis,3859,25.91344908007256,0.0,
698481,2020-07-05,Ellis,Oklahoma,40045.0,1,0,45,Oklahoma,Ellis,3859,25.91344908007256,0.0,0.0
698482,2020-07-06,Ellis,Oklahoma,40045.0,1,0,45,Oklahoma,Ellis,3859,25.91344908007256,0.0,0.0
698483,2020-07-07,Ellis,Oklahoma,40045.0,1,0,45,Oklahoma,Ellis,3859,25.91344908007256,0.0,0.0
698484,2020-07-08,Ellis,Oklahoma,40045.0,2,0,45,Oklahoma,Ellis,3859,51.82689816014512,25.91344908007256,1.8509606485766115
698485,2020-07-09,Ellis,Oklahoma,40045.0,2,0,45,Oklahoma,Ellis,3859,51.82689816014512,0.0,1.8509606485766115
698486,2020-07-10,Ellis,Oklahoma,40045.0,2,0,45,Oklahoma,Ellis,3859,51.82689816014512,0.0,1.8509606485766115
698487,2020-07-11,Ellis,Oklahoma,40045.0,2,0,45,Oklahoma,Ellis,3859,51.82689816014512,0.0,1.8509606485766115
698488,2020-07-12,Ellis,Oklahoma,40045.0,2,0,45,Oklahoma,Ellis,3859,51.82689816014512,0.0,1.8509606485766115
698489,2020-07-13,Ellis,Oklahoma,40045.0,2,0,45,Oklahoma,Ellis,3859,51.82689816014512,0.0,1.8509606485766115
698490,2020-07-14,Ellis,Oklahoma,40045.0,2,0,45,Oklahoma,Ellis,3859,51.82689816014512,0.0,1.8509606485766115
698491,2020-07-15,Ellis,Oklahoma,40045.0,2,0,45,Oklahoma,Ellis,3859,51.82689816014512,0.0,1.8509606485766115
698492,2020-07-16,Ellis,Oklahoma,40045.0,1,0,45,Oklahoma,Ellis,3859,25.91344908007256,-25.91344908007256,0.0
698493,2020-07-17,Ellis,Oklahoma,40045.0,1,0,45,Oklahoma,Ellis,3859,25.91344908007256,0.0,0.0
