,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,cases_per_100k,deaths_per_100k,death_rate,new_cases,new_deaths,new_cases_ra,new_deaths_ra
16629,2020-03-06,Tulsa,Oklahoma,40143.0,1,0,143,Oklahoma,Tulsa,651552,0.15347969156721183,0.0,0.0,,,,
16630,2020-03-07,Tulsa,Oklahoma,40143.0,1,0,143,Oklahoma,Tulsa,651552,0.15347969156721183,0.0,0.0,0.0,0.0,,
16631,2020-03-08,Tulsa,Oklahoma,40143.0,1,0,143,Oklahoma,Tulsa,651552,0.15347969156721183,0.0,0.0,0.0,0.0,,
16632,2020-03-09,Tulsa,Oklahoma,40143.0,1,0,143,Oklahoma,Tulsa,651552,0.15347969156721183,0.0,0.0,0.0,0.0,,
16633,2020-03-10,Tulsa,Oklahoma,40143.0,2,0,143,Oklahoma,Tulsa,651552,0.30695938313442367,0.0,0.0,0.15347969156721183,0.0,,
16634,2020-03-11,Tulsa,Oklahoma,40143.0,2,0,143,Oklahoma,Tulsa,651552,0.30695938313442367,0.0,0.0,0.0,0.0,,
16635,2020-03-12,Tulsa,Oklahoma,40143.0,2,0,143,Oklahoma,Tulsa,651552,0.30695938313442367,0.0,0.0,0.0,0.0,,
16636,2020-03-13,Tulsa,Oklahoma,40143.0,2,0,143,Oklahoma,Tulsa,651552,0.30695938313442367,0.0,0.0,0.0,0.0,0.021925670223887406,0.0
16637,2020-03-14,Tulsa,Oklahoma,40143.0,2,0,143,Oklahoma,Tulsa,651552,0.30695938313442367,0.0,0.0,0.0,0.0,0.021925670223887406,0.0
16638,2020-03-15,Tulsa,Oklahoma,40143.0,3,0,143,Oklahoma,Tulsa,651552,0.4604390747016354,0.0,0.0,0.15347969156721175,0.0,0.0438513404477748,0.0
16639,2020-03-16,Tulsa,Oklahoma,40143.0,3,0,143,Oklahoma,Tulsa,651552,0.4604390747016354,0.0,0.0,0.0,0.0,0.0438513404477748,0.0
16640,2020-03-17,Tulsa,Oklahoma,40143.0,4,0,143,Oklahoma,Tulsa,651552,0.6139187662688473,0.0,0.0,0.15347969156721192,0.0,0.04385134044777482,0.0
16641,2020-03-18,Tulsa,Oklahoma,40143.0,4,0,143,Oklahoma,Tulsa,651552,0.6139187662688473,0.0,0.0,0.0,0.0,0.04385134044777482,0.0
16642,2020-03-19,Tulsa,Oklahoma,40143.0,5,1,143,Oklahoma,Tulsa,651552,0.7673984578360591,0.15347969156721183,0.2,0.15347969156721175,0.15347969156721183,0.06577701067166221,0.021925670223887406
16643,2020-03-20,Tulsa,Oklahoma,40143.0,5,1,143,Oklahoma,Tulsa,651552,0.7673984578360591,0.15347969156721183,0.2,0.0,0.0,0.06577701067166221,0.021925670223887406
16644,2020-03-21,Tulsa,Oklahoma,40143.0,5,1,143,Oklahoma,Tulsa,651552,0.7673984578360591,0.15347969156721183,0.2,0.0,0.0,0.06577701067166221,0.021925670223887406
16645,2020-03-22,Tulsa,Oklahoma,40143.0,6,1,143,Oklahoma,Tulsa,651552,0.9208781494032708,0.15347969156721183,0.16666666666666666,0.15347969156721175,0.0,0.06577701067166221,0.021925670223887406
16646,2020-03-23,Tulsa,Oklahoma,40143.0,11,1,143,Oklahoma,Tulsa,651552,1.68827660723933,0.15347969156721183,0.09090909090909091,0.7673984578360592,0.0,0.17540536179109925,0.021925670223887406
16647,2020-03-24,Tulsa,Oklahoma,40143.0,12,1,143,Oklahoma,Tulsa,651552,1.8417562988065417,0.15347969156721183,0.08333333333333333,0.15347969156721164,0.0,0.1754053617910992,0.021925670223887406
16648,2020-03-25,Tulsa,Oklahoma,40143.0,27,1,143,Oklahoma,Tulsa,651552,4.14395167231472,0.15347969156721183,0.037037037037037035,2.3021953735081784,0.0,0.5042904151494104,0.021925670223887406
16649,2020-03-26,Tulsa,Oklahoma,40143.0,41,1,143,Oklahoma,Tulsa,651552,6.292667354255685,0.15347969156721183,0.024390243902439025,2.148715681940965,0.0,0.7893241280599467,0.0
16650,2020-03-27,Tulsa,Oklahoma,40143.0,49,1,143,Oklahoma,Tulsa,651552,7.52050488679338,0.15347969156721183,0.02040816326530612,1.227837532537695,0.0,0.964729489851046,0.0
16651,2020-03-28,Tulsa,Oklahoma,40143.0,57,3,143,Oklahoma,Tulsa,651552,8.748342419331074,0.4604390747016354,0.05263157894736842,1.227837532537694,0.3069593831344236,1.1401348516421452,0.0438513404477748
16652,2020-03-29,Tulsa,Oklahoma,40143.0,61,3,143,Oklahoma,Tulsa,651552,9.362261185599921,0.4604390747016354,0.04918032786885246,0.6139187662688474,0.0,1.2059118623138076,0.0438513404477748
16653,2020-03-30,Tulsa,Oklahoma,40143.0,65,3,143,Oklahoma,Tulsa,651552,9.976179951868769,0.4604390747016354,0.046153846153846156,0.6139187662688474,0.0,1.1839861920899202,0.0438513404477748
16654,2020-03-31,Tulsa,Oklahoma,40143.0,83,3,143,Oklahoma,Tulsa,651552,12.73881440007858,0.4604390747016354,0.03614457831325301,2.762634448209811,0.0,1.5567225858960059,0.0438513404477748
16655,2020-04-01,Tulsa,Oklahoma,40143.0,115,3,143,Oklahoma,Tulsa,651552,17.65016453022936,0.4604390747016354,0.02608695652173913,4.911350130150781,0.0,1.929458979702092,0.0438513404477748
16656,2020-04-02,Tulsa,Oklahoma,40143.0,151,5,143,Oklahoma,Tulsa,651552,23.175433426648986,0.7673984578360591,0.033112582781456956,5.525268896419625,0.30695938313442367,2.4118237246276144,0.0877026808955496
16657,2020-04-03,Tulsa,Oklahoma,40143.0,175,8,143,Oklahoma,Tulsa,651552,26.85894602426207,1.2278375325376947,0.045714285714285714,3.6835125976130847,0.4604390747016356,2.762634448209813,0.15347969156721183
16658,2020-04-04,Tulsa,Oklahoma,40143.0,221,8,143,Oklahoma,Tulsa,651552,33.91901183635381,1.2278375325376947,0.03619909502262444,7.0600658120917394,0.0,3.595809916717534,0.10962835111943703
16659,2020-04-05,Tulsa,Oklahoma,40143.0,240,8,143,Oklahoma,Tulsa,651552,36.83512597613084,1.2278375325376947,0.03333333333333333,2.9161141397770294,0.0,3.9246949700758456,0.10962835111943703
16660,2020-04-06,Tulsa,Oklahoma,40143.0,249,8,143,Oklahoma,Tulsa,651552,38.216443200235744,1.2278375325376947,0.0321285140562249,1.3813172241049045,0.0,4.0343233211952825,0.10962835111943703
16661,2020-04-07,Tulsa,Oklahoma,40143.0,273,14,143,Oklahoma,Tulsa,651552,41.899955797848826,2.1487156819409656,0.05128205128205128,3.683512597613081,0.920878149403271,4.165877342538607,0.24118237246276145
16662,2020-04-08,Tulsa,Oklahoma,40143.0,293,16,143,Oklahoma,Tulsa,651552,44.96954962919306,2.4556750650753894,0.05460750853242321,3.0695938313442355,0.3069593831344237,3.902769299851958,0.28503371291053625
16663,2020-04-09,Tulsa,Oklahoma,40143.0,308,16,143,Oklahoma,Tulsa,651552,47.271745002701245,2.4556750650753894,0.05194805194805195,2.3021953735081837,0.0,3.442330225150324,0.24118237246276145
16664,2020-04-10,Tulsa,Oklahoma,40143.0,314,16,143,Oklahoma,Tulsa,651552,48.19262315210452,2.4556750650753894,0.050955414012738856,0.9208781494032721,0.0,3.04766816112035,0.1754053617910992
16665,2020-04-11,Tulsa,Oklahoma,40143.0,323,16,143,Oklahoma,Tulsa,651552,49.57394037620942,2.4556750650753894,0.04953560371517028,1.3813172241049045,0.0,2.236418362836517,0.1754053617910992
16666,2020-04-12,Tulsa,Oklahoma,40143.0,332,18,143,Oklahoma,Tulsa,651552,50.95525760031432,2.762634448209813,0.05421686746987952,1.3813172241048974,0.3069593831344237,2.017161660597641,0.21925670223887403
16667,2020-04-13,Tulsa,Oklahoma,40143.0,337,18,143,Oklahoma,Tulsa,651552,51.722656058150385,2.762634448209813,0.05341246290801187,0.767398457836066,0.0,1.9294589797020925,0.21925670223887403
16668,2020-04-14,Tulsa,Oklahoma,40143.0,358,19,143,Oklahoma,Tulsa,651552,54.94572958106183,2.9161141397770245,0.05307262569832402,3.2230735229114487,0.15347969156721142,1.8636819690304307,0.10962835111943695
16669,2020-04-15,Tulsa,Oklahoma,40143.0,362,21,143,Oklahoma,Tulsa,651552,55.559648347330686,3.223073522911448,0.058011049723756904,0.6139187662688528,0.3069593831344237,1.5128712454482331,0.10962835111943695
16670,2020-04-16,Tulsa,Oklahoma,40143.0,376,21,143,Oklahoma,Tulsa,651552,57.70836402927165,3.223073522911448,0.05585106382978723,2.1487156819409634,0.0,1.4909455752243446,0.10962835111943695
16671,2020-04-17,Tulsa,Oklahoma,40143.0,390,22,143,Oklahoma,Tulsa,651552,59.857079711212606,3.37655321447866,0.05641025641025641,2.1487156819409563,0.15347969156721186,1.6663509370154423,0.13155402134332436
16672,2020-04-18,Tulsa,Oklahoma,40143.0,409,22,143,Oklahoma,Tulsa,651552,62.77319385098964,3.37655321447866,0.05378973105134474,2.9161141397770365,0.0,1.8856076392543184,0.13155402134332436
16673,2020-04-19,Tulsa,Oklahoma,40143.0,411,22,143,Oklahoma,Tulsa,651552,63.08015323412406,3.37655321447866,0.0535279805352798,0.3069593831344193,0.0,1.7321279476871072,0.08770268089554954
16674,2020-04-20,Tulsa,Oklahoma,40143.0,422,22,143,Oklahoma,Tulsa,651552,64.76842984136339,3.37655321447866,0.052132701421800945,1.6882766072393238,0.0,1.8636819690304296,0.08770268089554954
16675,2020-04-21,Tulsa,Oklahoma,40143.0,432,25,143,Oklahoma,Tulsa,651552,66.30322675703552,3.8369922891802957,0.05787037037037037,1.534796915672132,0.4604390747016356,1.62249959656767,0.13155402134332442
16676,2020-04-22,Tulsa,Oklahoma,40143.0,437,25,143,Oklahoma,Tulsa,651552,67.07062521487157,3.8369922891802957,0.057208237986270026,0.7673984578360518,0.0,1.6444252667915558,0.0877026808955496
16677,2020-04-23,Tulsa,Oklahoma,40143.0,454,26,143,Oklahoma,Tulsa,651552,69.67977997151418,3.9904719807475075,0.05726872246696035,2.60915475664261,0.15347969156721186,1.7102022774632195,0.10962835111943701
16678,2020-04-24,Tulsa,Oklahoma,40143.0,467,27,143,Oklahoma,Tulsa,651552,71.67501596188792,4.14395167231472,0.057815845824411134,1.995235990373743,0.1534796915672123,1.688276607239332,0.10962835111943707
16679,2020-04-25,Tulsa,Oklahoma,40143.0,479,27,143,Oklahoma,Tulsa,651552,73.51677226069447,4.14395167231472,0.05636743215031315,1.8417562988065441,0.0,1.5347969156721188,0.10962835111943707
16680,2020-04-26,Tulsa,Oklahoma,40143.0,491,27,143,Oklahoma,Tulsa,651552,75.35852855950101,4.14395167231472,0.054989816700611,1.8417562988065441,0.0,1.7540536179109938,0.10962835111943707
16681,2020-04-27,Tulsa,Oklahoma,40143.0,490,28,143,Oklahoma,Tulsa,651552,75.2050488679338,4.297431363881931,0.05714285714285714,-0.1534796915672132,0.15347969156721142,1.4909455752243457,0.13155402134332442
16682,2020-04-28,Tulsa,Oklahoma,40143.0,506,32,143,Oklahoma,Tulsa,651552,77.6607239330092,4.911350130150779,0.06324110671936758,2.455675065075397,0.6139187662688474,1.6224995965676692,0.15347969156721183
16683,2020-04-29,Tulsa,Oklahoma,40143.0,522,33,143,Oklahoma,Tulsa,651552,80.11639899808458,5.06482982171799,0.06321839080459771,2.4556750650753827,0.15347969156721142,1.8636819690304307,0.17540536179109917
16684,2020-04-30,Tulsa,Oklahoma,40143.0,567,33,143,Oklahoma,Tulsa,651552,87.0229851186091,5.06482982171799,0.0582010582010582,6.906586120524523,0.0,2.4776007352992755,0.15347969156721178
16685,2020-05-01,Tulsa,Oklahoma,40143.0,584,33,143,Oklahoma,Tulsa,651552,89.63213987525171,5.06482982171799,0.05650684931506849,2.60915475664261,0.0,2.5653034161948276,0.1315540213433243
16686,2020-05-02,Tulsa,Oklahoma,40143.0,607,34,143,Oklahoma,Tulsa,651552,93.16217278129758,5.218309513285202,0.05601317957166392,3.530032906045875,0.1534796915672123,2.8064857886575894,0.15347969156721178
16687,2020-05-03,Tulsa,Oklahoma,40143.0,628,34,143,Oklahoma,Tulsa,651552,96.38524630420903,5.218309513285202,0.054140127388535034,3.2230735229114487,0.0,3.0038168206725757,0.15347969156721178
16688,2020-05-04,Tulsa,Oklahoma,40143.0,639,34,143,Oklahoma,Tulsa,651552,98.07352291144836,5.218309513285202,0.053208137715179966,1.688276607239331,0.0,3.266924863359225,0.13155402134332442
16689,2020-05-05,Tulsa,Oklahoma,40143.0,645,36,143,Oklahoma,Tulsa,651552,98.99440106085162,5.525268896419626,0.05581395348837209,0.9208781494032507,0.3069593831344237,3.0476681611203467,0.0877026808955496
16690,2020-05-06,Tulsa,Oklahoma,40143.0,653,36,143,Oklahoma,Tulsa,651552,100.22223859338932,5.525268896419626,0.055130168453292494,1.2278375325377056,0.0,2.87226279932925,0.06577701067166226
16691,2020-05-07,Tulsa,Oklahoma,40143.0,676,36,143,Oklahoma,Tulsa,651552,103.75227149943518,5.525268896419626,0.05325443786982249,3.530032906045861,0.0,2.389898054403727,0.06577701067166226
16692,2020-05-08,Tulsa,Oklahoma,40143.0,684,36,143,Oklahoma,Tulsa,651552,104.98010903197289,5.525268896419626,0.05263157894736842,1.2278375325377056,0.0,2.1925670223887406,0.06577701067166226
16693,2020-05-09,Tulsa,Oklahoma,40143.0,695,36,143,Oklahoma,Tulsa,651552,106.66838563921223,5.525268896419626,0.051798561151079135,1.6882766072393451,0.0,1.9294589797020936,0.043851340447774785
16694,2020-05-10,Tulsa,Oklahoma,40143.0,700,36,143,Oklahoma,Tulsa,651552,107.43578409704828,5.525268896419626,0.05142857142857143,0.7673984578360518,0.0,1.578648256119894,0.043851340447774785
