,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,per_100k,new_cases,new_cases_ra
89835,2020-03-14,Allegheny,Pennsylvania,42003.0,1,0,3,Pennsylvania,Allegheny,1216045,0.08223379891369151,,
89836,2020-03-15,Allegheny,Pennsylvania,42003.0,3,0,3,Pennsylvania,Allegheny,1216045,0.24670139674107455,0.16446759782738304,
89837,2020-03-16,Allegheny,Pennsylvania,42003.0,5,0,3,Pennsylvania,Allegheny,1216045,0.41116899456845757,0.16446759782738302,
89838,2020-03-17,Allegheny,Pennsylvania,42003.0,10,0,3,Pennsylvania,Allegheny,1216045,0.8223379891369151,0.41116899456845757,
89839,2020-03-18,Allegheny,Pennsylvania,42003.0,12,0,3,Pennsylvania,Allegheny,1216045,0.9868055869642982,0.16446759782738307,
89840,2020-03-19,Allegheny,Pennsylvania,42003.0,18,0,3,Pennsylvania,Allegheny,1216045,1.4802083804464474,0.4934027934821492,
89841,2020-03-20,Allegheny,Pennsylvania,42003.0,28,0,3,Pennsylvania,Allegheny,1216045,2.3025463695833626,0.8223379891369151,
89842,2020-03-21,Allegheny,Pennsylvania,42003.0,31,1,3,Pennsylvania,Allegheny,1216045,2.549247766324437,0.2467013967410745,
89843,2020-03-22,Allegheny,Pennsylvania,42003.0,40,1,3,Pennsylvania,Allegheny,1216045,3.2893519565476605,0.7401041902232235,
89844,2020-03-23,Allegheny,Pennsylvania,42003.0,48,1,3,Pennsylvania,Allegheny,1216045,3.947222347857193,0.6578703913095323,
89845,2020-03-24,Allegheny,Pennsylvania,42003.0,58,2,3,Pennsylvania,Allegheny,1216045,4.7695603369941075,0.8223379891369147,
89846,2020-03-25,Allegheny,Pennsylvania,42003.0,88,2,3,Pennsylvania,Allegheny,1216045,7.236574304404853,2.467013967410746,
89847,2020-03-26,Allegheny,Pennsylvania,42003.0,133,2,3,Pennsylvania,Allegheny,1216045,10.937095255520973,3.7005209511161192,
89848,2020-03-27,Allegheny,Pennsylvania,42003.0,158,2,3,Pennsylvania,Allegheny,1216045,12.99294022836326,2.055844972842287,
89849,2020-03-28,Allegheny,Pennsylvania,42003.0,219,2,3,Pennsylvania,Allegheny,1216045,18.00920196209844,5.016261733735181,1.2804977259417678
89850,2020-03-29,Allegheny,Pennsylvania,42003.0,265,2,3,Pennsylvania,Allegheny,1216045,21.79195671212825,3.7827547500298095,1.5389468082419413
89851,2020-03-30,Allegheny,Pennsylvania,42003.0,290,2,3,Pennsylvania,Allegheny,1216045,23.847801684970538,2.055844972842287,1.6740451921715773
89852,2020-03-31,Allegheny,Pennsylvania,42003.0,325,2,3,Pennsylvania,Allegheny,1216045,26.72598464694974,2.8781829619792028,1.8502604755580592
89853,2020-04-01,Allegheny,Pennsylvania,42003.0,356,2,3,Pennsylvania,Allegheny,1216045,29.275232413274182,2.5492477663244415,2.020601916164992
89854,2020-04-02,Allegheny,Pennsylvania,42003.0,419,2,3,Pennsylvania,Allegheny,1216045,34.45596174483675,5.180729331562567,2.3554109545993076
89855,2020-04-03,Allegheny,Pennsylvania,42003.0,476,2,3,Pennsylvania,Allegheny,1216045,39.14328828291716,4.687326538080413,2.631481565238129
89856,2020-04-04,Allegheny,Pennsylvania,42003.0,552,3,3,Pennsylvania,Allegheny,1216045,45.393057000357715,6.249768717440553,3.060272088145235
89857,2020-04-05,Allegheny,Pennsylvania,42003.0,605,4,3,Pennsylvania,Allegheny,1216045,49.75144834278337,4.358391342425655,3.3187211704454085
89858,2020-04-06,Allegheny,Pennsylvania,42003.0,642,4,3,Pennsylvania,Allegheny,1216045,52.79409890258996,3.0426505598065887,3.4890626110523413
89859,2020-04-07,Allegheny,Pennsylvania,42003.0,689,6,3,Pennsylvania,Allegheny,1216045,56.65908745153346,3.8649885489435007,3.706394793895669
89860,2020-04-08,Allegheny,Pennsylvania,42003.0,720,10,3,Pennsylvania,Allegheny,1216045,59.20833521785789,2.5492477663244344,3.7122686366752187
89861,2020-04-09,Allegheny,Pennsylvania,42003.0,759,12,3,Pennsylvania,Allegheny,1216045,62.415453375491865,3.207118157633971,3.6770255799979226
89862,2020-04-10,Allegheny,Pennsylvania,42003.0,788,18,3,Pennsylvania,Allegheny,1216045,64.80023354398891,2.384780168497045,3.7005209511161192
89863,2020-04-11,Allegheny,Pennsylvania,42003.0,836,19,3,Pennsylvania,Allegheny,1216045,68.74745589184612,3.947222347857206,3.6241609949819784
89864,2020-04-12,Allegheny,Pennsylvania,42003.0,857,19,3,Pennsylvania,Allegheny,1216045,70.47436566903363,1.7269097771875153,3.477314925493243
89865,2020-04-13,Allegheny,Pennsylvania,42003.0,876,21,3,Pennsylvania,Allegheny,1216045,72.03680784839376,1.5624421793601329,3.4420718688159466
89866,2020-04-14,Allegheny,Pennsylvania,42003.0,893,24,3,Pennsylvania,Allegheny,1216045,73.43478242992653,1.3979745815327647,3.3363426987840583
89867,2020-04-15,Allegheny,Pennsylvania,42003.0,904,26,3,Pennsylvania,Allegheny,1216045,74.33935421797713,0.9045717880506032,3.2188658431930697
89868,2020-04-16,Allegheny,Pennsylvania,42003.0,925,38,3,Pennsylvania,Allegheny,1216045,76.06626399516465,1.7269097771875153,2.9721644464519947
89869,2020-04-17,Allegheny,Pennsylvania,42003.0,947,43,3,Pennsylvania,Allegheny,1216045,77.87540757126587,1.8091435761012207,2.7665799491677667
89870,2020-04-18,Allegheny,Pennsylvania,42003.0,1009,47,3,Pennsylvania,Allegheny,1216045,82.97390310391474,5.098495532648869,2.684346150254075
89871,2020-04-19,Allegheny,Pennsylvania,42003.0,1035,50,3,Pennsylvania,Allegheny,1216045,85.11198187567072,2.1380787717559855,2.5257523952062413
89872,2020-04-20,Allegheny,Pennsylvania,42003.0,1042,55,3,Pennsylvania,Allegheny,1216045,85.68761846806656,0.5756365923958384,2.3495371118197594
89873,2020-04-21,Allegheny,Pennsylvania,42003.0,1059,67,3,Pennsylvania,Allegheny,1216045,87.08559304959931,1.3979745815327504,2.173321828433277
89874,2020-04-22,Allegheny,Pennsylvania,42003.0,1088,74,3,Pennsylvania,Allegheny,1216045,89.47037321809637,2.384780168497059,2.161574142874179
89875,2020-04-23,Allegheny,Pennsylvania,42003.0,1149,69,3,Pennsylvania,Allegheny,1216045,94.48663495183155,5.016261733735178,2.290798684024265
89876,2020-04-24,Allegheny,Pennsylvania,42003.0,1177,71,3,Pennsylvania,Allegheny,1216045,96.78918132141492,2.302546369583368,2.2849248412447167
89877,2020-04-25,Allegheny,Pennsylvania,42003.0,1198,73,3,Pennsylvania,Allegheny,1216045,98.51609109860243,1.7269097771875153,2.1263310861968816
89878,2020-04-26,Allegheny,Pennsylvania,42003.0,1211,73,3,Pennsylvania,Allegheny,1216045,99.58513048448042,1.0690393858779856,2.0793403439604865
89879,2020-04-27,Allegheny,Pennsylvania,42003.0,1224,79,3,Pennsylvania,Allegheny,1216045,100.65416987035843,1.069039385878014,2.0440972872831926
89880,2020-04-28,Allegheny,Pennsylvania,42003.0,1235,87,3,Pennsylvania,Allegheny,1216045,101.55874165840902,0.904571788050589,2.0088542306058943
89881,2020-04-29,Allegheny,Pennsylvania,42003.0,1273,86,3,Pennsylvania,Allegheny,1216045,104.68362601712928,3.1248843587202657,2.167447985653727
89882,2020-04-30,Allegheny,Pennsylvania,42003.0,1289,94,3,Pennsylvania,Allegheny,1216045,105.99936679974837,1.3157407826190877,2.1380787717559824
89883,2020-05-01,Allegheny,Pennsylvania,42003.0,1319,99,3,Pennsylvania,Allegheny,1216045,108.46638076715911,2.467013967410736,2.1850695139923766
89884,2020-05-02,Allegheny,Pennsylvania,42003.0,1333,102,3,Pennsylvania,Allegheny,1216045,109.6176539519508,1.151273184791691,1.9031250605740067
89885,2020-05-03,Allegheny,Pennsylvania,42003.0,1345,102,3,Pennsylvania,Allegheny,1216045,110.6044595389151,0.9868055869642944,1.8208912616603143
