,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,cases_per_100k,deaths_per_100k,death_rate,new_cases,new_cases_per_100k,new_deaths,new_cases_per_100k_ra,new_deaths_ra,active_cases,infected_to_one
390045,2020-03-24,Armstrong,Pennsylvania,42005.0,1,0.0,5,Pennsylvania,Armstrong,64735,1.5447594037228702,0.0,0.0,,,,,,,
390046,2020-03-25,Armstrong,Pennsylvania,42005.0,1,0.0,5,Pennsylvania,Armstrong,64735,1.5447594037228702,0.0,0.0,0.0,0.0,0.0,,,,
390047,2020-03-26,Armstrong,Pennsylvania,42005.0,1,0.0,5,Pennsylvania,Armstrong,64735,1.5447594037228702,0.0,0.0,0.0,0.0,0.0,,,,
390048,2020-03-27,Armstrong,Pennsylvania,42005.0,1,0.0,5,Pennsylvania,Armstrong,64735,1.5447594037228702,0.0,0.0,0.0,0.0,0.0,,,,
390049,2020-03-28,Armstrong,Pennsylvania,42005.0,2,0.0,5,Pennsylvania,Armstrong,64735,3.0895188074457405,0.0,0.0,1.0,1.5447594037228702,0.0,,,,
390050,2020-03-29,Armstrong,Pennsylvania,42005.0,3,0.0,5,Pennsylvania,Armstrong,64735,4.63427821116861,0.0,0.0,1.0,1.5447594037228694,0.0,,,,
390051,2020-03-30,Armstrong,Pennsylvania,42005.0,3,0.0,5,Pennsylvania,Armstrong,64735,4.63427821116861,0.0,0.0,0.0,0.0,0.0,,,,
390052,2020-03-31,Armstrong,Pennsylvania,42005.0,5,0.0,5,Pennsylvania,Armstrong,64735,7.72379701861435,0.0,0.0,2.0,3.0895188074457405,0.0,0.8827196592702115,0.0,,
390053,2020-04-01,Armstrong,Pennsylvania,42005.0,5,0.0,5,Pennsylvania,Armstrong,64735,7.72379701861435,0.0,0.0,0.0,0.0,0.0,0.8827196592702115,0.0,4.0,4045.9375
390054,2020-04-02,Armstrong,Pennsylvania,42005.0,7,0.0,5,Pennsylvania,Armstrong,64735,10.81331582606009,0.0,0.0,2.0,3.0895188074457405,0.0,1.3240794889053171,0.0,6.0,2697.291666666667
390055,2020-04-03,Armstrong,Pennsylvania,42005.0,11,0.0,5,Pennsylvania,Armstrong,64735,16.99235344095157,0.0,0.0,4.0,6.179037614891481,0.0,2.2067991481755285,0.0,10.0,1618.375
390056,2020-04-04,Armstrong,Pennsylvania,42005.0,12,0.0,5,Pennsylvania,Armstrong,64735,18.53711284467444,0.0,0.0,1.0,1.5447594037228676,0.0,2.206799148175528,0.0,11.0,1471.25
390057,2020-04-05,Armstrong,Pennsylvania,42005.0,12,0.0,5,Pennsylvania,Armstrong,64735,18.53711284467444,0.0,0.0,0.0,0.0,0.0,1.9861192333579754,0.0,10.0,1618.375
390058,2020-04-06,Armstrong,Pennsylvania,42005.0,13,0.0,5,Pennsylvania,Armstrong,64735,20.081872248397314,0.0,0.0,1.0,1.5447594037228747,0.0,2.206799148175529,0.0,10.0,1618.375
390059,2020-04-07,Armstrong,Pennsylvania,42005.0,18,0.0,5,Pennsylvania,Armstrong,64735,27.805669267011663,0.0,0.0,5.0,7.7237970186143485,0.0,2.868838892628187,0.0,15.0,1078.9166666666667
390060,2020-04-08,Armstrong,Pennsylvania,42005.0,19,0.0,5,Pennsylvania,Armstrong,64735,29.350428670734534,0.0,0.0,1.0,1.5447594037228711,0.0,3.08951880744574,0.0,14.0,1155.982142857143
