,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,cases_per_100k,deaths_per_100k,death_rate,new_cases,new_cases_per_100k,new_deaths,new_cases_per_100k_ra,new_deaths_ra,active_cases,infected_to_one
544782,2020-03-28,Snyder,Pennsylvania,42109.0,1,0.0,109,Pennsylvania,Snyder,40372,2.4769642326364805,0.0,0.0,,,,,,,
544783,2020-03-29,Snyder,Pennsylvania,42109.0,2,0.0,109,Pennsylvania,Snyder,40372,4.953928465272961,0.0,0.0,1.0,2.4769642326364805,0.0,,,,
544784,2020-03-30,Snyder,Pennsylvania,42109.0,2,0.0,109,Pennsylvania,Snyder,40372,4.953928465272961,0.0,0.0,0.0,0.0,0.0,,,,
544785,2020-03-31,Snyder,Pennsylvania,42109.0,2,1.0,109,Pennsylvania,Snyder,40372,4.953928465272961,2.4769642326364805,0.5,0.0,0.0,2.4769642326364805,,,,
544786,2020-04-01,Snyder,Pennsylvania,42109.0,3,1.0,109,Pennsylvania,Snyder,40372,7.430892697909441,2.4769642326364805,0.3333333333333333,1.0,2.4769642326364805,0.0,,,,
544787,2020-04-02,Snyder,Pennsylvania,42109.0,3,1.0,109,Pennsylvania,Snyder,40372,7.430892697909441,2.4769642326364805,0.3333333333333333,0.0,0.0,0.0,,,,
544788,2020-04-03,Snyder,Pennsylvania,42109.0,4,1.0,109,Pennsylvania,Snyder,40372,9.907856930545922,2.4769642326364805,0.25,1.0,2.4769642326364805,0.0,,,,
544789,2020-04-04,Snyder,Pennsylvania,42109.0,6,1.0,109,Pennsylvania,Snyder,40372,14.861785395818883,2.4769642326364805,0.16666666666666666,2.0,4.953928465272961,0.0,1.7692601661689145,0.35385203323378295,,
544790,2020-04-05,Snyder,Pennsylvania,42109.0,8,1.0,109,Pennsylvania,Snyder,40372,19.815713861091844,2.4769642326364805,0.125,2.0,4.953928465272961,0.0,2.1231121994026974,0.35385203323378295,7.0,1441.857142857143
544791,2020-04-06,Snyder,Pennsylvania,42109.0,8,1.0,109,Pennsylvania,Snyder,40372,19.815713861091844,2.4769642326364805,0.125,0.0,0.0,0.0,2.1231121994026974,0.35385203323378295,6.0,1682.1666666666667
544792,2020-04-07,Snyder,Pennsylvania,42109.0,9,1.0,109,Pennsylvania,Snyder,40372,22.292678093728327,2.4769642326364805,0.1111111111111111,1.0,2.476964232636483,0.0,2.4769642326364805,0.0,7.0,1441.857142857143
544793,2020-04-08,Snyder,Pennsylvania,42109.0,9,1.0,109,Pennsylvania,Snyder,40372,22.292678093728327,2.4769642326364805,0.1111111111111111,0.0,0.0,0.0,2.123112199402698,0.0,7.0,1441.857142857143
544794,2020-04-09,Snyder,Pennsylvania,42109.0,9,1.0,109,Pennsylvania,Snyder,40372,22.292678093728327,2.4769642326364805,0.1111111111111111,0.0,0.0,0.0,2.123112199402698,0.0,6.0,1682.1666666666667
544795,2020-04-10,Snyder,Pennsylvania,42109.0,12,1.0,109,Pennsylvania,Snyder,40372,29.723570791637766,2.4769642326364805,0.08333333333333333,3.0,7.430892697909439,0.0,2.8308162658702636,0.0,9.0,1121.4444444444443
544796,2020-04-11,Snyder,Pennsylvania,42109.0,16,1.0,109,Pennsylvania,Snyder,40372,39.63142772218369,2.4769642326364805,0.0625,4.0,9.907856930545922,0.0,3.538520332337829,0.0,12.0,841.0833333333334
544797,2020-04-12,Snyder,Pennsylvania,42109.0,20,1.0,109,Pennsylvania,Snyder,40372,49.53928465272962,2.4769642326364805,0.05,4.0,9.907856930545933,0.0,4.2462243988053965,0.0,14.0,720.9285714285714
544798,2020-04-13,Snyder,Pennsylvania,42109.0,23,1.0,109,Pennsylvania,Snyder,40372,56.97017735063906,2.4769642326364805,0.043478260869565216,3.0,7.430892697909442,0.0,5.307780498506745,0.0,15.0,672.8666666666667
544799,2020-04-14,Snyder,Pennsylvania,42109.0,24,1.0,109,Pennsylvania,Snyder,40372,59.44714158327553,2.4769642326364805,0.041666666666666664,1.0,2.476964232636469,0.0,5.307780498506744,0.0,16.0,630.8125
544800,2020-04-15,Snyder,Pennsylvania,42109.0,24,1.0,109,Pennsylvania,Snyder,40372,59.44714158327553,2.4769642326364805,0.041666666666666664,0.0,0.0,0.0,5.307780498506744,0.0,15.0,672.8666666666667
544801,2020-04-16,Snyder,Pennsylvania,42109.0,24,1.0,109,Pennsylvania,Snyder,40372,59.44714158327553,2.4769642326364805,0.041666666666666664,0.0,0.0,0.0,5.307780498506744,0.0,15.0,672.8666666666667
544802,2020-04-17,Snyder,Pennsylvania,42109.0,25,1.0,109,Pennsylvania,Snyder,40372,61.92410581591202,2.4769642326364805,0.04,1.0,2.4769642326364902,0.0,4.60007643203918,0.0,16.0,630.8125
544803,2020-04-18,Snyder,Pennsylvania,42109.0,27,1.0,109,Pennsylvania,Snyder,40372,66.87803428118498,2.4769642326364805,0.037037037037037035,2.0,4.953928465272959,0.0,3.892372365571614,0.0,15.0,672.8666666666667
544804,2020-04-19,Snyder,Pennsylvania,42109.0,27,1.0,109,Pennsylvania,Snyder,40372,66.87803428118498,2.4769642326364805,0.037037037037037035,0.0,0.0,0.0,2.4769642326364805,0.0,11.0,917.5454545454545
544805,2020-04-20,Snyder,Pennsylvania,42109.0,28,1.0,109,Pennsylvania,Snyder,40372,69.35499851382146,2.4769642326364805,0.03571428571428571,1.0,2.476964232636476,0.0,1.769260166168914,0.0,8.0,1261.625
544806,2020-04-21,Snyder,Pennsylvania,42109.0,30,1.0,109,Pennsylvania,Snyder,40372,74.30892697909442,2.4769642326364805,0.03333333333333333,2.0,4.953928465272966,0.0,2.123112199402699,0.0,7.0,1441.857142857143
544807,2020-04-22,Snyder,Pennsylvania,42109.0,31,1.0,109,Pennsylvania,Snyder,40372,76.7858912117309,2.4769642326364805,0.03225806451612903,1.0,2.476964232636476,0.0,2.476964232636482,0.0,7.0,1441.857142857143
544808,2020-04-23,Snyder,Pennsylvania,42109.0,31,1.0,109,Pennsylvania,Snyder,40372,76.7858912117309,2.4769642326364805,0.03225806451612903,0.0,0.0,0.0,2.476964232636482,0.0,7.0,1441.857142857143
544809,2020-04-24,Snyder,Pennsylvania,42109.0,31,1.0,109,Pennsylvania,Snyder,40372,76.7858912117309,2.4769642326364805,0.03225806451612903,0.0,0.0,0.0,2.1231121994026974,0.0,7.0,1441.857142857143
544810,2020-04-25,Snyder,Pennsylvania,42109.0,32,1.0,109,Pennsylvania,Snyder,40372,79.26285544436737,2.4769642326364805,0.03125,1.0,2.476964232636476,0.0,1.769260166168914,0.0,7.0,1441.857142857143
544811,2020-04-26,Snyder,Pennsylvania,42109.0,33,1.0,109,Pennsylvania,Snyder,40372,81.73981967700387,2.4769642326364805,0.030303030303030304,1.0,2.4769642326364902,0.0,2.1231121994026982,0.0,6.0,1682.1666666666667
544812,2020-04-27,Snyder,Pennsylvania,42109.0,33,1.0,109,Pennsylvania,Snyder,40372,81.73981967700387,2.4769642326364805,0.030303030303030304,0.0,0.0,0.0,1.769260166168916,0.0,6.0,1682.1666666666667
544813,2020-04-28,Snyder,Pennsylvania,42109.0,33,1.0,109,Pennsylvania,Snyder,40372,81.73981967700387,2.4769642326364805,0.030303030303030304,0.0,0.0,0.0,1.0615560997013493,0.0,5.0,2018.6
544814,2020-04-29,Snyder,Pennsylvania,42109.0,33,1.0,109,Pennsylvania,Snyder,40372,81.73981967700387,2.4769642326364805,0.030303030303030304,0.0,0.0,0.0,0.7077040664675671,0.0,3.0,3364.3333333333335
544815,2020-04-30,Snyder,Pennsylvania,42109.0,33,1.0,109,Pennsylvania,Snyder,40372,81.73981967700387,2.4769642326364805,0.030303030303030304,0.0,0.0,0.0,0.7077040664675671,0.0,2.0,5046.5
