,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,per_100k,new_cases,new_cases_ra
17146,2020-03-06,Charleston,South Carolina,45019.0,1,0,19,South Carolina,Charleston,411406,0.24306889058496958,,
17147,2020-03-07,Charleston,South Carolina,45019.0,1,0,19,South Carolina,Charleston,411406,0.24306889058496958,0.0,
17148,2020-03-08,Charleston,South Carolina,45019.0,1,0,19,South Carolina,Charleston,411406,0.24306889058496958,0.0,
17149,2020-03-09,Charleston,South Carolina,45019.0,1,0,19,South Carolina,Charleston,411406,0.24306889058496958,0.0,
17150,2020-03-10,Charleston,South Carolina,45019.0,1,0,19,South Carolina,Charleston,411406,0.24306889058496958,0.0,
17151,2020-03-11,Charleston,South Carolina,45019.0,1,0,19,South Carolina,Charleston,411406,0.24306889058496958,0.0,
17152,2020-03-12,Charleston,South Carolina,45019.0,1,0,19,South Carolina,Charleston,411406,0.24306889058496958,0.0,
17153,2020-03-13,Charleston,South Carolina,45019.0,1,0,19,South Carolina,Charleston,411406,0.24306889058496958,0.0,
17154,2020-03-14,Charleston,South Carolina,45019.0,1,0,19,South Carolina,Charleston,411406,0.24306889058496958,0.0,
17155,2020-03-15,Charleston,South Carolina,45019.0,1,0,19,South Carolina,Charleston,411406,0.24306889058496958,0.0,
17156,2020-03-16,Charleston,South Carolina,45019.0,1,0,19,South Carolina,Charleston,411406,0.24306889058496958,0.0,
17157,2020-03-17,Charleston,South Carolina,45019.0,3,0,19,South Carolina,Charleston,411406,0.7292066717549087,0.4861377811699391,
17158,2020-03-18,Charleston,South Carolina,45019.0,4,0,19,South Carolina,Charleston,411406,0.9722755623398783,0.2430688905849696,
17159,2020-03-19,Charleston,South Carolina,45019.0,5,0,19,South Carolina,Charleston,411406,1.2153444529248478,0.2430688905849695,
17160,2020-03-20,Charleston,South Carolina,45019.0,6,1,19,South Carolina,Charleston,411406,1.4584133435098174,0.2430688905849696,0.08681031806606056
17161,2020-03-21,Charleston,South Carolina,45019.0,9,1,19,South Carolina,Charleston,411406,2.1876200152647263,0.7292066717549088,0.1388965089056969
17162,2020-03-22,Charleston,South Carolina,45019.0,13,1,19,South Carolina,Charleston,411406,3.1598955776046047,0.9722755623398784,0.20834476335854538
