,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,per_100k,new_cases,new_cases_ra
313749,2020-03-24,Chesterfield,South Carolina,45025.0,1,0,25,South Carolina,Chesterfield,45650,2.190580503833516,,
313750,2020-03-25,Chesterfield,South Carolina,45025.0,3,0,25,South Carolina,Chesterfield,45650,6.571741511500547,4.381161007667031,
313751,2020-03-26,Chesterfield,South Carolina,45025.0,3,0,25,South Carolina,Chesterfield,45650,6.571741511500547,0.0,
313752,2020-03-27,Chesterfield,South Carolina,45025.0,4,0,25,South Carolina,Chesterfield,45650,8.762322015334064,2.190580503833517,
313753,2020-03-28,Chesterfield,South Carolina,45025.0,4,0,25,South Carolina,Chesterfield,45650,8.762322015334064,0.0,
313754,2020-03-29,Chesterfield,South Carolina,45025.0,4,0,25,South Carolina,Chesterfield,45650,8.762322015334064,0.0,
313755,2020-03-30,Chesterfield,South Carolina,45025.0,6,0,25,South Carolina,Chesterfield,45650,13.143483023001094,4.38116100766703,
313756,2020-03-31,Chesterfield,South Carolina,45025.0,6,0,25,South Carolina,Chesterfield,45650,13.143483023001094,0.0,
313757,2020-04-01,Chesterfield,South Carolina,45025.0,9,0,25,South Carolina,Chesterfield,45650,19.715224534501644,6.57174151150055,
313758,2020-04-02,Chesterfield,South Carolina,45025.0,10,0,25,South Carolina,Chesterfield,45650,21.90580503833516,2.190580503833516,
313759,2020-04-03,Chesterfield,South Carolina,45025.0,10,0,25,South Carolina,Chesterfield,45650,21.90580503833516,0.0,
313760,2020-04-04,Chesterfield,South Carolina,45025.0,13,0,25,South Carolina,Chesterfield,45650,28.477546549835708,6.571741511500548,
313761,2020-04-05,Chesterfield,South Carolina,45025.0,13,0,25,South Carolina,Chesterfield,45650,28.477546549835708,0.0,
313762,2020-04-06,Chesterfield,South Carolina,45025.0,15,0,25,South Carolina,Chesterfield,45650,32.85870755750274,4.381161007667032,
313763,2020-04-07,Chesterfield,South Carolina,45025.0,16,0,25,South Carolina,Chesterfield,45650,35.049288061336256,2.190580503833516,2.347050539821624
313764,2020-04-08,Chesterfield,South Carolina,45025.0,20,0,25,South Carolina,Chesterfield,45650,43.81161007667032,8.762322015334064,2.659990611797841
313765,2020-04-09,Chesterfield,South Carolina,45025.0,21,0,25,South Carolina,Chesterfield,45650,46.00219058050383,2.190580503833509,2.8164606477859486
313766,2020-04-10,Chesterfield,South Carolina,45025.0,22,0,25,South Carolina,Chesterfield,45650,48.192771084337345,2.190580503833516,2.8164606477859486
