,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,per_100k,new_cases,new_cases_ra
48564,2020-03-11,Lancaster,South Carolina,45057.0,1,0,57,South Carolina,Lancaster,98012,1.0202832306248213,,
48565,2020-03-12,Lancaster,South Carolina,45057.0,2,0,57,South Carolina,Lancaster,98012,2.0405664612496426,1.0202832306248213,
48566,2020-03-13,Lancaster,South Carolina,45057.0,2,0,57,South Carolina,Lancaster,98012,2.0405664612496426,0.0,
48567,2020-03-14,Lancaster,South Carolina,45057.0,2,0,57,South Carolina,Lancaster,98012,2.0405664612496426,0.0,
48568,2020-03-15,Lancaster,South Carolina,45057.0,2,0,57,South Carolina,Lancaster,98012,2.0405664612496426,0.0,
48569,2020-03-16,Lancaster,South Carolina,45057.0,2,0,57,South Carolina,Lancaster,98012,2.0405664612496426,0.0,
48570,2020-03-17,Lancaster,South Carolina,45057.0,2,0,57,South Carolina,Lancaster,98012,2.0405664612496426,0.0,
48571,2020-03-18,Lancaster,South Carolina,45057.0,2,0,57,South Carolina,Lancaster,98012,2.0405664612496426,0.0,
48572,2020-03-19,Lancaster,South Carolina,45057.0,3,0,57,South Carolina,Lancaster,98012,3.0608496918744645,1.020283230624822,
48573,2020-03-20,Lancaster,South Carolina,45057.0,3,0,57,South Carolina,Lancaster,98012,3.0608496918744645,0.0,
48574,2020-03-21,Lancaster,South Carolina,45057.0,3,0,57,South Carolina,Lancaster,98012,3.0608496918744645,0.0,
48575,2020-03-22,Lancaster,South Carolina,45057.0,5,0,57,South Carolina,Lancaster,98012,5.101416153124107,2.040566461249642,
48576,2020-03-23,Lancaster,South Carolina,45057.0,7,0,57,South Carolina,Lancaster,98012,7.14198261437375,2.040566461249643,
48577,2020-03-24,Lancaster,South Carolina,45057.0,7,0,57,South Carolina,Lancaster,98012,7.14198261437375,0.0,
48578,2020-03-25,Lancaster,South Carolina,45057.0,7,0,57,South Carolina,Lancaster,98012,7.14198261437375,0.0,0.43726424169635203
48579,2020-03-26,Lancaster,South Carolina,45057.0,7,0,57,South Carolina,Lancaster,98012,7.14198261437375,0.0,0.36438686808029336
