,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,per_100k,new_cases,new_cases_ra
682806,2020-06-04,Custer,South Dakota,46033.0,1,0,33,South Dakota,Custer,8972,11.145786892554614,,
682807,2020-06-05,Custer,South Dakota,46033.0,1,0,33,South Dakota,Custer,8972,11.145786892554614,0.0,
682808,2020-06-06,Custer,South Dakota,46033.0,1,0,33,South Dakota,Custer,8972,11.145786892554614,0.0,
682809,2020-06-07,Custer,South Dakota,46033.0,1,0,33,South Dakota,Custer,8972,11.145786892554614,0.0,
682810,2020-06-08,Custer,South Dakota,46033.0,1,0,33,South Dakota,Custer,8972,11.145786892554614,0.0,
682811,2020-06-09,Custer,South Dakota,46033.0,1,0,33,South Dakota,Custer,8972,11.145786892554614,0.0,
682812,2020-06-10,Custer,South Dakota,46033.0,1,0,33,South Dakota,Custer,8972,11.145786892554614,0.0,
682813,2020-06-11,Custer,South Dakota,46033.0,1,0,33,South Dakota,Custer,8972,11.145786892554614,0.0,
682814,2020-06-12,Custer,South Dakota,46033.0,2,0,33,South Dakota,Custer,8972,22.29157378510923,11.145786892554614,
682815,2020-06-13,Custer,South Dakota,46033.0,2,0,33,South Dakota,Custer,8972,22.29157378510923,0.0,
682816,2020-06-14,Custer,South Dakota,46033.0,2,0,33,South Dakota,Custer,8972,22.29157378510923,0.0,
682817,2020-06-15,Custer,South Dakota,46033.0,2,0,33,South Dakota,Custer,8972,22.29157378510923,0.0,
682818,2020-06-16,Custer,South Dakota,46033.0,2,0,33,South Dakota,Custer,8972,22.29157378510923,0.0,
682819,2020-06-17,Custer,South Dakota,46033.0,2,0,33,South Dakota,Custer,8972,22.29157378510923,0.0,
682820,2020-06-18,Custer,South Dakota,46033.0,2,0,33,South Dakota,Custer,8972,22.29157378510923,0.0,0.7961276351824724
682821,2020-06-19,Custer,South Dakota,46033.0,3,0,33,South Dakota,Custer,8972,33.43736067766385,11.145786892554618,1.592255270364945
682822,2020-06-20,Custer,South Dakota,46033.0,6,0,33,South Dakota,Custer,8972,66.8747213553277,33.43736067766385,3.9806381759123632
682823,2020-06-21,Custer,South Dakota,46033.0,7,0,33,South Dakota,Custer,8972,78.0205082478823,11.14578689255461,4.776765811094835
682824,2020-06-22,Custer,South Dakota,46033.0,7,0,33,South Dakota,Custer,8972,78.0205082478823,0.0,4.776765811094835
682825,2020-06-23,Custer,South Dakota,46033.0,7,0,33,South Dakota,Custer,8972,78.0205082478823,0.0,4.776765811094835
682826,2020-06-24,Custer,South Dakota,46033.0,7,0,33,South Dakota,Custer,8972,78.0205082478823,0.0,4.776765811094835
682827,2020-06-25,Custer,South Dakota,46033.0,7,0,33,South Dakota,Custer,8972,78.0205082478823,0.0,4.776765811094835
682828,2020-06-26,Custer,South Dakota,46033.0,7,0,33,South Dakota,Custer,8972,78.0205082478823,0.0,3.9806381759123632
682829,2020-06-27,Custer,South Dakota,46033.0,8,0,33,South Dakota,Custer,8972,89.16629514043692,11.14578689255461,4.776765811094835
682830,2020-06-28,Custer,South Dakota,46033.0,8,0,33,South Dakota,Custer,8972,89.16629514043692,0.0,4.776765811094835
682831,2020-06-29,Custer,South Dakota,46033.0,8,0,33,South Dakota,Custer,8972,89.16629514043692,0.0,4.776765811094835
