,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,per_100k,new_cases,new_cases_ra
613366,2020-04-10,Miner,South Dakota,46097.0,1,0,97,South Dakota,Miner,2216,45.12635379061372,,
613367,2020-04-11,Miner,South Dakota,46097.0,1,0,97,South Dakota,Miner,2216,45.12635379061372,0.0,
613368,2020-04-12,Miner,South Dakota,46097.0,1,0,97,South Dakota,Miner,2216,45.12635379061372,0.0,
613369,2020-04-13,Miner,South Dakota,46097.0,1,0,97,South Dakota,Miner,2216,45.12635379061372,0.0,
613370,2020-04-14,Miner,South Dakota,46097.0,1,0,97,South Dakota,Miner,2216,45.12635379061372,0.0,
613371,2020-04-15,Miner,South Dakota,46097.0,1,0,97,South Dakota,Miner,2216,45.12635379061372,0.0,
613372,2020-04-16,Miner,South Dakota,46097.0,1,0,97,South Dakota,Miner,2216,45.12635379061372,0.0,
613373,2020-04-17,Miner,South Dakota,46097.0,1,0,97,South Dakota,Miner,2216,45.12635379061372,0.0,
613374,2020-04-18,Miner,South Dakota,46097.0,1,0,97,South Dakota,Miner,2216,45.12635379061372,0.0,
613375,2020-04-19,Miner,South Dakota,46097.0,1,0,97,South Dakota,Miner,2216,45.12635379061372,0.0,
613376,2020-04-20,Miner,South Dakota,46097.0,1,0,97,South Dakota,Miner,2216,45.12635379061372,0.0,
613377,2020-04-21,Miner,South Dakota,46097.0,1,0,97,South Dakota,Miner,2216,45.12635379061372,0.0,
613378,2020-04-22,Miner,South Dakota,46097.0,1,0,97,South Dakota,Miner,2216,45.12635379061372,0.0,
613379,2020-04-23,Miner,South Dakota,46097.0,1,0,97,South Dakota,Miner,2216,45.12635379061372,0.0,
613380,2020-04-24,Miner,South Dakota,46097.0,1,0,97,South Dakota,Miner,2216,45.12635379061372,0.0,0.0
613381,2020-04-25,Miner,South Dakota,46097.0,1,0,97,South Dakota,Miner,2216,45.12635379061372,0.0,0.0
613382,2020-04-26,Miner,South Dakota,46097.0,1,0,97,South Dakota,Miner,2216,45.12635379061372,0.0,0.0
613383,2020-04-27,Miner,South Dakota,46097.0,1,0,97,South Dakota,Miner,2216,45.12635379061372,0.0,0.0
613384,2020-04-28,Miner,South Dakota,46097.0,1,0,97,South Dakota,Miner,2216,45.12635379061372,0.0,0.0
613385,2020-04-29,Miner,South Dakota,46097.0,1,0,97,South Dakota,Miner,2216,45.12635379061372,0.0,0.0
613386,2020-04-30,Miner,South Dakota,46097.0,1,0,97,South Dakota,Miner,2216,45.12635379061372,0.0,0.0
613387,2020-05-01,Miner,South Dakota,46097.0,1,0,97,South Dakota,Miner,2216,45.12635379061372,0.0,0.0
613388,2020-05-02,Miner,South Dakota,46097.0,1,0,97,South Dakota,Miner,2216,45.12635379061372,0.0,0.0
613389,2020-05-03,Miner,South Dakota,46097.0,1,0,97,South Dakota,Miner,2216,45.12635379061372,0.0,0.0
613390,2020-05-04,Miner,South Dakota,46097.0,1,0,97,South Dakota,Miner,2216,45.12635379061372,0.0,0.0
613391,2020-05-05,Miner,South Dakota,46097.0,1,0,97,South Dakota,Miner,2216,45.12635379061372,0.0,0.0
613392,2020-05-06,Miner,South Dakota,46097.0,1,0,97,South Dakota,Miner,2216,45.12635379061372,0.0,0.0
613393,2020-05-07,Miner,South Dakota,46097.0,1,0,97,South Dakota,Miner,2216,45.12635379061372,0.0,0.0
613394,2020-05-08,Miner,South Dakota,46097.0,1,0,97,South Dakota,Miner,2216,45.12635379061372,0.0,0.0
613395,2020-05-09,Miner,South Dakota,46097.0,1,0,97,South Dakota,Miner,2216,45.12635379061372,0.0,0.0
613396,2020-05-10,Miner,South Dakota,46097.0,1,0,97,South Dakota,Miner,2216,45.12635379061372,0.0,0.0
613397,2020-05-11,Miner,South Dakota,46097.0,1,0,97,South Dakota,Miner,2216,45.12635379061372,0.0,0.0
613398,2020-05-12,Miner,South Dakota,46097.0,1,0,97,South Dakota,Miner,2216,45.12635379061372,0.0,0.0
613399,2020-05-13,Miner,South Dakota,46097.0,1,0,97,South Dakota,Miner,2216,45.12635379061372,0.0,0.0
613400,2020-05-14,Miner,South Dakota,46097.0,1,0,97,South Dakota,Miner,2216,45.12635379061372,0.0,0.0
613401,2020-05-15,Miner,South Dakota,46097.0,1,0,97,South Dakota,Miner,2216,45.12635379061372,0.0,0.0
613402,2020-05-16,Miner,South Dakota,46097.0,1,0,97,South Dakota,Miner,2216,45.12635379061372,0.0,0.0
613403,2020-05-17,Miner,South Dakota,46097.0,1,0,97,South Dakota,Miner,2216,45.12635379061372,0.0,0.0
613404,2020-05-18,Miner,South Dakota,46097.0,1,0,97,South Dakota,Miner,2216,45.12635379061372,0.0,0.0
613405,2020-05-19,Miner,South Dakota,46097.0,1,0,97,South Dakota,Miner,2216,45.12635379061372,0.0,0.0
613406,2020-05-20,Miner,South Dakota,46097.0,1,0,97,South Dakota,Miner,2216,45.12635379061372,0.0,0.0
613407,2020-05-21,Miner,South Dakota,46097.0,1,0,97,South Dakota,Miner,2216,45.12635379061372,0.0,0.0
613408,2020-05-22,Miner,South Dakota,46097.0,1,0,97,South Dakota,Miner,2216,45.12635379061372,0.0,0.0
613409,2020-05-23,Miner,South Dakota,46097.0,1,0,97,South Dakota,Miner,2216,45.12635379061372,0.0,0.0
613410,2020-05-24,Miner,South Dakota,46097.0,1,0,97,South Dakota,Miner,2216,45.12635379061372,0.0,0.0
613411,2020-05-25,Miner,South Dakota,46097.0,1,0,97,South Dakota,Miner,2216,45.12635379061372,0.0,0.0
613412,2020-05-26,Miner,South Dakota,46097.0,1,0,97,South Dakota,Miner,2216,45.12635379061372,0.0,0.0
613413,2020-05-27,Miner,South Dakota,46097.0,1,0,97,South Dakota,Miner,2216,45.12635379061372,0.0,0.0
613414,2020-05-28,Miner,South Dakota,46097.0,1,0,97,South Dakota,Miner,2216,45.12635379061372,0.0,0.0
613415,2020-05-29,Miner,South Dakota,46097.0,1,0,97,South Dakota,Miner,2216,45.12635379061372,0.0,0.0
613416,2020-05-30,Miner,South Dakota,46097.0,1,0,97,South Dakota,Miner,2216,45.12635379061372,0.0,0.0
613417,2020-05-31,Miner,South Dakota,46097.0,1,0,97,South Dakota,Miner,2216,45.12635379061372,0.0,0.0
613418,2020-06-01,Miner,South Dakota,46097.0,2,0,97,South Dakota,Miner,2216,90.25270758122744,45.12635379061372,3.2233109850438373
613419,2020-06-02,Miner,South Dakota,46097.0,2,0,97,South Dakota,Miner,2216,90.25270758122744,0.0,3.2233109850438373
613420,2020-06-03,Miner,South Dakota,46097.0,2,0,97,South Dakota,Miner,2216,90.25270758122744,0.0,3.2233109850438373
613421,2020-06-04,Miner,South Dakota,46097.0,2,0,97,South Dakota,Miner,2216,90.25270758122744,0.0,3.2233109850438373
613422,2020-06-05,Miner,South Dakota,46097.0,2,0,97,South Dakota,Miner,2216,90.25270758122744,0.0,3.2233109850438373
613423,2020-06-06,Miner,South Dakota,46097.0,2,0,97,South Dakota,Miner,2216,90.25270758122744,0.0,3.2233109850438373
613424,2020-06-07,Miner,South Dakota,46097.0,3,0,97,South Dakota,Miner,2216,135.37906137184115,45.126353790613706,6.446621970087674
613425,2020-06-08,Miner,South Dakota,46097.0,3,0,97,South Dakota,Miner,2216,135.37906137184115,0.0,6.446621970087674
613426,2020-06-09,Miner,South Dakota,46097.0,3,0,97,South Dakota,Miner,2216,135.37906137184115,0.0,6.446621970087674
613427,2020-06-10,Miner,South Dakota,46097.0,3,0,97,South Dakota,Miner,2216,135.37906137184115,0.0,6.446621970087674
613428,2020-06-11,Miner,South Dakota,46097.0,3,0,97,South Dakota,Miner,2216,135.37906137184115,0.0,6.446621970087674
613429,2020-06-12,Miner,South Dakota,46097.0,3,0,97,South Dakota,Miner,2216,135.37906137184115,0.0,6.446621970087674
613430,2020-06-13,Miner,South Dakota,46097.0,3,0,97,South Dakota,Miner,2216,135.37906137184115,0.0,6.446621970087674
613431,2020-06-14,Miner,South Dakota,46097.0,3,0,97,South Dakota,Miner,2216,135.37906137184115,0.0,6.446621970087674
613432,2020-06-15,Miner,South Dakota,46097.0,3,0,97,South Dakota,Miner,2216,135.37906137184115,0.0,3.223310985043836
613433,2020-06-16,Miner,South Dakota,46097.0,3,0,97,South Dakota,Miner,2216,135.37906137184115,0.0,3.223310985043836
613434,2020-06-17,Miner,South Dakota,46097.0,3,0,97,South Dakota,Miner,2216,135.37906137184115,0.0,3.223310985043836
613435,2020-06-18,Miner,South Dakota,46097.0,3,0,97,South Dakota,Miner,2216,135.37906137184115,0.0,3.223310985043836
