,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,cases_per_100k,deaths_per_100k,death_rate,new_cases,new_deaths,new_cases_ra,new_deaths_ra
635669,2020-04-08,Oglala Lakota,South Dakota,46102.0,1,0.0,102,South Dakota,Oglala Lakota,14177,7.0536784933342735,0.0,0.0,,,,
635670,2020-04-09,Oglala Lakota,South Dakota,46102.0,1,0.0,102,South Dakota,Oglala Lakota,14177,7.0536784933342735,0.0,0.0,0.0,0.0,,
635671,2020-04-10,Oglala Lakota,South Dakota,46102.0,1,0.0,102,South Dakota,Oglala Lakota,14177,7.0536784933342735,0.0,0.0,0.0,0.0,,
635672,2020-04-11,Oglala Lakota,South Dakota,46102.0,1,0.0,102,South Dakota,Oglala Lakota,14177,7.0536784933342735,0.0,0.0,0.0,0.0,,
635673,2020-04-12,Oglala Lakota,South Dakota,46102.0,1,0.0,102,South Dakota,Oglala Lakota,14177,7.0536784933342735,0.0,0.0,0.0,0.0,,
635674,2020-04-13,Oglala Lakota,South Dakota,46102.0,1,0.0,102,South Dakota,Oglala Lakota,14177,7.0536784933342735,0.0,0.0,0.0,0.0,,
635675,2020-04-14,Oglala Lakota,South Dakota,46102.0,1,0.0,102,South Dakota,Oglala Lakota,14177,7.0536784933342735,0.0,0.0,0.0,0.0,,
635676,2020-04-15,Oglala Lakota,South Dakota,46102.0,1,0.0,102,South Dakota,Oglala Lakota,14177,7.0536784933342735,0.0,0.0,0.0,0.0,0.0,0.0
635677,2020-04-16,Oglala Lakota,South Dakota,46102.0,1,0.0,102,South Dakota,Oglala Lakota,14177,7.0536784933342735,0.0,0.0,0.0,0.0,0.0,0.0
635678,2020-04-17,Oglala Lakota,South Dakota,46102.0,1,0.0,102,South Dakota,Oglala Lakota,14177,7.0536784933342735,0.0,0.0,0.0,0.0,0.0,0.0
635679,2020-04-18,Oglala Lakota,South Dakota,46102.0,1,0.0,102,South Dakota,Oglala Lakota,14177,7.0536784933342735,0.0,0.0,0.0,0.0,0.0,0.0
635680,2020-04-19,Oglala Lakota,South Dakota,46102.0,1,0.0,102,South Dakota,Oglala Lakota,14177,7.0536784933342735,0.0,0.0,0.0,0.0,0.0,0.0
635681,2020-04-20,Oglala Lakota,South Dakota,46102.0,1,0.0,102,South Dakota,Oglala Lakota,14177,7.0536784933342735,0.0,0.0,0.0,0.0,0.0,0.0
635682,2020-04-21,Oglala Lakota,South Dakota,46102.0,1,0.0,102,South Dakota,Oglala Lakota,14177,7.0536784933342735,0.0,0.0,0.0,0.0,0.0,0.0
635683,2020-04-22,Oglala Lakota,South Dakota,46102.0,1,0.0,102,South Dakota,Oglala Lakota,14177,7.0536784933342735,0.0,0.0,0.0,0.0,0.0,0.0
635684,2020-04-23,Oglala Lakota,South Dakota,46102.0,1,0.0,102,South Dakota,Oglala Lakota,14177,7.0536784933342735,0.0,0.0,0.0,0.0,0.0,0.0
635685,2020-04-24,Oglala Lakota,South Dakota,46102.0,1,0.0,102,South Dakota,Oglala Lakota,14177,7.0536784933342735,0.0,0.0,0.0,0.0,0.0,0.0
635686,2020-04-25,Oglala Lakota,South Dakota,46102.0,1,0.0,102,South Dakota,Oglala Lakota,14177,7.0536784933342735,0.0,0.0,0.0,0.0,0.0,0.0
635687,2020-04-26,Oglala Lakota,South Dakota,46102.0,1,0.0,102,South Dakota,Oglala Lakota,14177,7.0536784933342735,0.0,0.0,0.0,0.0,0.0,0.0
635688,2020-04-27,Oglala Lakota,South Dakota,46102.0,1,0.0,102,South Dakota,Oglala Lakota,14177,7.0536784933342735,0.0,0.0,0.0,0.0,0.0,0.0
635689,2020-04-28,Oglala Lakota,South Dakota,46102.0,1,0.0,102,South Dakota,Oglala Lakota,14177,7.0536784933342735,0.0,0.0,0.0,0.0,0.0,0.0
635690,2020-04-29,Oglala Lakota,South Dakota,46102.0,1,0.0,102,South Dakota,Oglala Lakota,14177,7.0536784933342735,0.0,0.0,0.0,0.0,0.0,0.0
635691,2020-04-30,Oglala Lakota,South Dakota,46102.0,1,0.0,102,South Dakota,Oglala Lakota,14177,7.0536784933342735,0.0,0.0,0.0,0.0,0.0,0.0
635692,2020-05-01,Oglala Lakota,South Dakota,46102.0,1,0.0,102,South Dakota,Oglala Lakota,14177,7.0536784933342735,0.0,0.0,0.0,0.0,0.0,0.0
635693,2020-05-02,Oglala Lakota,South Dakota,46102.0,1,0.0,102,South Dakota,Oglala Lakota,14177,7.0536784933342735,0.0,0.0,0.0,0.0,0.0,0.0
635694,2020-05-03,Oglala Lakota,South Dakota,46102.0,1,0.0,102,South Dakota,Oglala Lakota,14177,7.0536784933342735,0.0,0.0,0.0,0.0,0.0,0.0
635695,2020-05-04,Oglala Lakota,South Dakota,46102.0,1,0.0,102,South Dakota,Oglala Lakota,14177,7.0536784933342735,0.0,0.0,0.0,0.0,0.0,0.0
635696,2020-05-05,Oglala Lakota,South Dakota,46102.0,1,0.0,102,South Dakota,Oglala Lakota,14177,7.0536784933342735,0.0,0.0,0.0,0.0,0.0,0.0
635697,2020-05-06,Oglala Lakota,South Dakota,46102.0,2,0.0,102,South Dakota,Oglala Lakota,14177,14.107356986668547,0.0,0.0,7.0536784933342735,0.0,1.0076683561906106,0.0
635698,2020-05-07,Oglala Lakota,South Dakota,46102.0,1,0.0,102,South Dakota,Oglala Lakota,14177,7.0536784933342735,0.0,0.0,-7.0536784933342735,0.0,0.0,0.0
635699,2020-05-08,Oglala Lakota,South Dakota,46102.0,1,0.0,102,South Dakota,Oglala Lakota,14177,7.0536784933342735,0.0,0.0,0.0,0.0,0.0,0.0
635700,2020-05-09,Oglala Lakota,South Dakota,46102.0,1,0.0,102,South Dakota,Oglala Lakota,14177,7.0536784933342735,0.0,0.0,0.0,0.0,0.0,0.0
635701,2020-05-10,Oglala Lakota,South Dakota,46102.0,1,0.0,102,South Dakota,Oglala Lakota,14177,7.0536784933342735,0.0,0.0,0.0,0.0,0.0,0.0
635702,2020-05-11,Oglala Lakota,South Dakota,46102.0,1,0.0,102,South Dakota,Oglala Lakota,14177,7.0536784933342735,0.0,0.0,0.0,0.0,0.0,0.0
635703,2020-05-12,Oglala Lakota,South Dakota,46102.0,1,0.0,102,South Dakota,Oglala Lakota,14177,7.0536784933342735,0.0,0.0,0.0,0.0,0.0,0.0
635704,2020-05-13,Oglala Lakota,South Dakota,46102.0,3,0.0,102,South Dakota,Oglala Lakota,14177,21.16103548000282,0.0,0.0,14.107356986668545,0.0,1.0076683561906103,0.0
635705,2020-05-14,Oglala Lakota,South Dakota,46102.0,3,0.0,102,South Dakota,Oglala Lakota,14177,21.16103548000282,0.0,0.0,0.0,0.0,2.0153367123812207,0.0
635706,2020-05-15,Oglala Lakota,South Dakota,46102.0,6,0.0,102,South Dakota,Oglala Lakota,14177,42.32207096000564,0.0,0.0,21.16103548000282,0.0,5.038341780953052,0.0
635707,2020-05-16,Oglala Lakota,South Dakota,46102.0,9,0.0,102,South Dakota,Oglala Lakota,14177,63.48310644000846,0.0,0.0,21.161035480002823,0.0,8.061346849524885,0.0
635708,2020-05-17,Oglala Lakota,South Dakota,46102.0,10,0.0,102,South Dakota,Oglala Lakota,14177,70.53678493334274,0.0,0.0,7.0536784933342815,0.0,9.069015205715496,0.0
