,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,per_100k,new_cases,new_cases_ra
626067,2020-04-12,Walworth,South Dakota,46129.0,1,0,129,South Dakota,Walworth,5435,18.39926402943882,,
626068,2020-04-13,Walworth,South Dakota,46129.0,2,0,129,South Dakota,Walworth,5435,36.79852805887764,18.39926402943882,
626069,2020-04-14,Walworth,South Dakota,46129.0,2,0,129,South Dakota,Walworth,5435,36.79852805887764,0.0,
626070,2020-04-15,Walworth,South Dakota,46129.0,5,0,129,South Dakota,Walworth,5435,91.99632014719411,55.19779208831647,
626071,2020-04-16,Walworth,South Dakota,46129.0,5,0,129,South Dakota,Walworth,5435,91.99632014719411,0.0,
626072,2020-04-17,Walworth,South Dakota,46129.0,5,0,129,South Dakota,Walworth,5435,91.99632014719411,0.0,
626073,2020-04-18,Walworth,South Dakota,46129.0,5,0,129,South Dakota,Walworth,5435,91.99632014719411,0.0,
626074,2020-04-19,Walworth,South Dakota,46129.0,5,0,129,South Dakota,Walworth,5435,91.99632014719411,0.0,
626075,2020-04-20,Walworth,South Dakota,46129.0,5,0,129,South Dakota,Walworth,5435,91.99632014719411,0.0,
626076,2020-04-21,Walworth,South Dakota,46129.0,5,0,129,South Dakota,Walworth,5435,91.99632014719411,0.0,
626077,2020-04-22,Walworth,South Dakota,46129.0,5,0,129,South Dakota,Walworth,5435,91.99632014719411,0.0,
626078,2020-04-23,Walworth,South Dakota,46129.0,5,0,129,South Dakota,Walworth,5435,91.99632014719411,0.0,
626079,2020-04-24,Walworth,South Dakota,46129.0,5,0,129,South Dakota,Walworth,5435,91.99632014719411,0.0,
626080,2020-04-25,Walworth,South Dakota,46129.0,5,0,129,South Dakota,Walworth,5435,91.99632014719411,0.0,
626081,2020-04-26,Walworth,South Dakota,46129.0,5,0,129,South Dakota,Walworth,5435,91.99632014719411,0.0,5.256932579839663
626082,2020-04-27,Walworth,South Dakota,46129.0,5,0,129,South Dakota,Walworth,5435,91.99632014719411,0.0,3.942699434879747
626083,2020-04-28,Walworth,South Dakota,46129.0,5,0,129,South Dakota,Walworth,5435,91.99632014719411,0.0,3.942699434879747
626084,2020-04-29,Walworth,South Dakota,46129.0,5,0,129,South Dakota,Walworth,5435,91.99632014719411,0.0,0.0
626085,2020-04-30,Walworth,South Dakota,46129.0,5,0,129,South Dakota,Walworth,5435,91.99632014719411,0.0,0.0
626086,2020-05-01,Walworth,South Dakota,46129.0,5,0,129,South Dakota,Walworth,5435,91.99632014719411,0.0,0.0
626087,2020-05-02,Walworth,South Dakota,46129.0,5,0,129,South Dakota,Walworth,5435,91.99632014719411,0.0,0.0
626088,2020-05-03,Walworth,South Dakota,46129.0,5,0,129,South Dakota,Walworth,5435,91.99632014719411,0.0,0.0
626089,2020-05-04,Walworth,South Dakota,46129.0,5,0,129,South Dakota,Walworth,5435,91.99632014719411,0.0,0.0
626090,2020-05-05,Walworth,South Dakota,46129.0,5,0,129,South Dakota,Walworth,5435,91.99632014719411,0.0,0.0
626091,2020-05-06,Walworth,South Dakota,46129.0,5,0,129,South Dakota,Walworth,5435,91.99632014719411,0.0,0.0
626092,2020-05-07,Walworth,South Dakota,46129.0,5,0,129,South Dakota,Walworth,5435,91.99632014719411,0.0,0.0
626093,2020-05-08,Walworth,South Dakota,46129.0,5,0,129,South Dakota,Walworth,5435,91.99632014719411,0.0,0.0
626094,2020-05-09,Walworth,South Dakota,46129.0,5,0,129,South Dakota,Walworth,5435,91.99632014719411,0.0,0.0
626095,2020-05-10,Walworth,South Dakota,46129.0,5,0,129,South Dakota,Walworth,5435,91.99632014719411,0.0,0.0
626096,2020-05-11,Walworth,South Dakota,46129.0,5,0,129,South Dakota,Walworth,5435,91.99632014719411,0.0,0.0
626097,2020-05-12,Walworth,South Dakota,46129.0,5,0,129,South Dakota,Walworth,5435,91.99632014719411,0.0,0.0
626098,2020-05-13,Walworth,South Dakota,46129.0,5,0,129,South Dakota,Walworth,5435,91.99632014719411,0.0,0.0
626099,2020-05-14,Walworth,South Dakota,46129.0,5,0,129,South Dakota,Walworth,5435,91.99632014719411,0.0,0.0
