,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,per_100k,new_cases,new_cases_ra
179754,2020-03-19,Dyer,Tennessee,47045.0,1,0,45,Tennessee,Dyer,37159,2.6911380822950024,,
179755,2020-03-20,Dyer,Tennessee,47045.0,1,0,45,Tennessee,Dyer,37159,2.6911380822950024,0.0,
179756,2020-03-21,Dyer,Tennessee,47045.0,2,0,45,Tennessee,Dyer,37159,5.382276164590005,2.6911380822950024,
179757,2020-03-22,Dyer,Tennessee,47045.0,2,0,45,Tennessee,Dyer,37159,5.382276164590005,0.0,
179758,2020-03-23,Dyer,Tennessee,47045.0,2,0,45,Tennessee,Dyer,37159,5.382276164590005,0.0,
179759,2020-03-24,Dyer,Tennessee,47045.0,2,0,45,Tennessee,Dyer,37159,5.382276164590005,0.0,
179760,2020-03-25,Dyer,Tennessee,47045.0,2,0,45,Tennessee,Dyer,37159,5.382276164590005,0.0,
179761,2020-03-26,Dyer,Tennessee,47045.0,3,0,45,Tennessee,Dyer,37159,8.073414246885008,2.6911380822950033,
179762,2020-03-27,Dyer,Tennessee,47045.0,3,0,45,Tennessee,Dyer,37159,8.073414246885008,0.0,
179763,2020-03-28,Dyer,Tennessee,47045.0,3,0,45,Tennessee,Dyer,37159,8.073414246885008,0.0,
179764,2020-03-29,Dyer,Tennessee,47045.0,3,0,45,Tennessee,Dyer,37159,8.073414246885008,0.0,
179765,2020-03-30,Dyer,Tennessee,47045.0,3,0,45,Tennessee,Dyer,37159,8.073414246885008,0.0,
179766,2020-03-31,Dyer,Tennessee,47045.0,3,0,45,Tennessee,Dyer,37159,8.073414246885008,0.0,
179767,2020-04-01,Dyer,Tennessee,47045.0,3,0,45,Tennessee,Dyer,37159,8.073414246885008,0.0,
179768,2020-04-02,Dyer,Tennessee,47045.0,5,0,45,Tennessee,Dyer,37159,13.455690411475015,5.382276164590007,0.7688965949414295
179769,2020-04-03,Dyer,Tennessee,47045.0,5,0,45,Tennessee,Dyer,37159,13.455690411475015,0.0,0.7688965949414295
179770,2020-04-04,Dyer,Tennessee,47045.0,7,0,45,Tennessee,Dyer,37159,18.837966576065018,5.382276164590003,0.9611207436767868
179771,2020-04-05,Dyer,Tennessee,47045.0,9,0,45,Tennessee,Dyer,37159,24.220242740655024,5.382276164590007,1.3455690411475014
179772,2020-04-06,Dyer,Tennessee,47045.0,9,0,45,Tennessee,Dyer,37159,24.220242740655024,0.0,1.3455690411475014
179773,2020-04-07,Dyer,Tennessee,47045.0,10,0,45,Tennessee,Dyer,37159,26.91138082295003,2.691138082295005,1.537793189882859
179774,2020-04-08,Dyer,Tennessee,47045.0,11,0,45,Tennessee,Dyer,37159,29.602518905245027,2.691138082294998,1.730017338618216
