,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,per_100k,new_cases,new_cases_ra
458442,2020-03-29,Franklin,Texas,48159.0,1,0,159,Texas,Franklin,10725,9.324009324009324,,
458443,2020-03-30,Franklin,Texas,48159.0,1,0,159,Texas,Franklin,10725,9.324009324009324,0.0,
458444,2020-03-31,Franklin,Texas,48159.0,1,0,159,Texas,Franklin,10725,9.324009324009324,0.0,
458445,2020-04-01,Franklin,Texas,48159.0,1,0,159,Texas,Franklin,10725,9.324009324009324,0.0,
458446,2020-04-02,Franklin,Texas,48159.0,1,0,159,Texas,Franklin,10725,9.324009324009324,0.0,
458447,2020-04-03,Franklin,Texas,48159.0,1,0,159,Texas,Franklin,10725,9.324009324009324,0.0,
458448,2020-04-04,Franklin,Texas,48159.0,1,0,159,Texas,Franklin,10725,9.324009324009324,0.0,
458449,2020-04-05,Franklin,Texas,48159.0,1,0,159,Texas,Franklin,10725,9.324009324009324,0.0,
458450,2020-04-06,Franklin,Texas,48159.0,1,0,159,Texas,Franklin,10725,9.324009324009324,0.0,
458451,2020-04-07,Franklin,Texas,48159.0,1,0,159,Texas,Franklin,10725,9.324009324009324,0.0,
458452,2020-04-08,Franklin,Texas,48159.0,1,0,159,Texas,Franklin,10725,9.324009324009324,0.0,
458453,2020-04-09,Franklin,Texas,48159.0,1,0,159,Texas,Franklin,10725,9.324009324009324,0.0,
458454,2020-04-10,Franklin,Texas,48159.0,1,0,159,Texas,Franklin,10725,9.324009324009324,0.0,
458455,2020-04-11,Franklin,Texas,48159.0,1,0,159,Texas,Franklin,10725,9.324009324009324,0.0,
458456,2020-04-12,Franklin,Texas,48159.0,1,0,159,Texas,Franklin,10725,9.324009324009324,0.0,0.0
458457,2020-04-13,Franklin,Texas,48159.0,1,0,159,Texas,Franklin,10725,9.324009324009324,0.0,0.0
458458,2020-04-14,Franklin,Texas,48159.0,1,0,159,Texas,Franklin,10725,9.324009324009324,0.0,0.0
458459,2020-04-15,Franklin,Texas,48159.0,1,0,159,Texas,Franklin,10725,9.324009324009324,0.0,0.0
458460,2020-04-16,Franklin,Texas,48159.0,1,0,159,Texas,Franklin,10725,9.324009324009324,0.0,0.0
458461,2020-04-17,Franklin,Texas,48159.0,1,0,159,Texas,Franklin,10725,9.324009324009324,0.0,0.0
458462,2020-04-18,Franklin,Texas,48159.0,1,0,159,Texas,Franklin,10725,9.324009324009324,0.0,0.0
458463,2020-04-19,Franklin,Texas,48159.0,1,0,159,Texas,Franklin,10725,9.324009324009324,0.0,0.0
458464,2020-04-20,Franklin,Texas,48159.0,1,0,159,Texas,Franklin,10725,9.324009324009324,0.0,0.0
458465,2020-04-21,Franklin,Texas,48159.0,1,0,159,Texas,Franklin,10725,9.324009324009324,0.0,0.0
458466,2020-04-22,Franklin,Texas,48159.0,1,0,159,Texas,Franklin,10725,9.324009324009324,0.0,0.0
458467,2020-04-23,Franklin,Texas,48159.0,1,0,159,Texas,Franklin,10725,9.324009324009324,0.0,0.0
458468,2020-04-24,Franklin,Texas,48159.0,1,0,159,Texas,Franklin,10725,9.324009324009324,0.0,0.0
458469,2020-04-25,Franklin,Texas,48159.0,1,0,159,Texas,Franklin,10725,9.324009324009324,0.0,0.0
458470,2020-04-26,Franklin,Texas,48159.0,1,0,159,Texas,Franklin,10725,9.324009324009324,0.0,0.0
458471,2020-04-27,Franklin,Texas,48159.0,1,0,159,Texas,Franklin,10725,9.324009324009324,0.0,0.0
458472,2020-04-28,Franklin,Texas,48159.0,1,0,159,Texas,Franklin,10725,9.324009324009324,0.0,0.0
458473,2020-04-29,Franklin,Texas,48159.0,1,0,159,Texas,Franklin,10725,9.324009324009324,0.0,0.0
458474,2020-04-30,Franklin,Texas,48159.0,1,0,159,Texas,Franklin,10725,9.324009324009324,0.0,0.0
458475,2020-05-01,Franklin,Texas,48159.0,1,0,159,Texas,Franklin,10725,9.324009324009324,0.0,0.0
458476,2020-05-02,Franklin,Texas,48159.0,2,0,159,Texas,Franklin,10725,18.64801864801865,9.324009324009324,0.666000666000666
458477,2020-05-03,Franklin,Texas,48159.0,2,0,159,Texas,Franklin,10725,18.64801864801865,0.0,0.666000666000666
458478,2020-05-04,Franklin,Texas,48159.0,2,0,159,Texas,Franklin,10725,18.64801864801865,0.0,0.666000666000666
458479,2020-05-05,Franklin,Texas,48159.0,2,0,159,Texas,Franklin,10725,18.64801864801865,0.0,0.666000666000666
458480,2020-05-06,Franklin,Texas,48159.0,3,0,159,Texas,Franklin,10725,27.972027972027973,9.324009324009324,1.332001332001332
458481,2020-05-07,Franklin,Texas,48159.0,3,0,159,Texas,Franklin,10725,27.972027972027973,0.0,1.332001332001332
458482,2020-05-08,Franklin,Texas,48159.0,3,0,159,Texas,Franklin,10725,27.972027972027973,0.0,1.332001332001332
458483,2020-05-09,Franklin,Texas,48159.0,3,0,159,Texas,Franklin,10725,27.972027972027973,0.0,1.332001332001332
458484,2020-05-10,Franklin,Texas,48159.0,3,0,159,Texas,Franklin,10725,27.972027972027973,0.0,1.332001332001332
458485,2020-05-11,Franklin,Texas,48159.0,3,0,159,Texas,Franklin,10725,27.972027972027973,0.0,1.332001332001332
458486,2020-05-12,Franklin,Texas,48159.0,3,0,159,Texas,Franklin,10725,27.972027972027973,0.0,1.332001332001332
458487,2020-05-13,Franklin,Texas,48159.0,3,0,159,Texas,Franklin,10725,27.972027972027973,0.0,1.332001332001332
458488,2020-05-14,Franklin,Texas,48159.0,4,0,159,Texas,Franklin,10725,37.2960372960373,9.324009324009324,1.998001998001998
458489,2020-05-15,Franklin,Texas,48159.0,4,0,159,Texas,Franklin,10725,37.2960372960373,0.0,1.998001998001998
458490,2020-05-16,Franklin,Texas,48159.0,5,0,159,Texas,Franklin,10725,46.62004662004662,9.324009324009324,1.998001998001998
458491,2020-05-17,Franklin,Texas,48159.0,5,0,159,Texas,Franklin,10725,46.62004662004662,0.0,1.998001998001998
458492,2020-05-18,Franklin,Texas,48159.0,6,0,159,Texas,Franklin,10725,55.94405594405595,9.324009324009324,2.664002664002664
458493,2020-05-19,Franklin,Texas,48159.0,7,0,159,Texas,Franklin,10725,65.26806526806527,9.324009324009324,3.33000333000333
458494,2020-05-20,Franklin,Texas,48159.0,8,0,159,Texas,Franklin,10725,74.5920745920746,9.324009324009324,3.33000333000333
458495,2020-05-21,Franklin,Texas,48159.0,8,0,159,Texas,Franklin,10725,74.5920745920746,0.0,3.33000333000333
458496,2020-05-22,Franklin,Texas,48159.0,8,0,159,Texas,Franklin,10725,74.5920745920746,0.0,3.33000333000333
458497,2020-05-23,Franklin,Texas,48159.0,11,0,159,Texas,Franklin,10725,102.56410256410257,27.972027972027973,5.328005328005328
458498,2020-05-24,Franklin,Texas,48159.0,12,0,159,Texas,Franklin,10725,111.8881118881119,9.324009324009324,5.994005994005994
458499,2020-05-25,Franklin,Texas,48159.0,12,0,159,Texas,Franklin,10725,111.8881118881119,0.0,5.994005994005994
458500,2020-05-26,Franklin,Texas,48159.0,12,0,159,Texas,Franklin,10725,111.8881118881119,0.0,5.994005994005994
458501,2020-05-27,Franklin,Texas,48159.0,13,0,159,Texas,Franklin,10725,121.21212121212122,9.324009324009324,6.66000666000666
458502,2020-05-28,Franklin,Texas,48159.0,13,0,159,Texas,Franklin,10725,121.21212121212122,0.0,5.994005994005994
458503,2020-05-29,Franklin,Texas,48159.0,13,0,159,Texas,Franklin,10725,121.21212121212122,0.0,5.994005994005994
458504,2020-05-30,Franklin,Texas,48159.0,15,0,159,Texas,Franklin,10725,139.86013986013987,18.64801864801865,6.66000666000666
458505,2020-05-31,Franklin,Texas,48159.0,15,0,159,Texas,Franklin,10725,139.86013986013987,0.0,6.66000666000666
458506,2020-06-01,Franklin,Texas,48159.0,16,0,159,Texas,Franklin,10725,149.1841491841492,9.324009324009324,6.66000666000666
458507,2020-06-02,Franklin,Texas,48159.0,16,0,159,Texas,Franklin,10725,149.1841491841492,0.0,5.994005994005994
458508,2020-06-03,Franklin,Texas,48159.0,17,0,159,Texas,Franklin,10725,158.50815850815852,9.324009324009324,5.994005994005994
458509,2020-06-04,Franklin,Texas,48159.0,18,0,159,Texas,Franklin,10725,167.83216783216784,9.324009324009324,6.66000666000666
458510,2020-06-05,Franklin,Texas,48159.0,18,0,159,Texas,Franklin,10725,167.83216783216784,0.0,6.66000666000666
458511,2020-06-06,Franklin,Texas,48159.0,19,0,159,Texas,Franklin,10725,177.15617715617716,9.324009324009324,5.328005328005328
