,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,per_100k,per_100k_ra,new_cases,new_cases_ra
350291,2020-03-25,Hardin,Texas,48199.0,2,0,199,Texas,Hardin,57602,3.4721016631366965,,,
350292,2020-03-26,Hardin,Texas,48199.0,2,0,199,Texas,Hardin,57602,3.4721016631366965,,0.0,
350293,2020-03-27,Hardin,Texas,48199.0,4,0,199,Texas,Hardin,57602,6.944203326273393,,3.4721016631366965,
350294,2020-03-28,Hardin,Texas,48199.0,6,1,199,Texas,Hardin,57602,10.41630498941009,,3.472101663136697,
350295,2020-03-29,Hardin,Texas,48199.0,9,1,199,Texas,Hardin,57602,15.624457484115133,,5.208152494705043,
350296,2020-03-30,Hardin,Texas,48199.0,9,1,199,Texas,Hardin,57602,15.624457484115133,,0.0,
350297,2020-03-31,Hardin,Texas,48199.0,12,1,199,Texas,Hardin,57602,20.83260997882018,10.912319512715332,5.208152494705047,
350298,2020-04-01,Hardin,Texas,48199.0,13,1,199,Texas,Hardin,57602,22.56866081038853,13.640399390894165,1.736050831568349,2.728079878178833
350299,2020-04-02,Hardin,Texas,48199.0,14,1,199,Texas,Hardin,57602,24.304711641956875,16.61648653072562,1.7360508315683454,2.9760871398314537
350300,2020-04-03,Hardin,Texas,48199.0,15,1,199,Texas,Hardin,57602,26.040762473525223,19.344566408904452,1.736050831568349,2.7280798781788325
350301,2020-04-04,Hardin,Texas,48199.0,19,1,199,Texas,Hardin,57602,32.984965799798616,22.568660810388526,6.944203326273392,3.2240944014840744
350302,2020-04-05,Hardin,Texas,48199.0,26,1,199,Texas,Hardin,57602,45.13732162077706,26.784784258483086,12.152355820978443,4.21612344809456
350303,2020-04-06,Hardin,Texas,48199.0,28,1,199,Texas,Hardin,57602,48.60942328391375,31.496922229882887,3.4721016631366908,4.712137971399803
350304,2020-04-07,Hardin,Texas,48199.0,28,1,199,Texas,Hardin,57602,48.60942328391375,35.46503841632482,0.0,3.9681161864419385
350305,2020-04-08,Hardin,Texas,48199.0,39,1,199,Texas,Hardin,57602,67.70598243116558,41.91322721929298,19.09655914725183,6.44818880296815
350306,2020-04-09,Hardin,Texas,48199.0,41,2,199,Texas,Hardin,57602,71.17808409430229,48.60942328391375,3.472101663136712,6.696196064620774
350307,2020-04-10,Hardin,Texas,48199.0,41,2,199,Texas,Hardin,57602,71.17808409430229,55.057612086881896,0.0,6.448188802968153
350308,2020-04-11,Hardin,Texas,48199.0,57,2,199,Texas,Hardin,57602,98.95489739939585,64.48188802968151,27.776813305093555,9.424275942799605
350309,2020-04-12,Hardin,Texas,48199.0,61,2,199,Texas,Hardin,57602,105.89910072566924,73.16214218752326,6.944203326273396,8.680254157841741
350310,2020-04-13,Hardin,Texas,48199.0,61,2,199,Texas,Hardin,57602,105.89910072566924,81.34638182205974,0.0,8.1842396345365
350311,2020-04-14,Hardin,Texas,48199.0,65,2,199,Texas,Hardin,57602,112.84330405194264,90.52265050320672,6.944203326273396,9.176268681146983
350312,2020-04-15,Hardin,Texas,48199.0,65,2,199,Texas,Hardin,57602,112.84330405194264,96.97083930617487,0.0,6.44818880296815
350313,2020-04-16,Hardin,Texas,48199.0,66,2,199,Texas,Hardin,57602,114.57935488351099,103.17102084749038,1.736050831568349,6.200181541315527
350314,2020-04-17,Hardin,Texas,48199.0,75,2,199,Texas,Hardin,57602,130.2038123676261,111.6032677436795,15.624457484115126,8.432246896189117
350315,2020-04-18,Hardin,Texas,48199.0,80,2,199,Texas,Hardin,57602,138.8840665254679,117.3074347616898,8.680254157841773,5.704167018010289
350316,2020-04-19,Hardin,Texas,48199.0,80,2,199,Texas,Hardin,57602,138.8840665254679,122.01957273308962,0.0,4.712137971399804
350317,2020-04-20,Hardin,Texas,48199.0,88,2,199,Texas,Hardin,57602,152.77247317801465,128.7157687977104,13.888406652546763,6.6961960646207705
350318,2020-04-21,Hardin,Texas,48199.0,91,2,199,Texas,Hardin,57602,157.9806256727197,135.16395760067854,5.208152494705047,6.448188802968149
350319,2020-04-22,Hardin,Texas,48199.0,91,2,199,Texas,Hardin,57602,157.9806256727197,141.6121464036467,0.0,6.448188802968149
350320,2020-04-23,Hardin,Texas,48199.0,91,3,199,Texas,Hardin,57602,157.9806256727197,147.81232794496222,0.0,6.200181541315528
