,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,per_100k,per_100k_ra,new_cases,new_cases_ra
529458,2020-04-02,Jim Wells,Texas,48249.0,1,0,249,Texas,Jim Wells,40482,2.4702336841065162,,,
529459,2020-04-03,Jim Wells,Texas,48249.0,1,0,249,Texas,Jim Wells,40482,2.4702336841065162,,0.0,
529460,2020-04-04,Jim Wells,Texas,48249.0,2,0,249,Texas,Jim Wells,40482,4.9404673682130325,,2.4702336841065162,
529461,2020-04-05,Jim Wells,Texas,48249.0,2,0,249,Texas,Jim Wells,40482,4.9404673682130325,,0.0,
529462,2020-04-06,Jim Wells,Texas,48249.0,2,0,249,Texas,Jim Wells,40482,4.9404673682130325,,0.0,
529463,2020-04-07,Jim Wells,Texas,48249.0,2,0,249,Texas,Jim Wells,40482,4.9404673682130325,,0.0,
529464,2020-04-08,Jim Wells,Texas,48249.0,2,0,249,Texas,Jim Wells,40482,4.9404673682130325,4.23468631561117,0.0,
529465,2020-04-09,Jim Wells,Texas,48249.0,2,0,249,Texas,Jim Wells,40482,4.9404673682130325,4.587576841912101,0.0,0.3528905263009309
529466,2020-04-10,Jim Wells,Texas,48249.0,2,0,249,Texas,Jim Wells,40482,4.9404673682130325,4.9404673682130325,0.0,0.3528905263009309
529467,2020-04-11,Jim Wells,Texas,48249.0,2,0,249,Texas,Jim Wells,40482,4.9404673682130325,4.9404673682130325,0.0,0.0
529468,2020-04-12,Jim Wells,Texas,48249.0,2,0,249,Texas,Jim Wells,40482,4.9404673682130325,4.9404673682130325,0.0,0.0
529469,2020-04-13,Jim Wells,Texas,48249.0,2,0,249,Texas,Jim Wells,40482,4.9404673682130325,4.9404673682130325,0.0,0.0
529470,2020-04-14,Jim Wells,Texas,48249.0,2,0,249,Texas,Jim Wells,40482,4.9404673682130325,4.9404673682130325,0.0,0.0
529471,2020-04-15,Jim Wells,Texas,48249.0,2,0,249,Texas,Jim Wells,40482,4.9404673682130325,4.9404673682130325,0.0,0.0
529472,2020-04-16,Jim Wells,Texas,48249.0,2,0,249,Texas,Jim Wells,40482,4.9404673682130325,4.9404673682130325,0.0,0.0
529473,2020-04-17,Jim Wells,Texas,48249.0,2,0,249,Texas,Jim Wells,40482,4.9404673682130325,4.9404673682130325,0.0,0.0
529474,2020-04-18,Jim Wells,Texas,48249.0,2,0,249,Texas,Jim Wells,40482,4.9404673682130325,4.9404673682130325,0.0,0.0
529475,2020-04-19,Jim Wells,Texas,48249.0,2,0,249,Texas,Jim Wells,40482,4.9404673682130325,4.9404673682130325,0.0,0.0
529476,2020-04-20,Jim Wells,Texas,48249.0,2,0,249,Texas,Jim Wells,40482,4.9404673682130325,4.9404673682130325,0.0,0.0
529477,2020-04-21,Jim Wells,Texas,48249.0,2,0,249,Texas,Jim Wells,40482,4.9404673682130325,4.9404673682130325,0.0,0.0
529478,2020-04-22,Jim Wells,Texas,48249.0,2,0,249,Texas,Jim Wells,40482,4.9404673682130325,4.9404673682130325,0.0,0.0
529479,2020-04-23,Jim Wells,Texas,48249.0,2,0,249,Texas,Jim Wells,40482,4.9404673682130325,4.9404673682130325,0.0,0.0
529480,2020-04-24,Jim Wells,Texas,48249.0,2,0,249,Texas,Jim Wells,40482,4.9404673682130325,4.9404673682130325,0.0,0.0
529481,2020-04-25,Jim Wells,Texas,48249.0,3,0,249,Texas,Jim Wells,40482,7.410701052319549,5.293357894513962,2.4702336841065167,0.35289052630093093
529482,2020-04-26,Jim Wells,Texas,48249.0,3,0,249,Texas,Jim Wells,40482,7.410701052319549,5.646248420814893,0.0,0.35289052630093093
529483,2020-04-27,Jim Wells,Texas,48249.0,3,0,249,Texas,Jim Wells,40482,7.410701052319549,5.999138947115824,0.0,0.35289052630093093
529484,2020-04-28,Jim Wells,Texas,48249.0,3,0,249,Texas,Jim Wells,40482,7.410701052319549,6.3520294734167555,0.0,0.35289052630093093
529485,2020-04-29,Jim Wells,Texas,48249.0,3,0,249,Texas,Jim Wells,40482,7.410701052319549,6.704919999717687,0.0,0.35289052630093093
529486,2020-04-30,Jim Wells,Texas,48249.0,3,0,249,Texas,Jim Wells,40482,7.410701052319549,7.057810526018618,0.0,0.35289052630093093
529487,2020-05-01,Jim Wells,Texas,48249.0,3,0,249,Texas,Jim Wells,40482,7.410701052319549,7.410701052319548,0.0,0.35289052630093093
529488,2020-05-02,Jim Wells,Texas,48249.0,4,0,249,Texas,Jim Wells,40482,9.880934736426065,7.763591578620479,2.470233684106516,0.3528905263009308
529489,2020-05-03,Jim Wells,Texas,48249.0,5,0,249,Texas,Jim Wells,40482,12.351168420532584,8.469372631222342,2.4702336841065193,0.7057810526018622
529490,2020-05-04,Jim Wells,Texas,48249.0,5,0,249,Texas,Jim Wells,40482,12.351168420532584,9.175153683824204,0.0,0.7057810526018622
529491,2020-05-05,Jim Wells,Texas,48249.0,5,0,249,Texas,Jim Wells,40482,12.351168420532584,9.880934736426067,0.0,0.7057810526018622
529492,2020-05-06,Jim Wells,Texas,48249.0,5,0,249,Texas,Jim Wells,40482,12.351168420532584,10.586715789027929,0.0,0.7057810526018622
529493,2020-05-07,Jim Wells,Texas,48249.0,5,0,249,Texas,Jim Wells,40482,12.351168420532584,11.29249684162979,0.0,0.7057810526018622
529494,2020-05-08,Jim Wells,Texas,48249.0,5,0,249,Texas,Jim Wells,40482,12.351168420532584,11.998277894231652,0.0,0.7057810526018622
529495,2020-05-09,Jim Wells,Texas,48249.0,6,0,249,Texas,Jim Wells,40482,14.821402104639098,12.704058946833515,2.470233684106514,0.7057810526018619
529496,2020-05-10,Jim Wells,Texas,48249.0,7,0,249,Texas,Jim Wells,40482,17.291635788745616,13.409839999435377,2.4702336841065176,0.7057810526018616
529497,2020-05-11,Jim Wells,Texas,48249.0,7,0,249,Texas,Jim Wells,40482,17.291635788745616,14.11562105203724,0.0,0.7057810526018616
529498,2020-05-12,Jim Wells,Texas,48249.0,7,0,249,Texas,Jim Wells,40482,17.291635788745616,14.821402104639102,0.0,0.7057810526018616
529499,2020-05-13,Jim Wells,Texas,48249.0,7,0,249,Texas,Jim Wells,40482,17.291635788745616,15.527183157240964,0.0,0.7057810526018616
529500,2020-05-14,Jim Wells,Texas,48249.0,7,0,249,Texas,Jim Wells,40482,17.291635788745616,16.232964209842827,0.0,0.7057810526018616
529501,2020-05-15,Jim Wells,Texas,48249.0,7,0,249,Texas,Jim Wells,40482,17.291635788745616,16.938745262444687,0.0,0.7057810526018616
529502,2020-05-16,Jim Wells,Texas,48249.0,8,0,249,Texas,Jim Wells,40482,19.76186947285213,17.64452631504655,2.470233684106514,0.7057810526018616
529503,2020-05-17,Jim Wells,Texas,48249.0,8,0,249,Texas,Jim Wells,40482,19.76186947285213,17.99741684134748,0.0,0.3528905263009306
529504,2020-05-18,Jim Wells,Texas,48249.0,8,0,249,Texas,Jim Wells,40482,19.76186947285213,18.350307367648412,0.0,0.3528905263009306
529505,2020-05-19,Jim Wells,Texas,48249.0,8,0,249,Texas,Jim Wells,40482,19.76186947285213,18.703197893949344,0.0,0.3528905263009306
529506,2020-05-20,Jim Wells,Texas,48249.0,8,0,249,Texas,Jim Wells,40482,19.76186947285213,19.056088420250273,0.0,0.3528905263009306
529507,2020-05-21,Jim Wells,Texas,48249.0,9,0,249,Texas,Jim Wells,40482,22.232103156958647,19.761869472852137,2.4702336841065176,0.7057810526018616
529508,2020-05-22,Jim Wells,Texas,48249.0,9,0,249,Texas,Jim Wells,40482,22.232103156958647,20.467650525453998,0.0,0.7057810526018616
529509,2020-05-23,Jim Wells,Texas,48249.0,9,0,249,Texas,Jim Wells,40482,22.232103156958647,20.82054105175493,0.0,0.3528905263009311
529510,2020-05-24,Jim Wells,Texas,48249.0,9,0,249,Texas,Jim Wells,40482,22.232103156958647,21.17343157805586,0.0,0.3528905263009311
529511,2020-05-25,Jim Wells,Texas,48249.0,9,0,249,Texas,Jim Wells,40482,22.232103156958647,21.52632210435679,0.0,0.3528905263009311
529512,2020-05-26,Jim Wells,Texas,48249.0,9,0,249,Texas,Jim Wells,40482,22.232103156958647,21.879212630657722,0.0,0.3528905263009311
529513,2020-05-27,Jim Wells,Texas,48249.0,9,0,249,Texas,Jim Wells,40482,22.232103156958647,22.232103156958654,0.0,0.3528905263009311
529514,2020-05-28,Jim Wells,Texas,48249.0,9,0,249,Texas,Jim Wells,40482,22.232103156958647,22.232103156958654,0.0,0.0
