,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,per_100k,new_cases,new_cases_ra
538682,2020-04-02,Lee,Texas,48287.0,1,0,287,Texas,Lee,17239,5.800800510470445,,
538683,2020-04-03,Lee,Texas,48287.0,2,0,287,Texas,Lee,17239,11.60160102094089,5.800800510470445,
538684,2020-04-04,Lee,Texas,48287.0,2,0,287,Texas,Lee,17239,11.60160102094089,0.0,
538685,2020-04-05,Lee,Texas,48287.0,2,0,287,Texas,Lee,17239,11.60160102094089,0.0,
538686,2020-04-06,Lee,Texas,48287.0,2,0,287,Texas,Lee,17239,11.60160102094089,0.0,
538687,2020-04-07,Lee,Texas,48287.0,2,0,287,Texas,Lee,17239,11.60160102094089,0.0,
538688,2020-04-08,Lee,Texas,48287.0,2,0,287,Texas,Lee,17239,11.60160102094089,0.0,
538689,2020-04-09,Lee,Texas,48287.0,2,0,287,Texas,Lee,17239,11.60160102094089,0.0,
538690,2020-04-10,Lee,Texas,48287.0,2,0,287,Texas,Lee,17239,11.60160102094089,0.0,
538691,2020-04-11,Lee,Texas,48287.0,2,0,287,Texas,Lee,17239,11.60160102094089,0.0,
538692,2020-04-12,Lee,Texas,48287.0,2,0,287,Texas,Lee,17239,11.60160102094089,0.0,
538693,2020-04-13,Lee,Texas,48287.0,2,0,287,Texas,Lee,17239,11.60160102094089,0.0,
538694,2020-04-14,Lee,Texas,48287.0,2,0,287,Texas,Lee,17239,11.60160102094089,0.0,
538695,2020-04-15,Lee,Texas,48287.0,2,0,287,Texas,Lee,17239,11.60160102094089,0.0,
538696,2020-04-16,Lee,Texas,48287.0,2,0,287,Texas,Lee,17239,11.60160102094089,0.0,0.4143428936050318
538697,2020-04-17,Lee,Texas,48287.0,2,0,287,Texas,Lee,17239,11.60160102094089,0.0,0.0
538698,2020-04-18,Lee,Texas,48287.0,2,0,287,Texas,Lee,17239,11.60160102094089,0.0,0.0
538699,2020-04-19,Lee,Texas,48287.0,2,0,287,Texas,Lee,17239,11.60160102094089,0.0,0.0
538700,2020-04-20,Lee,Texas,48287.0,2,0,287,Texas,Lee,17239,11.60160102094089,0.0,0.0
538701,2020-04-21,Lee,Texas,48287.0,2,0,287,Texas,Lee,17239,11.60160102094089,0.0,0.0
538702,2020-04-22,Lee,Texas,48287.0,2,0,287,Texas,Lee,17239,11.60160102094089,0.0,0.0
538703,2020-04-23,Lee,Texas,48287.0,2,0,287,Texas,Lee,17239,11.60160102094089,0.0,0.0
538704,2020-04-24,Lee,Texas,48287.0,2,0,287,Texas,Lee,17239,11.60160102094089,0.0,0.0
538705,2020-04-25,Lee,Texas,48287.0,2,0,287,Texas,Lee,17239,11.60160102094089,0.0,0.0
538706,2020-04-26,Lee,Texas,48287.0,2,0,287,Texas,Lee,17239,11.60160102094089,0.0,0.0
538707,2020-04-27,Lee,Texas,48287.0,2,0,287,Texas,Lee,17239,11.60160102094089,0.0,0.0
538708,2020-04-28,Lee,Texas,48287.0,2,0,287,Texas,Lee,17239,11.60160102094089,0.0,0.0
538709,2020-04-29,Lee,Texas,48287.0,2,0,287,Texas,Lee,17239,11.60160102094089,0.0,0.0
538710,2020-04-30,Lee,Texas,48287.0,2,0,287,Texas,Lee,17239,11.60160102094089,0.0,0.0
538711,2020-05-01,Lee,Texas,48287.0,2,0,287,Texas,Lee,17239,11.60160102094089,0.0,0.0
538712,2020-05-02,Lee,Texas,48287.0,2,0,287,Texas,Lee,17239,11.60160102094089,0.0,0.0
