,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,per_100k,new_cases,new_cases_ra
444951,2020-03-28,Lynn,Texas,48305.0,1,0,305,Texas,Lynn,5951,16.803898504453034,,
444952,2020-03-29,Lynn,Texas,48305.0,1,0,305,Texas,Lynn,5951,16.803898504453034,0.0,
444953,2020-03-30,Lynn,Texas,48305.0,2,0,305,Texas,Lynn,5951,33.60779700890607,16.803898504453034,
444954,2020-03-31,Lynn,Texas,48305.0,2,0,305,Texas,Lynn,5951,33.60779700890607,0.0,
444955,2020-04-01,Lynn,Texas,48305.0,2,0,305,Texas,Lynn,5951,33.60779700890607,0.0,
444956,2020-04-02,Lynn,Texas,48305.0,3,0,305,Texas,Lynn,5951,50.4116955133591,16.80389850445303,
444957,2020-04-03,Lynn,Texas,48305.0,3,0,305,Texas,Lynn,5951,50.4116955133591,0.0,
444958,2020-04-04,Lynn,Texas,48305.0,3,0,305,Texas,Lynn,5951,50.4116955133591,0.0,
444959,2020-04-05,Lynn,Texas,48305.0,3,0,305,Texas,Lynn,5951,50.4116955133591,0.0,
444960,2020-04-06,Lynn,Texas,48305.0,3,0,305,Texas,Lynn,5951,50.4116955133591,0.0,
444961,2020-04-07,Lynn,Texas,48305.0,3,0,305,Texas,Lynn,5951,50.4116955133591,0.0,
444962,2020-04-08,Lynn,Texas,48305.0,3,0,305,Texas,Lynn,5951,50.4116955133591,0.0,
444963,2020-04-09,Lynn,Texas,48305.0,3,0,305,Texas,Lynn,5951,50.4116955133591,0.0,
444964,2020-04-10,Lynn,Texas,48305.0,5,0,305,Texas,Lynn,5951,84.01949252226517,33.60779700890607,
444965,2020-04-11,Lynn,Texas,48305.0,5,0,305,Texas,Lynn,5951,84.01949252226517,0.0,4.801113858415151
444966,2020-04-12,Lynn,Texas,48305.0,5,0,305,Texas,Lynn,5951,84.01949252226517,0.0,4.801113858415151
444967,2020-04-13,Lynn,Texas,48305.0,5,0,305,Texas,Lynn,5951,84.01949252226517,0.0,3.6008353938113635
444968,2020-04-14,Lynn,Texas,48305.0,5,0,305,Texas,Lynn,5951,84.01949252226517,0.0,3.6008353938113635
444969,2020-04-15,Lynn,Texas,48305.0,5,0,305,Texas,Lynn,5951,84.01949252226517,0.0,3.6008353938113635
444970,2020-04-16,Lynn,Texas,48305.0,5,0,305,Texas,Lynn,5951,84.01949252226517,0.0,2.4005569292075757
444971,2020-04-17,Lynn,Texas,48305.0,5,0,305,Texas,Lynn,5951,84.01949252226517,0.0,2.4005569292075757
