,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,cases_per_100k,deaths_per_100k,death_rate,new_cases,new_deaths,new_cases_ra,new_deaths_ra
751657,2020-07-18,Stonewall,Texas,48433.0,4,0.0,433,Texas,Stonewall,1350,296.2962962962963,0.0,0.0,,,,
751658,2020-07-19,Stonewall,Texas,48433.0,4,0.0,433,Texas,Stonewall,1350,296.2962962962963,0.0,0.0,0.0,0.0,,
751659,2020-07-20,Stonewall,Texas,48433.0,4,0.0,433,Texas,Stonewall,1350,296.2962962962963,0.0,0.0,0.0,0.0,,
751660,2020-07-21,Stonewall,Texas,48433.0,4,0.0,433,Texas,Stonewall,1350,296.2962962962963,0.0,0.0,0.0,0.0,,
751661,2020-07-22,Stonewall,Texas,48433.0,4,0.0,433,Texas,Stonewall,1350,296.2962962962963,0.0,0.0,0.0,0.0,,
751662,2020-07-23,Stonewall,Texas,48433.0,4,0.0,433,Texas,Stonewall,1350,296.2962962962963,0.0,0.0,0.0,0.0,,
751663,2020-07-24,Stonewall,Texas,48433.0,4,0.0,433,Texas,Stonewall,1350,296.2962962962963,0.0,0.0,0.0,0.0,,
751664,2020-07-25,Stonewall,Texas,48433.0,4,0.0,433,Texas,Stonewall,1350,296.2962962962963,0.0,0.0,0.0,0.0,0.0,0.0
751665,2020-07-26,Stonewall,Texas,48433.0,4,0.0,433,Texas,Stonewall,1350,296.2962962962963,0.0,0.0,0.0,0.0,0.0,0.0
751666,2020-07-27,Stonewall,Texas,48433.0,4,0.0,433,Texas,Stonewall,1350,296.2962962962963,0.0,0.0,0.0,0.0,0.0,0.0
751667,2020-07-28,Stonewall,Texas,48433.0,4,0.0,433,Texas,Stonewall,1350,296.2962962962963,0.0,0.0,0.0,0.0,0.0,0.0
751668,2020-07-29,Stonewall,Texas,48433.0,4,0.0,433,Texas,Stonewall,1350,296.2962962962963,0.0,0.0,0.0,0.0,0.0,0.0
751669,2020-07-30,Stonewall,Texas,48433.0,4,0.0,433,Texas,Stonewall,1350,296.2962962962963,0.0,0.0,0.0,0.0,0.0,0.0
751670,2020-07-31,Stonewall,Texas,48433.0,4,0.0,433,Texas,Stonewall,1350,296.2962962962963,0.0,0.0,0.0,0.0,0.0,0.0
751671,2020-08-01,Stonewall,Texas,48433.0,4,0.0,433,Texas,Stonewall,1350,296.2962962962963,0.0,0.0,0.0,0.0,0.0,0.0
751672,2020-08-02,Stonewall,Texas,48433.0,4,0.0,433,Texas,Stonewall,1350,296.2962962962963,0.0,0.0,0.0,0.0,0.0,0.0
751673,2020-08-03,Stonewall,Texas,48433.0,4,0.0,433,Texas,Stonewall,1350,296.2962962962963,0.0,0.0,0.0,0.0,0.0,0.0
751674,2020-08-04,Stonewall,Texas,48433.0,4,0.0,433,Texas,Stonewall,1350,296.2962962962963,0.0,0.0,0.0,0.0,0.0,0.0
751675,2020-08-05,Stonewall,Texas,48433.0,5,0.0,433,Texas,Stonewall,1350,370.3703703703704,0.0,0.0,74.07407407407408,0.0,10.582010582010582,0.0
751676,2020-08-06,Stonewall,Texas,48433.0,5,0.0,433,Texas,Stonewall,1350,370.3703703703704,0.0,0.0,0.0,0.0,10.582010582010582,0.0
751677,2020-08-07,Stonewall,Texas,48433.0,5,0.0,433,Texas,Stonewall,1350,370.3703703703704,0.0,0.0,0.0,0.0,10.582010582010582,0.0
751678,2020-08-08,Stonewall,Texas,48433.0,5,0.0,433,Texas,Stonewall,1350,370.3703703703704,0.0,0.0,0.0,0.0,10.582010582010582,0.0
