,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,per_100k,per_100k_ra,new_cases,new_cases_ra
113795,2020-03-16,Wasatch,Utah,49051.0,1,0,51,Utah,Wasatch,34091,2.93332551113197,,,
113796,2020-03-17,Wasatch,Utah,49051.0,2,0,51,Utah,Wasatch,34091,5.86665102226394,,2.93332551113197,
113797,2020-03-18,Wasatch,Utah,49051.0,2,0,51,Utah,Wasatch,34091,5.86665102226394,,0.0,
113798,2020-03-19,Wasatch,Utah,49051.0,3,0,51,Utah,Wasatch,34091,8.799976533395911,,2.9333255111319714,
113799,2020-03-20,Wasatch,Utah,49051.0,4,0,51,Utah,Wasatch,34091,11.73330204452788,,2.9333255111319687,
113800,2020-03-21,Wasatch,Utah,49051.0,7,0,51,Utah,Wasatch,34091,20.53327857792379,,8.799976533395911,
113801,2020-03-22,Wasatch,Utah,49051.0,8,0,51,Utah,Wasatch,34091,23.46660408905576,11.3142555429376,2.9333255111319687,
113802,2020-03-23,Wasatch,Utah,49051.0,11,0,51,Utah,Wasatch,34091,32.26658062245168,15.504720558840415,8.799976533395917,4.190465015902815
113803,2020-03-24,Wasatch,Utah,49051.0,16,0,51,Utah,Wasatch,34091,46.93320817811152,21.371371581104352,14.666627555659844,5.866651022263939
113804,2020-03-25,Wasatch,Utah,49051.0,16,0,51,Utah,Wasatch,34091,46.93320817811152,27.238022603368297,0.0,5.866651022263939
113805,2020-03-26,Wasatch,Utah,49051.0,21,0,51,Utah,Wasatch,34091,61.59983573377138,34.78085963199336,14.666627555659858,7.542837028625066
113806,2020-03-27,Wasatch,Utah,49051.0,29,0,51,Utah,Wasatch,34091,85.06643982282715,45.2570221717504,23.46660408905577,10.47616253975704
113807,2020-03-28,Wasatch,Utah,49051.0,36,0,51,Utah,Wasatch,34091,105.59971840075093,57.40937071786856,20.53327857792378,12.152348546118164
113808,2020-03-29,Wasatch,Utah,49051.0,40,0,51,Utah,Wasatch,34091,117.3330204452788,70.81885876875756,11.733302044527875,13.409488050889008
113809,2020-03-30,Wasatch,Utah,49051.0,45,0,51,Utah,Wasatch,34091,131.99964800093866,85.06643982282715,14.666627555659858,14.24758105406957
113810,2020-03-31,Wasatch,Utah,49051.0,50,0,51,Utah,Wasatch,34091,146.66627555659852,99.31402087689672,14.666627555659858,14.247581054069572
113811,2020-04-01,Wasatch,Utah,49051.0,56,0,51,Utah,Wasatch,34091,164.26622862339033,116.07588094050799,17.599953066791812,16.76186006361126
113812,2020-04-02,Wasatch,Utah,49051.0,61,0,51,Utah,Wasatch,34091,178.9328561790502,132.83774100411924,14.666627555659858,16.761860063611262
113813,2020-04-03,Wasatch,Utah,49051.0,69,0,51,Utah,Wasatch,34091,202.39946026810594,149.5996010677305,23.46660408905575,16.76186006361126
113814,2020-04-04,Wasatch,Utah,49051.0,70,0,51,Utah,Wasatch,34091,205.33278577923795,163.8471821218001,2.9333255111320113,14.247581054069576
113815,2020-04-05,Wasatch,Utah,49051.0,78,0,51,Utah,Wasatch,34091,228.7993898682937,179.7709491822308,23.46660408905575,15.923767060430702
113816,2020-04-06,Wasatch,Utah,49051.0,79,0,51,Utah,Wasatch,34091,231.73271537942566,194.01853023630036,2.9333255111319545,14.247581054069572
113817,2020-04-07,Wasatch,Utah,49051.0,80,0,51,Utah,Wasatch,34091,234.6660408905576,206.58992528400879,2.9333255111319545,12.571395047708444
113818,2020-04-08,Wasatch,Utah,49051.0,82,0,51,Utah,Wasatch,34091,240.53269191282155,217.48513432535609,5.866651022263937,10.895209041347318
113819,2020-04-09,Wasatch,Utah,49051.0,88,0,51,Utah,Wasatch,34091,258.1326449796134,228.79938986829367,17.59995306679187,11.314255542937605
113820,2020-04-10,Wasatch,Utah,49051.0,96,0,51,Utah,Wasatch,34091,281.59924906866917,240.1136454112313,23.46660408905575,11.314255542937605
113821,2020-04-11,Wasatch,Utah,49051.0,98,1,51,Utah,Wasatch,34091,287.46590009093313,251.84694745575916,5.866651022263966,11.733302044527885
113822,2020-04-12,Wasatch,Utah,49051.0,103,1,51,Utah,Wasatch,34091,302.13252764659296,262.3231099955162,14.66662755565983,10.47616253975704
113823,2020-04-13,Wasatch,Utah,49051.0,103,1,51,Utah,Wasatch,34091,302.13252764659296,272.38022603368296,0.0,10.05711603816676
113824,2020-04-14,Wasatch,Utah,49051.0,105,1,51,Utah,Wasatch,34091,307.99917866885687,282.8563885734399,5.866651022263909,10.47616253975704
113825,2020-04-15,Wasatch,Utah,49051.0,105,1,51,Utah,Wasatch,34091,307.99917866885687,292.4944581100164,0.0,9.638069536576477
113826,2020-04-16,Wasatch,Utah,49051.0,103,1,51,Utah,Wasatch,34091,302.13252764659296,298.7801556338706,-5.866651022263909,6.285697523854223
113827,2020-04-17,Wasatch,Utah,49051.0,103,1,51,Utah,Wasatch,34091,302.13252764659296,301.7134811450027,0.0,2.9333255111319727
113828,2020-04-18,Wasatch,Utah,49051.0,109,1,51,Utah,Wasatch,34091,319.73248071338475,306.3229926624957,17.599953066791784,4.60951151749309
113829,2020-04-19,Wasatch,Utah,49051.0,111,1,51,Utah,Wasatch,34091,325.5991317356487,309.67536467521796,5.866651022263966,3.352372012722252
113830,2020-04-20,Wasatch,Utah,49051.0,118,1,51,Utah,Wasatch,34091,346.1324103135725,315.9610621990722,20.533278577923795,6.285697523854223
113831,2020-04-21,Wasatch,Utah,49051.0,122,1,51,Utah,Wasatch,34091,357.8657123581004,323.084852726107,11.733302044527875,7.12379052703479
113832,2020-04-22,Wasatch,Utah,49051.0,123,1,51,Utah,Wasatch,34091,360.79903786923234,330.6276897547321,2.9333255111319545,7.542837028625068
113833,2020-04-23,Wasatch,Utah,49051.0,127,1,51,Utah,Wasatch,34091,372.5323399137602,340.68480579289877,11.733302044527875,10.057116038166752
113834,2020-04-24,Wasatch,Utah,49051.0,129,1,51,Utah,Wasatch,34091,378.3989909360242,351.5800148342461,5.866651022263966,10.895209041347318
113835,2020-04-25,Wasatch,Utah,49051.0,132,1,51,Utah,Wasatch,34091,387.1989674694201,361.21808437082257,8.79997653339592,9.63806953657648
113836,2020-04-26,Wasatch,Utah,49051.0,138,1,51,Utah,Wasatch,34091,404.7989205362119,372.53233991376015,17.599953066791784,11.314255542937598
113837,2020-04-27,Wasatch,Utah,49051.0,140,1,51,Utah,Wasatch,34091,410.6655715584759,381.7513629487463,5.866651022264023,9.219023034986202
113838,2020-04-28,Wasatch,Utah,49051.0,142,1,51,Utah,Wasatch,34091,416.5322225807398,390.13229298055194,5.866651022263909,8.380930031805635
113839,2020-04-29,Wasatch,Utah,49051.0,147,1,51,Utah,Wasatch,34091,431.19885013639964,400.18940901871866,14.66662755565983,10.05711603816676
113840,2020-04-30,Wasatch,Utah,49051.0,148,1,51,Utah,Wasatch,34091,434.1321756475316,408.9893855521146,2.9333255111319545,8.799976533395915
113841,2020-05-01,Wasatch,Utah,49051.0,155,1,51,Utah,Wasatch,34091,454.66545422545533,419.8845945934619,20.53327857792374,10.89520904134731
113842,2020-05-02,Wasatch,Utah,49051.0,156,1,51,Utah,Wasatch,34091,457.5987797365874,429.94171063162867,2.933325511132068,10.05711603816676
113843,2020-05-03,Wasatch,Utah,49051.0,159,1,51,Utah,Wasatch,34091,466.39875626998327,438.74168716502453,8.799976533395863,8.799976533395915
113844,2020-05-04,Wasatch,Utah,49051.0,165,1,51,Utah,Wasatch,34091,483.99870933677505,449.21784970478154,17.599953066791784,10.476162539757023
113845,2020-05-05,Wasatch,Utah,49051.0,166,1,51,Utah,Wasatch,34091,486.9320348479071,459.27496574294827,2.933325511132068,10.05711603816676
113846,2020-05-06,Wasatch,Utah,49051.0,170,1,51,Utah,Wasatch,34091,498.66533689243494,468.9130352795247,11.733302044527818,9.638069536576472
113847,2020-05-07,Wasatch,Utah,49051.0,173,1,51,Utah,Wasatch,34091,507.46531342583086,479.3891978192818,8.79997653339592,10.47616253975704
113848,2020-05-08,Wasatch,Utah,49051.0,173,1,51,Utah,Wasatch,34091,507.46531342583086,486.93203484790683,0.0,7.542837028625077
113849,2020-05-09,Wasatch,Utah,49051.0,176,1,51,Utah,Wasatch,34091,516.2652899592268,495.31296487971247,8.799976533395977,8.380930031805635
113850,2020-05-10,Wasatch,Utah,49051.0,176,1,51,Utah,Wasatch,34091,516.2652899592268,502.43675540674724,0.0,7.123790527034798
113851,2020-05-11,Wasatch,Utah,49051.0,183,1,51,Utah,Wasatch,34091,536.7985685371506,509.97959243537235,20.53327857792374,7.542837028625077
113852,2020-05-12,Wasatch,Utah,49051.0,184,1,51,Utah,Wasatch,34091,539.7318940482825,517.5224294639974,2.9333255111318977,7.542837028625052
113853,2020-05-13,Wasatch,Utah,49051.0,185,1,51,Utah,Wasatch,34091,542.6652195594145,523.8081269878517,2.9333255111320113,6.285697523854223
113854,2020-05-14,Wasatch,Utah,49051.0,188,1,51,Utah,Wasatch,34091,551.4651960928104,530.0938245117057,8.79997653339592,6.285697523854223
113855,2020-05-15,Wasatch,Utah,49051.0,196,1,51,Utah,Wasatch,34091,574.9318001818663,539.7318940482822,23.466604089055863,9.63806953657649
113856,2020-05-16,Wasatch,Utah,49051.0,200,1,51,Utah,Wasatch,34091,586.6651022263941,549.7890100864489,11.733302044527818,10.057116038166752
113857,2020-05-17,Wasatch,Utah,49051.0,202,1,51,Utah,Wasatch,34091,592.531753248658,560.6842191277963,5.866651022263909,10.89520904134731
113858,2020-05-18,Wasatch,Utah,49051.0,203,1,51,Utah,Wasatch,34091,595.46507875979,569.0651491596019,2.9333255111320113,8.380930031805635
113859,2020-05-19,Wasatch,Utah,49051.0,212,1,51,Utah,Wasatch,34091,621.8650083599778,580.7984512041298,26.39992960018776,11.733302044527901
113860,2020-05-20,Wasatch,Utah,49051.0,217,1,51,Utah,Wasatch,34091,636.5316359156376,594.2079392550188,14.66662755565983,13.409488050889019
113861,2020-05-21,Wasatch,Utah,49051.0,222,1,51,Utah,Wasatch,34091,651.1982634712974,608.4555203090885,14.66662755565983,14.247581054069576
113862,2020-05-22,Wasatch,Utah,49051.0,228,1,51,Utah,Wasatch,34091,668.7982165380893,621.8650083599774,17.59995306679184,13.409488050889001
113863,2020-05-23,Wasatch,Utah,49051.0,237,1,51,Utah,Wasatch,34091,695.198146138277,637.3697289188177,26.39992960018776,15.504720558840422
113864,2020-05-24,Wasatch,Utah,49051.0,241,1,51,Utah,Wasatch,34091,706.9314481828048,653.7125424808388,11.733302044527818,16.342813562020982
113865,2020-05-25,Wasatch,Utah,49051.0,247,1,51,Utah,Wasatch,34091,724.5314012495967,672.1505885508111,17.59995306679184,18.438046069972383
113866,2020-05-26,Wasatch,Utah,49051.0,253,1,51,Utah,Wasatch,34091,742.1313543163885,689.3314951160127,17.59995306679184,17.180906565201536
113867,2020-05-27,Wasatch,Utah,49051.0,258,1,51,Utah,Wasatch,34091,756.7979818720484,706.5124016812142,14.66662755565983,17.180906565201536
113868,2020-05-28,Wasatch,Utah,49051.0,259,1,51,Utah,Wasatch,34091,759.7313073831804,722.0171222400546,2.9333255111320113,15.50472055884042
113869,2020-05-29,Wasatch,Utah,49051.0,265,1,51,Utah,Wasatch,34091,777.3312604499721,737.521842798895,17.599953066791727,15.504720558840404
113870,2020-05-30,Wasatch,Utah,49051.0,272,1,51,Utah,Wasatch,34091,797.864539027896,752.188470354555,20.533278577923852,14.666627555659845
113871,2020-05-31,Wasatch,Utah,49051.0,282,2,51,Utah,Wasatch,34091,827.1977941392157,769.3693769197565,29.333255111319772,17.180906565201553
113872,2020-06-01,Wasatch,Utah,49051.0,292,2,51,Utah,Wasatch,34091,856.5310492505354,788.2264694913192,29.33325511131966,18.85709257156267
113873,2020-06-02,Wasatch,Utah,49051.0,294,2,51,Utah,Wasatch,34091,862.3977002727993,805.4073760565207,5.866651022263909,17.180906565201536
113874,2020-06-03,Wasatch,Utah,49051.0,305,2,51,Utah,Wasatch,34091,894.6642808952511,825.1025616312638,32.266580622451784,19.695185574743245
113875,2020-06-04,Wasatch,Utah,49051.0,313,2,51,Utah,Wasatch,34091,918.1308849843067,847.731072717139,23.466604089055636,22.628511085875193
113876,2020-06-05,Wasatch,Utah,49051.0,317,2,51,Utah,Wasatch,34091,929.8641870288346,869.5214907998336,11.733302044527932,21.79041808269465
113877,2020-06-06,Wasatch,Utah,49051.0,326,2,51,Utah,Wasatch,34091,956.2641166290223,892.1500018857088,26.399929600187647,22.628511085875193
113878,2020-06-07,Wasatch,Utah,49051.0,330,2,51,Utah,Wasatch,34091,967.9974186735501,912.2642339620422,11.733302044527818,20.114232076333483
113879,2020-06-08,Wasatch,Utah,49051.0,332,2,51,Utah,Wasatch,34091,973.8640696958142,929.0260940256536,5.866651022264136,16.761860063611266
113880,2020-06-09,Wasatch,Utah,49051.0,335,2,51,Utah,Wasatch,34091,982.6640462292099,946.2070005908552,8.799976533395693,17.18090656520152
113881,2020-06-10,Wasatch,Utah,49051.0,337,2,51,Utah,Wasatch,34091,988.5306972514741,959.616488641744,5.866651022264136,13.409488050889
113882,2020-06-11,Wasatch,Utah,49051.0,341,2,51,Utah,Wasatch,34091,1000.2639992960019,971.349790686272,11.733302044527818,11.733302044527884
113883,2020-06-12,Wasatch,Utah,49051.0,342,2,51,Utah,Wasatch,34091,1003.1973248071339,981.8259532260289,2.9333255111320113,10.476162539757038
113884,2020-06-13,Wasatch,Utah,49051.0,343,2,51,Utah,Wasatch,34091,1006.1306503182658,988.9497437530637,2.9333255111318977,7.123790527034787
113885,2020-06-14,Wasatch,Utah,49051.0,349,2,51,Utah,Wasatch,34091,1023.7306033850576,996.911627283279,17.59995306679184,7.961883530215362
113886,2020-06-15,Wasatch,Utah,49051.0,351,2,51,Utah,Wasatch,34091,1029.5972544073215,1004.8735108134942,5.866651022263909,7.96188353021533
113887,2020-06-16,Wasatch,Utah,49051.0,356,2,51,Utah,Wasatch,34091,1044.2638819629815,1013.6734873468903,14.666627555659943,8.799976533395936
113888,2020-06-17,Wasatch,Utah,49051.0,362,2,51,Utah,Wasatch,34091,1061.8638350297733,1024.1496498866472,17.59995306679184,10.476162539757038
113889,2020-06-18,Wasatch,Utah,49051.0,368,2,51,Utah,Wasatch,34091,1079.463788096565,1035.4639054295849,17.599953066791613,11.314255542937579
113890,2020-06-19,Wasatch,Utah,49051.0,371,3,51,Utah,Wasatch,34091,1088.263764629961,1047.616253975703,8.799976533396148,12.152348546118171
113891,2020-06-20,Wasatch,Utah,49051.0,380,3,51,Utah,Wasatch,34091,1114.6636942301486,1063.1209745345436,26.399929600187534,15.504720558840404
113892,2020-06-21,Wasatch,Utah,49051.0,380,3,51,Utah,Wasatch,34091,1114.6636942301486,1076.1114160838422,0.0,12.990441549298712
113893,2020-06-22,Wasatch,Utah,49051.0,384,3,51,Utah,Wasatch,34091,1126.3969962746767,1089.9399506363218,11.733302044528045,13.828534552479303
113894,2020-06-23,Wasatch,Utah,49051.0,387,3,51,Utah,Wasatch,34091,1135.1969728080726,1102.9303921856206,8.79997653339592,12.990441549298728
113895,2020-06-24,Wasatch,Utah,49051.0,389,3,51,Utah,Wasatch,34091,1141.0636238303364,1114.244647728558,5.866651022263795,11.314255542937579
113896,2020-06-25,Wasatch,Utah,49051.0,392,3,51,Utah,Wasatch,34091,1149.8636003637325,1124.301763766725,8.799976533396148,10.057116038166798
113897,2020-06-26,Wasatch,Utah,49051.0,394,3,51,Utah,Wasatch,34091,1155.7302513859963,1133.9398333033016,5.866651022263795,9.638069536576463
113898,2020-06-27,Wasatch,Utah,49051.0,399,3,51,Utah,Wasatch,34091,1170.3968789416563,1141.901716833517,14.666627555659943,7.9618835302153785
113899,2020-06-28,Wasatch,Utah,49051.0,400,3,51,Utah,Wasatch,34091,1173.3302044527882,1150.2826468653225,2.9333255111318977,8.380930031805649
113900,2020-06-29,Wasatch,Utah,49051.0,406,3,51,Utah,Wasatch,34091,1190.93015751958,1159.5016699003088,17.59995306679184,9.219023034986192
113901,2020-06-30,Wasatch,Utah,49051.0,408,3,51,Utah,Wasatch,34091,1196.7968085418438,1168.3016464337047,5.866651022263795,8.799976533395888
113902,2020-07-01,Wasatch,Utah,49051.0,410,3,51,Utah,Wasatch,34091,1202.6634595641078,1177.1016229671006,5.866651022264023,8.79997653339592
113903,2020-07-02,Wasatch,Utah,49051.0,414,3,51,Utah,Wasatch,34091,1214.3967616086359,1186.3206460020867,11.733302044528045,9.219023034986192
113904,2020-07-03,Wasatch,Utah,49051.0,418,3,51,Utah,Wasatch,34091,1226.1300636531635,1196.3777620402536,11.73330204452759,10.057116038166734
113905,2020-07-04,Wasatch,Utah,49051.0,419,3,51,Utah,Wasatch,34091,1229.0633891642956,1204.7586920720591,2.933325511132125,8.380930031805617
113906,2020-07-05,Wasatch,Utah,49051.0,422,3,51,Utah,Wasatch,34091,1237.8633656976915,1213.9777151070452,8.79997653339592,9.219023034986192
113907,2020-07-06,Wasatch,Utah,49051.0,426,4,51,Utah,Wasatch,34091,1249.5966677422193,1222.3586451388508,11.733302044527818,8.380930031805617
113908,2020-07-07,Wasatch,Utah,49051.0,427,4,51,Utah,Wasatch,34091,1252.5299932533514,1230.320528669066,2.933325511132125,7.9618835302153785
113909,2020-07-08,Wasatch,Utah,49051.0,436,4,51,Utah,Wasatch,34091,1278.929922853539,1241.2157377104134,26.399929600187534,10.895209041347309
113910,2020-07-09,Wasatch,Utah,49051.0,442,4,51,Utah,Wasatch,34091,1296.5298759203308,1252.9490397549412,17.59995306679184,11.73330204452785
113911,2020-07-10,Wasatch,Utah,49051.0,448,4,51,Utah,Wasatch,34091,1314.1298289871227,1265.5204348026496,17.59995306679184,12.571395047708458
113912,2020-07-11,Wasatch,Utah,49051.0,452,4,51,Utah,Wasatch,34091,1325.8631310316505,1279.348969355129,11.733302044527818,13.82853455247927
113913,2020-07-12,Wasatch,Utah,49051.0,456,4,51,Utah,Wasatch,34091,1337.5964330761785,1293.5965504091985,11.733302044528045,14.247581054069574
113914,2020-07-13,Wasatch,Utah,49051.0,462,4,51,Utah,Wasatch,34091,1355.1963861429701,1308.6822244664488,17.599953066791613,15.085674057250117
113915,2020-07-14,Wasatch,Utah,49051.0,464,4,51,Utah,Wasatch,34091,1361.0630371652344,1324.1869450252893,5.86665102226425,15.50472055884042
113916,2020-07-15,Wasatch,Utah,49051.0,465,4,51,Utah,Wasatch,34091,1363.996362676366,1336.3392935714076,2.9333255111316703,12.152348546118153
113917,2020-07-16,Wasatch,Utah,49051.0,472,4,51,Utah,Wasatch,34091,1384.52964125429,1348.9106886191162,20.533278577923966,12.571395047708458
113918,2020-07-17,Wasatch,Utah,49051.0,476,4,51,Utah,Wasatch,34091,1396.2629432988178,1360.643990663644,11.733302044527818,11.733302044527884
113919,2020-07-18,Wasatch,Utah,49051.0,481,4,51,Utah,Wasatch,34091,1410.9295708544778,1372.7963392097622,14.666627555659943,12.152348546118187
113920,2020-07-19,Wasatch,Utah,49051.0,489,4,51,Utah,Wasatch,34091,1434.3961749435337,1386.6248737622414,23.466604089055863,13.828534552479303
113921,2020-07-20,Wasatch,Utah,49051.0,491,4,51,Utah,Wasatch,34091,1440.2628259657974,1398.7772223083596,5.866651022263795,12.152348546118187
113922,2020-07-21,Wasatch,Utah,49051.0,495,4,51,Utah,Wasatch,34091,1451.9961280103253,1411.7676638576581,11.733302044527818,12.990441549298696
113923,2020-07-22,Wasatch,Utah,49051.0,497,4,51,Utah,Wasatch,34091,1457.8627790325893,1425.1771519085473,5.866651022264023,13.409488050889033
