,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,per_100k,new_cases,new_cases_ra
17911,2020-03-06,Washington,Utah,49053.0,1,0,53,Utah,Washington,177556,0.5632025952375589,,
17912,2020-03-07,Washington,Utah,49053.0,1,0,53,Utah,Washington,177556,0.5632025952375589,0.0,
17913,2020-03-08,Washington,Utah,49053.0,1,0,53,Utah,Washington,177556,0.5632025952375589,0.0,
17914,2020-03-09,Washington,Utah,49053.0,1,0,53,Utah,Washington,177556,0.5632025952375589,0.0,
17915,2020-03-10,Washington,Utah,49053.0,1,0,53,Utah,Washington,177556,0.5632025952375589,0.0,
17916,2020-03-11,Washington,Utah,49053.0,1,0,53,Utah,Washington,177556,0.5632025952375589,0.0,
17917,2020-03-12,Washington,Utah,49053.0,1,0,53,Utah,Washington,177556,0.5632025952375589,0.0,
17918,2020-03-13,Washington,Utah,49053.0,1,0,53,Utah,Washington,177556,0.5632025952375589,0.0,
17919,2020-03-14,Washington,Utah,49053.0,1,0,53,Utah,Washington,177556,0.5632025952375589,0.0,
17920,2020-03-15,Washington,Utah,49053.0,1,0,53,Utah,Washington,177556,0.5632025952375589,0.0,
17921,2020-03-16,Washington,Utah,49053.0,1,0,53,Utah,Washington,177556,0.5632025952375589,0.0,
17922,2020-03-17,Washington,Utah,49053.0,1,0,53,Utah,Washington,177556,0.5632025952375589,0.0,
17923,2020-03-18,Washington,Utah,49053.0,1,0,53,Utah,Washington,177556,0.5632025952375589,0.0,
17924,2020-03-19,Washington,Utah,49053.0,1,0,53,Utah,Washington,177556,0.5632025952375589,0.0,
17925,2020-03-20,Washington,Utah,49053.0,1,0,53,Utah,Washington,177556,0.5632025952375589,0.0,0.0
17926,2020-03-21,Washington,Utah,49053.0,2,0,53,Utah,Washington,177556,1.1264051904751178,0.5632025952375589,0.04022875680268278
17927,2020-03-22,Washington,Utah,49053.0,2,0,53,Utah,Washington,177556,1.1264051904751178,0.0,0.04022875680268278
17928,2020-03-23,Washington,Utah,49053.0,4,0,53,Utah,Washington,177556,2.2528103809502356,1.1264051904751178,0.12068627040804834
17929,2020-03-24,Washington,Utah,49053.0,4,0,53,Utah,Washington,177556,2.2528103809502356,0.0,0.12068627040804834
17930,2020-03-25,Washington,Utah,49053.0,6,0,53,Utah,Washington,177556,3.3792155714253536,1.126405190475118,0.2011437840134139
17931,2020-03-26,Washington,Utah,49053.0,6,0,53,Utah,Washington,177556,3.3792155714253536,0.0,0.2011437840134139
17932,2020-03-27,Washington,Utah,49053.0,6,0,53,Utah,Washington,177556,3.3792155714253536,0.0,0.2011437840134139
17933,2020-03-28,Washington,Utah,49053.0,8,0,53,Utah,Washington,177556,4.505620761900471,1.1264051904751176,0.28160129761877944
17934,2020-03-29,Washington,Utah,49053.0,8,0,53,Utah,Washington,177556,4.505620761900471,0.0,0.28160129761877944
17935,2020-03-30,Washington,Utah,49053.0,8,0,53,Utah,Washington,177556,4.505620761900471,0.0,0.28160129761877944
17936,2020-03-31,Washington,Utah,49053.0,14,0,53,Utah,Washington,177556,7.884836333325825,3.3792155714253536,0.5229738384348762
17937,2020-04-01,Washington,Utah,49053.0,14,0,53,Utah,Washington,177556,7.884836333325825,0.0,0.5229738384348762
17938,2020-04-02,Washington,Utah,49053.0,19,0,53,Utah,Washington,177556,10.700849309513618,2.8160129761877934,0.7241176224482899
17939,2020-04-03,Washington,Utah,49053.0,21,0,53,Utah,Washington,177556,11.827254499988737,1.1264051904751184,0.8045751360536555
17940,2020-04-04,Washington,Utah,49053.0,21,0,53,Utah,Washington,177556,11.827254499988737,0.0,0.7643463792509727
17941,2020-04-05,Washington,Utah,49053.0,24,0,53,Utah,Washington,177556,13.516862285701414,1.6896077857126777,0.8850326496590212
17942,2020-04-06,Washington,Utah,49053.0,24,0,53,Utah,Washington,177556,13.516862285701414,0.0,0.8045751360536555
17943,2020-04-07,Washington,Utah,49053.0,26,0,53,Utah,Washington,177556,14.643267476176531,1.1264051904751167,0.885032649659021
17944,2020-04-08,Washington,Utah,49053.0,27,0,53,Utah,Washington,177556,15.206470071414088,0.5632025952375574,0.8448038928563381
17945,2020-04-09,Washington,Utah,49053.0,31,0,53,Utah,Washington,177556,17.45928045236432,2.2528103809502333,1.005718920067069
17946,2020-04-10,Washington,Utah,49053.0,35,0,53,Utah,Washington,177556,19.712090833314562,2.2528103809502404,1.1666339472778005
17947,2020-04-11,Washington,Utah,49053.0,35,0,53,Utah,Washington,177556,19.712090833314562,0.0,1.0861764336724349
17948,2020-04-12,Washington,Utah,49053.0,36,0,53,Utah,Washington,177556,20.275293428552118,0.5632025952375557,1.1264051904751173
17949,2020-04-13,Washington,Utah,49053.0,36,0,53,Utah,Washington,177556,20.275293428552118,0.0,1.1264051904751173
17950,2020-04-14,Washington,Utah,49053.0,39,0,53,Utah,Washington,177556,21.964901214264795,1.6896077857126777,1.005718920067069
17951,2020-04-15,Washington,Utah,49053.0,39,0,53,Utah,Washington,177556,21.964901214264795,0.0,1.005718920067069
17952,2020-04-16,Washington,Utah,49053.0,39,0,53,Utah,Washington,177556,21.964901214264795,0.0,0.8045751360536553
17953,2020-04-17,Washington,Utah,49053.0,41,0,53,Utah,Washington,177556,23.091306404739914,1.1264051904751184,0.8045751360536553
17954,2020-04-18,Washington,Utah,49053.0,44,0,53,Utah,Washington,177556,24.780914190452588,1.6896077857126741,0.9252614064617034
17955,2020-04-19,Washington,Utah,49053.0,44,0,53,Utah,Washington,177556,24.780914190452588,0.0,0.804575136053655
17956,2020-04-20,Washington,Utah,49053.0,45,0,53,Utah,Washington,177556,25.344116785690147,0.5632025952375592,0.8448038928563378
