,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,cases_per_100k,deaths_per_100k,death_rate,new_cases,new_cases_per_100k,new_deaths,new_cases_per_100k_ra,new_deaths_ra,active_cases,infected_to_one
649896,2020-04-04,Charlotte,Virginia,51037.0,1,0.0,37,Virginia,Charlotte,11880,8.417508417508419,0.0,0.0,,,,,,,
649897,2020-04-05,Charlotte,Virginia,51037.0,1,0.0,37,Virginia,Charlotte,11880,8.417508417508419,0.0,0.0,0.0,0.0,0.0,,,,
649898,2020-04-06,Charlotte,Virginia,51037.0,1,0.0,37,Virginia,Charlotte,11880,8.417508417508419,0.0,0.0,0.0,0.0,0.0,,,,
649899,2020-04-07,Charlotte,Virginia,51037.0,1,0.0,37,Virginia,Charlotte,11880,8.417508417508419,0.0,0.0,0.0,0.0,0.0,,,,
649900,2020-04-08,Charlotte,Virginia,51037.0,1,0.0,37,Virginia,Charlotte,11880,8.417508417508419,0.0,0.0,0.0,0.0,0.0,,,,
649901,2020-04-09,Charlotte,Virginia,51037.0,1,0.0,37,Virginia,Charlotte,11880,8.417508417508419,0.0,0.0,0.0,0.0,0.0,,,,
649902,2020-04-10,Charlotte,Virginia,51037.0,2,0.0,37,Virginia,Charlotte,11880,16.835016835016837,0.0,0.0,1.0,8.417508417508419,0.0,,,,
649903,2020-04-11,Charlotte,Virginia,51037.0,2,0.0,37,Virginia,Charlotte,11880,16.835016835016837,0.0,0.0,0.0,0.0,0.0,1.2025012025012027,0.0,,
649904,2020-04-12,Charlotte,Virginia,51037.0,4,0.0,37,Virginia,Charlotte,11880,33.670033670033675,0.0,0.0,2.0,16.835016835016837,0.0,3.607503607503608,0.0,3.0,990.0
649905,2020-04-13,Charlotte,Virginia,51037.0,4,0.0,37,Virginia,Charlotte,11880,33.670033670033675,0.0,0.0,0.0,0.0,0.0,3.607503607503608,0.0,3.0,990.0
649906,2020-04-14,Charlotte,Virginia,51037.0,4,0.0,37,Virginia,Charlotte,11880,33.670033670033675,0.0,0.0,0.0,0.0,0.0,3.607503607503608,0.0,3.0,990.0
649907,2020-04-15,Charlotte,Virginia,51037.0,5,0.0,37,Virginia,Charlotte,11880,42.08754208754208,0.0,0.0,1.0,8.417508417508408,0.0,4.810004810004808,0.0,4.0,742.5
649908,2020-04-16,Charlotte,Virginia,51037.0,8,0.0,37,Virginia,Charlotte,11880,67.34006734006735,0.0,0.0,3.0,25.252525252525267,0.0,8.417508417508419,0.0,7.0,424.28571428571433
649909,2020-04-17,Charlotte,Virginia,51037.0,8,0.0,37,Virginia,Charlotte,11880,67.34006734006735,0.0,0.0,0.0,0.0,0.0,7.215007215007215,0.0,7.0,424.28571428571433
649910,2020-04-18,Charlotte,Virginia,51037.0,8,0.0,37,Virginia,Charlotte,11880,67.34006734006735,0.0,0.0,0.0,0.0,0.0,7.215007215007215,0.0,6.0,495.0
649911,2020-04-19,Charlotte,Virginia,51037.0,8,0.0,37,Virginia,Charlotte,11880,67.34006734006735,0.0,0.0,0.0,0.0,0.0,4.81000481000481,0.0,6.0,495.0
