,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,per_100k,per_100k_ra,new_cases,new_cases_ra
499138,2020-03-31,Franklin city,Virginia,51620.0,1,0,620,Virginia,Franklin city,7967,12.551776076314798,,,
499139,2020-04-01,Franklin city,Virginia,51620.0,1,0,620,Virginia,Franklin city,7967,12.551776076314798,,0.0,
499140,2020-04-02,Franklin city,Virginia,51620.0,1,0,620,Virginia,Franklin city,7967,12.551776076314798,,0.0,
499141,2020-04-03,Franklin city,Virginia,51620.0,3,0,620,Virginia,Franklin city,7967,37.65532822894439,,25.103552152629593,
499142,2020-04-04,Franklin city,Virginia,51620.0,4,0,620,Virginia,Franklin city,7967,50.20710430525919,,12.551776076314802,
499143,2020-04-05,Franklin city,Virginia,51620.0,4,0,620,Virginia,Franklin city,7967,50.20710430525919,,0.0,
499144,2020-04-06,Franklin city,Virginia,51620.0,4,0,620,Virginia,Franklin city,7967,50.20710430525919,32.27599562480948,0.0,
499145,2020-04-07,Franklin city,Virginia,51620.0,4,0,620,Virginia,Franklin city,7967,50.20710430525919,37.65532822894439,0.0,5.379332604134914
499146,2020-04-08,Franklin city,Virginia,51620.0,5,0,620,Virginia,Franklin city,7967,62.75888038157399,44.82777170112428,12.551776076314795,7.172443472179885
499147,2020-04-09,Franklin city,Virginia,51620.0,6,0,620,Virginia,Franklin city,7967,75.31065645788878,53.79332604134913,12.551776076314795,8.965554340224855
499148,2020-04-10,Franklin city,Virginia,51620.0,6,0,620,Virginia,Franklin city,7967,75.31065645788878,59.17265864548405,0.0,5.379332604134914
499149,2020-04-11,Franklin city,Virginia,51620.0,6,0,620,Virginia,Franklin city,7967,75.31065645788878,62.758880381573995,0.0,3.5862217360899424
499150,2020-04-12,Franklin city,Virginia,51620.0,6,0,620,Virginia,Franklin city,7967,75.31065645788878,66.34510211766393,0.0,3.5862217360899424
499151,2020-04-13,Franklin city,Virginia,51620.0,7,0,620,Virginia,Franklin city,7967,87.86243253420359,71.72443472179886,12.551776076314809,5.379332604134915
499152,2020-04-14,Franklin city,Virginia,51620.0,7,0,620,Virginia,Franklin city,7967,87.86243253420359,77.10376732593376,0.0,5.379332604134915
499153,2020-04-15,Franklin city,Virginia,51620.0,7,0,620,Virginia,Franklin city,7967,87.86243253420359,80.68998906202371,0.0,3.586221736089944
499154,2020-04-16,Franklin city,Virginia,51620.0,9,0,620,Virginia,Franklin city,7967,112.96598468683318,86.06932166615863,25.10355215262959,5.379332604134915
499155,2020-04-17,Franklin city,Virginia,51620.0,9,0,620,Virginia,Franklin city,7967,112.96598468683318,91.44865427029355,0.0,5.379332604134915
499156,2020-04-18,Franklin city,Virginia,51620.0,12,0,620,Virginia,Franklin city,7967,150.62131291577757,102.20731947856338,37.655328228944384,10.758665208269829
499157,2020-04-19,Franklin city,Virginia,51620.0,12,0,620,Virginia,Franklin city,7967,150.62131291577757,112.96598468683321,0.0,10.758665208269829
499158,2020-04-20,Franklin city,Virginia,51620.0,12,0,620,Virginia,Franklin city,7967,150.62131291577757,121.93153902705808,0.0,8.965554340224855
499159,2020-04-21,Franklin city,Virginia,51620.0,12,0,620,Virginia,Franklin city,7967,150.62131291577757,130.89709336728293,0.0,8.965554340224855
499160,2020-04-22,Franklin city,Virginia,51620.0,14,0,620,Virginia,Franklin city,7967,175.72486506840718,143.44886944359774,25.103552152629618,12.5517760763148
499161,2020-04-23,Franklin city,Virginia,51620.0,15,0,620,Virginia,Franklin city,7967,188.27664114472196,154.20753465186755,12.55177607631478,10.758665208269829
499162,2020-04-24,Franklin city,Virginia,51620.0,15,0,620,Virginia,Franklin city,7967,188.27664114472196,164.96619986013735,0.0,10.758665208269829
499163,2020-04-25,Franklin city,Virginia,51620.0,16,0,620,Virginia,Franklin city,7967,200.82841722103677,172.13864333231726,12.551776076314809,7.172443472179888
499164,2020-04-26,Franklin city,Virginia,51620.0,16,0,620,Virginia,Franklin city,7967,200.82841722103677,179.31108680449714,0.0,7.172443472179888
499165,2020-04-27,Franklin city,Virginia,51620.0,16,0,620,Virginia,Franklin city,7967,200.82841722103677,186.48353027667704,0.0,7.172443472179888
499166,2020-04-28,Franklin city,Virginia,51620.0,18,0,620,Virginia,Franklin city,7967,225.93196937366636,197.24219548494688,25.10355215262959,10.75866520826983
499167,2020-04-29,Franklin city,Virginia,51620.0,19,0,620,Virginia,Franklin city,7967,238.48374544998117,206.20774982517173,12.551776076314809,8.965554340224857
499168,2020-04-30,Franklin city,Virginia,51620.0,20,0,620,Virginia,Franklin city,7967,251.03552152629595,215.1733041653966,12.55177607631478,8.965554340224857
499169,2020-05-01,Franklin city,Virginia,51620.0,23,1,620,Virginia,Franklin city,7967,288.6908497552403,229.51819110975637,37.65532822894437,14.344886944359768
499170,2020-05-02,Franklin city,Virginia,51620.0,23,1,620,Virginia,Franklin city,7967,288.6908497552403,242.06996718607118,0.0,12.551776076314795
499171,2020-05-03,Franklin city,Virginia,51620.0,23,1,620,Virginia,Franklin city,7967,288.6908497552403,254.621743262386,0.0,12.551776076314795
499172,2020-05-04,Franklin city,Virginia,51620.0,23,1,620,Virginia,Franklin city,7967,288.6908497552403,267.1735193387008,0.0,12.551776076314795
499173,2020-05-05,Franklin city,Virginia,51620.0,23,1,620,Virginia,Franklin city,7967,288.6908497552403,276.1390736789256,0.0,8.965554340224854
499174,2020-05-06,Franklin city,Virginia,51620.0,23,1,620,Virginia,Franklin city,7967,288.6908497552403,283.3115171511055,0.0,7.17244347217988
499175,2020-05-07,Franklin city,Virginia,51620.0,23,1,620,Virginia,Franklin city,7967,288.6908497552403,288.69084975524044,0.0,5.379332604134912
499176,2020-05-08,Franklin city,Virginia,51620.0,23,1,620,Virginia,Franklin city,7967,288.6908497552403,288.6908497552404,0.0,2.0301221021717147e-15
499177,2020-05-09,Franklin city,Virginia,51620.0,25,1,620,Virginia,Franklin city,7967,313.79440190787,292.27707149133033,25.103552152629675,3.5862217360899558
499178,2020-05-10,Franklin city,Virginia,51620.0,26,1,620,Virginia,Franklin city,7967,326.3461779841848,297.6564040954653,12.551776076314809,5.3793326041349285
499179,2020-05-11,Franklin city,Virginia,51620.0,26,1,620,Virginia,Franklin city,7967,326.3461779841848,303.03573669960014,0.0,5.3793326041349285
499180,2020-05-12,Franklin city,Virginia,51620.0,26,2,620,Virginia,Franklin city,7967,326.3461779841848,308.41506930373504,0.0,5.3793326041349285
499181,2020-05-13,Franklin city,Virginia,51620.0,25,1,620,Virginia,Franklin city,7967,313.79440190787,312.001291039825,-12.551776076314809,3.5862217360899558
499182,2020-05-14,Franklin city,Virginia,51620.0,26,1,620,Virginia,Franklin city,7967,326.3461779841848,317.38062364395995,12.551776076314809,5.3793326041349285
