,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,cases_per_100k,deaths_per_100k,death_rate,new_cases,new_deaths,new_cases_ra,new_deaths_ra
277455,2020-03-22,Lee,Virginia,51105.0,2,0,105,Virginia,Lee,23423,8.538615890364172,0.0,0.0,,,,
277456,2020-03-23,Lee,Virginia,51105.0,2,0,105,Virginia,Lee,23423,8.538615890364172,0.0,0.0,0.0,0.0,,
277457,2020-03-24,Lee,Virginia,51105.0,2,0,105,Virginia,Lee,23423,8.538615890364172,0.0,0.0,0.0,0.0,,
277458,2020-03-25,Lee,Virginia,51105.0,2,0,105,Virginia,Lee,23423,8.538615890364172,0.0,0.0,0.0,0.0,,
277459,2020-03-26,Lee,Virginia,51105.0,2,0,105,Virginia,Lee,23423,8.538615890364172,0.0,0.0,0.0,0.0,,
277460,2020-03-27,Lee,Virginia,51105.0,2,0,105,Virginia,Lee,23423,8.538615890364172,0.0,0.0,0.0,0.0,,
277461,2020-03-28,Lee,Virginia,51105.0,2,0,105,Virginia,Lee,23423,8.538615890364172,0.0,0.0,0.0,0.0,,
277462,2020-03-29,Lee,Virginia,51105.0,2,0,105,Virginia,Lee,23423,8.538615890364172,0.0,0.0,0.0,0.0,0.0,0.0
277463,2020-03-30,Lee,Virginia,51105.0,2,0,105,Virginia,Lee,23423,8.538615890364172,0.0,0.0,0.0,0.0,0.0,0.0
277464,2020-03-31,Lee,Virginia,51105.0,2,0,105,Virginia,Lee,23423,8.538615890364172,0.0,0.0,0.0,0.0,0.0,0.0
277465,2020-04-01,Lee,Virginia,51105.0,2,0,105,Virginia,Lee,23423,8.538615890364172,0.0,0.0,0.0,0.0,0.0,0.0
277466,2020-04-02,Lee,Virginia,51105.0,2,0,105,Virginia,Lee,23423,8.538615890364172,0.0,0.0,0.0,0.0,0.0,0.0
277467,2020-04-03,Lee,Virginia,51105.0,2,0,105,Virginia,Lee,23423,8.538615890364172,0.0,0.0,0.0,0.0,0.0,0.0
277468,2020-04-04,Lee,Virginia,51105.0,2,0,105,Virginia,Lee,23423,8.538615890364172,0.0,0.0,0.0,0.0,0.0,0.0
277469,2020-04-05,Lee,Virginia,51105.0,2,0,105,Virginia,Lee,23423,8.538615890364172,0.0,0.0,0.0,0.0,0.0,0.0
277470,2020-04-06,Lee,Virginia,51105.0,2,0,105,Virginia,Lee,23423,8.538615890364172,0.0,0.0,0.0,0.0,0.0,0.0
277471,2020-04-07,Lee,Virginia,51105.0,2,0,105,Virginia,Lee,23423,8.538615890364172,0.0,0.0,0.0,0.0,0.0,0.0
277472,2020-04-08,Lee,Virginia,51105.0,3,0,105,Virginia,Lee,23423,12.807923835546259,0.0,0.0,4.269307945182087,0.0,0.6099011350260124,0.0
277473,2020-04-09,Lee,Virginia,51105.0,3,0,105,Virginia,Lee,23423,12.807923835546259,0.0,0.0,0.0,0.0,0.6099011350260124,0.0
277474,2020-04-10,Lee,Virginia,51105.0,3,0,105,Virginia,Lee,23423,12.807923835546259,0.0,0.0,0.0,0.0,0.6099011350260124,0.0
277475,2020-04-11,Lee,Virginia,51105.0,6,0,105,Virginia,Lee,23423,25.615847671092517,0.0,0.0,12.807923835546259,0.0,2.4396045401040496,0.0
277476,2020-04-12,Lee,Virginia,51105.0,6,0,105,Virginia,Lee,23423,25.615847671092517,0.0,0.0,0.0,0.0,2.4396045401040496,0.0
277477,2020-04-13,Lee,Virginia,51105.0,7,0,105,Virginia,Lee,23423,29.8851556162746,0.0,0.0,4.2693079451820815,0.0,3.049505675130061,0.0
277478,2020-04-14,Lee,Virginia,51105.0,6,0,105,Virginia,Lee,23423,25.615847671092517,0.0,0.0,-4.2693079451820815,0.0,2.4396045401040496,0.0
277479,2020-04-15,Lee,Virginia,51105.0,6,0,105,Virginia,Lee,23423,25.615847671092517,0.0,0.0,0.0,0.0,1.8297034050780372,0.0
277480,2020-04-16,Lee,Virginia,51105.0,6,0,105,Virginia,Lee,23423,25.615847671092517,0.0,0.0,0.0,0.0,1.8297034050780372,0.0
277481,2020-04-17,Lee,Virginia,51105.0,7,0,105,Virginia,Lee,23423,29.8851556162746,0.0,0.0,4.2693079451820815,0.0,2.4396045401040487,0.0
277482,2020-04-18,Lee,Virginia,51105.0,7,0,105,Virginia,Lee,23423,29.8851556162746,0.0,0.0,0.0,0.0,0.6099011350260116,0.0
277483,2020-04-19,Lee,Virginia,51105.0,7,0,105,Virginia,Lee,23423,29.8851556162746,0.0,0.0,0.0,0.0,0.6099011350260116,0.0
277484,2020-04-20,Lee,Virginia,51105.0,7,0,105,Virginia,Lee,23423,29.8851556162746,0.0,0.0,0.0,0.0,0.0,0.0
277485,2020-04-21,Lee,Virginia,51105.0,7,0,105,Virginia,Lee,23423,29.8851556162746,0.0,0.0,0.0,0.0,0.6099011350260116,0.0
277486,2020-04-22,Lee,Virginia,51105.0,7,0,105,Virginia,Lee,23423,29.8851556162746,0.0,0.0,0.0,0.0,0.6099011350260116,0.0
277487,2020-04-23,Lee,Virginia,51105.0,7,0,105,Virginia,Lee,23423,29.8851556162746,0.0,0.0,0.0,0.0,0.6099011350260116,0.0
277488,2020-04-24,Lee,Virginia,51105.0,8,0,105,Virginia,Lee,23423,34.15446356145669,0.0,0.0,4.269307945182089,0.0,0.6099011350260126,0.0
277489,2020-04-25,Lee,Virginia,51105.0,8,0,105,Virginia,Lee,23423,34.15446356145669,0.0,0.0,0.0,0.0,0.6099011350260126,0.0
277490,2020-04-26,Lee,Virginia,51105.0,8,0,105,Virginia,Lee,23423,34.15446356145669,0.0,0.0,0.0,0.0,0.6099011350260126,0.0
277491,2020-04-27,Lee,Virginia,51105.0,8,0,105,Virginia,Lee,23423,34.15446356145669,0.0,0.0,0.0,0.0,0.6099011350260126,0.0
277492,2020-04-28,Lee,Virginia,51105.0,9,0,105,Virginia,Lee,23423,38.42377150663877,0.0,0.0,4.269307945182085,0.0,1.2198022700520248,0.0
277493,2020-04-29,Lee,Virginia,51105.0,9,0,105,Virginia,Lee,23423,38.42377150663877,0.0,0.0,0.0,0.0,1.2198022700520248,0.0
277494,2020-04-30,Lee,Virginia,51105.0,9,0,105,Virginia,Lee,23423,38.42377150663877,0.0,0.0,0.0,0.0,1.2198022700520248,0.0
277495,2020-05-01,Lee,Virginia,51105.0,10,0,105,Virginia,Lee,23423,42.693079451820864,0.0,0.0,4.269307945182092,0.0,1.2198022700520252,0.0
277496,2020-05-02,Lee,Virginia,51105.0,10,0,105,Virginia,Lee,23423,42.693079451820864,0.0,0.0,0.0,0.0,1.2198022700520252,0.0
277497,2020-05-03,Lee,Virginia,51105.0,10,0,105,Virginia,Lee,23423,42.693079451820864,0.0,0.0,0.0,0.0,1.2198022700520252,0.0
277498,2020-05-04,Lee,Virginia,51105.0,10,0,105,Virginia,Lee,23423,42.693079451820864,0.0,0.0,0.0,0.0,1.2198022700520252,0.0
277499,2020-05-05,Lee,Virginia,51105.0,10,0,105,Virginia,Lee,23423,42.693079451820864,0.0,0.0,0.0,0.0,0.6099011350260132,0.0
277500,2020-05-06,Lee,Virginia,51105.0,10,0,105,Virginia,Lee,23423,42.693079451820864,0.0,0.0,0.0,0.0,0.6099011350260132,0.0
277501,2020-05-07,Lee,Virginia,51105.0,10,0,105,Virginia,Lee,23423,42.693079451820864,0.0,0.0,0.0,0.0,0.6099011350260132,0.0
277502,2020-05-08,Lee,Virginia,51105.0,10,0,105,Virginia,Lee,23423,42.693079451820864,0.0,0.0,0.0,0.0,0.0,0.0
277503,2020-05-09,Lee,Virginia,51105.0,10,0,105,Virginia,Lee,23423,42.693079451820864,0.0,0.0,0.0,0.0,0.0,0.0
277504,2020-05-10,Lee,Virginia,51105.0,10,0,105,Virginia,Lee,23423,42.693079451820864,0.0,0.0,0.0,0.0,0.0,0.0
277505,2020-05-11,Lee,Virginia,51105.0,10,0,105,Virginia,Lee,23423,42.693079451820864,0.0,0.0,0.0,0.0,0.0,0.0
277506,2020-05-12,Lee,Virginia,51105.0,10,0,105,Virginia,Lee,23423,42.693079451820864,0.0,0.0,0.0,0.0,0.0,0.0
277507,2020-05-13,Lee,Virginia,51105.0,10,0,105,Virginia,Lee,23423,42.693079451820864,0.0,0.0,0.0,0.0,0.0,0.0
277508,2020-05-14,Lee,Virginia,51105.0,10,0,105,Virginia,Lee,23423,42.693079451820864,0.0,0.0,0.0,0.0,0.0,0.0
277509,2020-05-15,Lee,Virginia,51105.0,10,0,105,Virginia,Lee,23423,42.693079451820864,0.0,0.0,0.0,0.0,0.0,0.0
277510,2020-05-16,Lee,Virginia,51105.0,10,0,105,Virginia,Lee,23423,42.693079451820864,0.0,0.0,0.0,0.0,0.0,0.0
277511,2020-05-17,Lee,Virginia,51105.0,10,0,105,Virginia,Lee,23423,42.693079451820864,0.0,0.0,0.0,0.0,0.0,0.0
277512,2020-05-18,Lee,Virginia,51105.0,10,0,105,Virginia,Lee,23423,42.693079451820864,0.0,0.0,0.0,0.0,0.0,0.0
277513,2020-05-19,Lee,Virginia,51105.0,10,0,105,Virginia,Lee,23423,42.693079451820864,0.0,0.0,0.0,0.0,0.0,0.0
277514,2020-05-20,Lee,Virginia,51105.0,10,0,105,Virginia,Lee,23423,42.693079451820864,0.0,0.0,0.0,0.0,0.0,0.0
277515,2020-05-21,Lee,Virginia,51105.0,10,0,105,Virginia,Lee,23423,42.693079451820864,0.0,0.0,0.0,0.0,0.0,0.0
277516,2020-05-22,Lee,Virginia,51105.0,9,0,105,Virginia,Lee,23423,38.42377150663877,0.0,0.0,-4.269307945182092,0.0,-0.6099011350260132,0.0
277517,2020-05-23,Lee,Virginia,51105.0,9,0,105,Virginia,Lee,23423,38.42377150663877,0.0,0.0,0.0,0.0,-0.6099011350260132,0.0
277518,2020-05-24,Lee,Virginia,51105.0,9,0,105,Virginia,Lee,23423,38.42377150663877,0.0,0.0,0.0,0.0,-0.6099011350260132,0.0
277519,2020-05-25,Lee,Virginia,51105.0,9,0,105,Virginia,Lee,23423,38.42377150663877,0.0,0.0,0.0,0.0,-0.6099011350260132,0.0
277520,2020-05-26,Lee,Virginia,51105.0,9,0,105,Virginia,Lee,23423,38.42377150663877,0.0,0.0,0.0,0.0,-0.6099011350260132,0.0
277521,2020-05-27,Lee,Virginia,51105.0,9,0,105,Virginia,Lee,23423,38.42377150663877,0.0,0.0,0.0,0.0,-0.6099011350260132,0.0
277522,2020-05-28,Lee,Virginia,51105.0,9,0,105,Virginia,Lee,23423,38.42377150663877,0.0,0.0,0.0,0.0,-0.6099011350260132,0.0
277523,2020-05-29,Lee,Virginia,51105.0,9,0,105,Virginia,Lee,23423,38.42377150663877,0.0,0.0,0.0,0.0,0.0,0.0
277524,2020-05-30,Lee,Virginia,51105.0,9,0,105,Virginia,Lee,23423,38.42377150663877,0.0,0.0,0.0,0.0,0.0,0.0
277525,2020-05-31,Lee,Virginia,51105.0,9,0,105,Virginia,Lee,23423,38.42377150663877,0.0,0.0,0.0,0.0,0.0,0.0
277526,2020-06-01,Lee,Virginia,51105.0,9,0,105,Virginia,Lee,23423,38.42377150663877,0.0,0.0,0.0,0.0,0.0,0.0
277527,2020-06-02,Lee,Virginia,51105.0,9,0,105,Virginia,Lee,23423,38.42377150663877,0.0,0.0,0.0,0.0,0.0,0.0
277528,2020-06-03,Lee,Virginia,51105.0,9,0,105,Virginia,Lee,23423,38.42377150663877,0.0,0.0,0.0,0.0,0.0,0.0
277529,2020-06-04,Lee,Virginia,51105.0,9,0,105,Virginia,Lee,23423,38.42377150663877,0.0,0.0,0.0,0.0,0.0,0.0
277530,2020-06-05,Lee,Virginia,51105.0,9,0,105,Virginia,Lee,23423,38.42377150663877,0.0,0.0,0.0,0.0,0.0,0.0
277531,2020-06-06,Lee,Virginia,51105.0,9,0,105,Virginia,Lee,23423,38.42377150663877,0.0,0.0,0.0,0.0,0.0,0.0
277532,2020-06-07,Lee,Virginia,51105.0,10,0,105,Virginia,Lee,23423,42.693079451820864,0.0,0.0,4.269307945182092,0.0,0.6099011350260132,0.0
277533,2020-06-08,Lee,Virginia,51105.0,10,0,105,Virginia,Lee,23423,42.693079451820864,0.0,0.0,0.0,0.0,0.6099011350260132,0.0
277534,2020-06-09,Lee,Virginia,51105.0,9,0,105,Virginia,Lee,23423,38.42377150663877,0.0,0.0,-4.269307945182092,0.0,0.0,0.0
277535,2020-06-10,Lee,Virginia,51105.0,9,0,105,Virginia,Lee,23423,38.42377150663877,0.0,0.0,0.0,0.0,0.0,0.0
277536,2020-06-11,Lee,Virginia,51105.0,9,0,105,Virginia,Lee,23423,38.42377150663877,0.0,0.0,0.0,0.0,0.0,0.0
277537,2020-06-12,Lee,Virginia,51105.0,9,0,105,Virginia,Lee,23423,38.42377150663877,0.0,0.0,0.0,0.0,0.0,0.0
277538,2020-06-13,Lee,Virginia,51105.0,9,0,105,Virginia,Lee,23423,38.42377150663877,0.0,0.0,0.0,0.0,0.0,0.0
