,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,per_100k,per_100k_ra,new_cases,new_cases_ra
650622,2020-04-28,Martinsville city,Virginia,51690.0,2,0,690,Virginia,Martinsville city,12554,15.931177314003504,,,
650623,2020-04-29,Martinsville city,Virginia,51690.0,2,0,690,Virginia,Martinsville city,12554,15.931177314003504,,0.0,
650624,2020-04-30,Martinsville city,Virginia,51690.0,2,0,690,Virginia,Martinsville city,12554,15.931177314003504,,0.0,
650625,2020-05-01,Martinsville city,Virginia,51690.0,2,0,690,Virginia,Martinsville city,12554,15.931177314003504,,0.0,
650626,2020-05-02,Martinsville city,Virginia,51690.0,2,0,690,Virginia,Martinsville city,12554,15.931177314003504,,0.0,
650627,2020-05-03,Martinsville city,Virginia,51690.0,2,0,690,Virginia,Martinsville city,12554,15.931177314003504,,0.0,
650628,2020-05-04,Martinsville city,Virginia,51690.0,2,0,690,Virginia,Martinsville city,12554,15.931177314003504,15.931177314003504,0.0,
650629,2020-05-05,Martinsville city,Virginia,51690.0,2,0,690,Virginia,Martinsville city,12554,15.931177314003504,15.931177314003504,0.0,0.0
650630,2020-05-06,Martinsville city,Virginia,51690.0,2,0,690,Virginia,Martinsville city,12554,15.931177314003504,15.931177314003504,0.0,0.0
650631,2020-05-07,Martinsville city,Virginia,51690.0,2,0,690,Virginia,Martinsville city,12554,15.931177314003504,15.931177314003504,0.0,0.0
650632,2020-05-08,Martinsville city,Virginia,51690.0,2,0,690,Virginia,Martinsville city,12554,15.931177314003504,15.931177314003504,0.0,0.0
650633,2020-05-09,Martinsville city,Virginia,51690.0,2,0,690,Virginia,Martinsville city,12554,15.931177314003504,15.931177314003504,0.0,0.0
650634,2020-05-10,Martinsville city,Virginia,51690.0,2,0,690,Virginia,Martinsville city,12554,15.931177314003504,15.931177314003504,0.0,0.0
650635,2020-05-11,Martinsville city,Virginia,51690.0,2,0,690,Virginia,Martinsville city,12554,15.931177314003504,15.931177314003504,0.0,0.0
650636,2020-05-12,Martinsville city,Virginia,51690.0,2,0,690,Virginia,Martinsville city,12554,15.931177314003504,15.931177314003504,0.0,0.0
650637,2020-05-13,Martinsville city,Virginia,51690.0,2,0,690,Virginia,Martinsville city,12554,15.931177314003504,15.931177314003504,0.0,0.0
650638,2020-05-14,Martinsville city,Virginia,51690.0,3,0,690,Virginia,Martinsville city,12554,23.896765971005255,17.06911855071804,7.965588657001751,1.1379412367145358
650639,2020-05-15,Martinsville city,Virginia,51690.0,3,0,690,Virginia,Martinsville city,12554,23.896765971005255,18.207059787432577,0.0,1.1379412367145358
650640,2020-05-16,Martinsville city,Virginia,51690.0,4,0,690,Virginia,Martinsville city,12554,31.862354628007008,20.48294226086165,7.965588657001753,2.275882473429072
650641,2020-05-17,Martinsville city,Virginia,51690.0,5,0,690,Virginia,Martinsville city,12554,39.827943285008764,23.89676597100526,7.9655886570017564,3.413823710143608
650642,2020-05-18,Martinsville city,Virginia,51690.0,8,0,690,Virginia,Martinsville city,12554,63.724709256014016,30.724413391292476,23.89676597100525,6.8276474202872155
650643,2020-05-19,Martinsville city,Virginia,51690.0,16,0,690,Virginia,Martinsville city,12554,127.44941851202803,46.655590705295985,63.724709256014016,15.931177314003504
650644,2020-05-20,Martinsville city,Virginia,51690.0,20,0,690,Virginia,Martinsville city,12554,159.31177314003506,67.13853296615763,31.862354628007026,20.48294226086165
650645,2020-05-21,Martinsville city,Virginia,51690.0,21,0,690,Virginia,Martinsville city,12554,167.2773617970368,87.62147522701927,7.965588657001746,20.48294226086165
650646,2020-05-22,Martinsville city,Virginia,51690.0,25,0,690,Virginia,Martinsville city,12554,199.13971642504382,112.65618243473908,31.86235462800701,25.034707207719794
650647,2020-05-23,Martinsville city,Virginia,51690.0,24,1,690,Virginia,Martinsville city,12554,191.17412776804204,135.4150071690298,-7.965588657001774,22.75882473429072
650648,2020-05-24,Martinsville city,Virginia,51690.0,24,1,690,Virginia,Martinsville city,12554,191.17412776804204,157.03589066660598,0.0,21.620883497576184
650649,2020-05-25,Martinsville city,Virginia,51690.0,24,1,690,Virginia,Martinsville city,12554,191.17412776804204,175.24295045403855,0.0,18.207059787432577
650650,2020-05-26,Martinsville city,Virginia,51690.0,27,1,690,Virginia,Martinsville city,12554,215.07089373904734,187.76030405789848,23.896765971005294,12.517353603859899
650651,2020-05-27,Martinsville city,Virginia,51690.0,29,1,690,Virginia,Martinsville city,12554,231.0020710530508,198.00177518832928,15.931177314003463,10.241471130430819
650652,2020-05-28,Martinsville city,Virginia,51690.0,31,1,690,Virginia,Martinsville city,12554,246.93324836705432,209.38118755547467,15.93117731400352,11.379412367145358
650653,2020-05-29,Martinsville city,Virginia,51690.0,31,1,690,Virginia,Martinsville city,12554,246.93324836705432,216.20883497576187,0.0,6.827647420287213
650654,2020-05-30,Martinsville city,Virginia,51690.0,31,1,690,Virginia,Martinsville city,12554,246.93324836705432,224.17442363276362,0.0,7.965588657001752
650655,2020-05-31,Martinsville city,Virginia,51690.0,31,1,690,Virginia,Martinsville city,12554,246.93324836705432,232.14001228976537,0.0,7.965588657001752
650656,2020-06-01,Martinsville city,Virginia,51690.0,32,1,690,Virginia,Martinsville city,12554,254.89883702405606,241.24354218348165,7.965588657001746,9.103529893716287
650657,2020-06-02,Martinsville city,Virginia,51690.0,37,1,690,Virginia,Martinsville city,12554,294.72678030906485,252.62295455062704,39.827943285008786,11.379412367145358
650658,2020-06-03,Martinsville city,Virginia,51690.0,38,1,690,Virginia,Martinsville city,12554,302.69236896606657,262.86442568105787,7.965588657001717,10.241471130430822
650659,2020-06-04,Martinsville city,Virginia,51690.0,39,1,690,Virginia,Martinsville city,12554,310.65795762306834,271.9679555747741,7.965588657001774,9.103529893716287
650660,2020-06-05,Martinsville city,Virginia,51690.0,41,1,690,Virginia,Martinsville city,12554,326.58913493707183,283.3473679419195,15.931177314003492,11.379412367145358
