,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,cases_per_100k,deaths_per_100k,death_rate,new_cases,new_cases_per_100k,new_deaths,new_cases_per_100k_ra,new_deaths_ra,active_cases,infected_to_one
190598,2020-03-18,Richmond city,Virginia,51760.0,4,0.0,760,Virginia,Richmond city,230436,1.7358398861289035,0.0,0.0,,,,,,,
190599,2020-03-19,Richmond city,Virginia,51760.0,4,0.0,760,Virginia,Richmond city,230436,1.7358398861289035,0.0,0.0,0.0,0.0,0.0,,,,
190600,2020-03-20,Richmond city,Virginia,51760.0,5,0.0,760,Virginia,Richmond city,230436,2.1697998576611295,0.0,0.0,1.0,0.433959971532226,0.0,,,,
190601,2020-03-21,Richmond city,Virginia,51760.0,6,0.0,760,Virginia,Richmond city,230436,2.603759829193355,0.0,0.0,1.0,0.43395997153222554,0.0,,,,
190602,2020-03-22,Richmond city,Virginia,51760.0,6,0.0,760,Virginia,Richmond city,230436,2.603759829193355,0.0,0.0,0.0,0.0,0.0,,,,
190603,2020-03-23,Richmond city,Virginia,51760.0,8,0.0,760,Virginia,Richmond city,230436,3.471679772257807,0.0,0.0,2.0,0.867919943064452,0.0,,,,
190604,2020-03-24,Richmond city,Virginia,51760.0,11,0.0,760,Virginia,Richmond city,230436,4.773559686854485,0.0,0.0,3.0,1.301879914596678,0.0,,,,
190605,2020-03-25,Richmond city,Virginia,51760.0,13,0.0,760,Virginia,Richmond city,230436,5.641479629918936,0.0,0.0,2.0,0.8679199430644511,0.0,0.5579485348271475,0.0,,
190606,2020-03-26,Richmond city,Virginia,51760.0,14,0.0,760,Virginia,Richmond city,230436,6.075439601451162,0.0,0.0,1.0,0.433959971532226,0.0,0.6199428164746082,0.0,10.0,5760.9
190607,2020-03-27,Richmond city,Virginia,51760.0,17,0.0,760,Virginia,Richmond city,230436,7.377319516047839,0.0,0.0,3.0,1.301879914596677,0.0,0.7439313797695298,0.0,13.0,4431.461538461539
190608,2020-03-28,Richmond city,Virginia,51760.0,20,0.0,760,Virginia,Richmond city,230436,8.679199430644518,0.0,0.0,3.0,1.3018799145966788,0.0,0.8679199430644517,0.0,15.0,3840.6
190609,2020-03-29,Richmond city,Virginia,51760.0,25,0.0,760,Virginia,Richmond city,230436,10.848999288305647,0.0,0.0,5.0,2.169799857661129,0.0,1.177891351301756,0.0,19.0,3032.0526315789475
190610,2020-03-30,Richmond city,Virginia,51760.0,25,0.0,760,Virginia,Richmond city,230436,10.848999288305647,0.0,0.0,0.0,0.0,0.0,1.0539027880068341,0.0,19.0,3032.0526315789475
190611,2020-03-31,Richmond city,Virginia,51760.0,26,0.0,760,Virginia,Richmond city,230436,11.282959259837872,0.0,0.0,1.0,0.4339599715322251,0.0,0.9299142247119123,0.0,18.0,3200.5
190612,2020-04-01,Richmond city,Virginia,51760.0,33,2.0,760,Virginia,Richmond city,230436,14.320679060563453,0.8679199430644517,0.06060606060606061,7.0,3.037719800725581,0.8679199430644517,1.2398856329492165,0.12398856329492168,22.0,2618.590909090909
190613,2020-04-02,Richmond city,Virginia,51760.0,52,2.0,760,Virginia,Richmond city,230436,22.565918519675744,0.8679199430644517,0.038461538461538464,19.0,8.245239459112291,0.0,2.355782702603512,0.12398856329492168,39.0,1477.153846153846
190614,2020-04-03,Richmond city,Virginia,51760.0,76,2.0,760,Virginia,Richmond city,230436,32.980957836449164,0.8679199430644517,0.02631578947368421,24.0,10.41503931677342,0.0,3.657662617200189,0.12398856329492168,62.0,929.1774193548387
