,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,per_100k,new_cases,new_cases_ra
358279,2020-03-25,Roanoke,Virginia,51161.0,1,0,161,Virginia,Roanoke,94186,1.0617289193723058,,
358280,2020-03-26,Roanoke,Virginia,51161.0,1,0,161,Virginia,Roanoke,94186,1.0617289193723058,0.0,
358281,2020-03-27,Roanoke,Virginia,51161.0,1,0,161,Virginia,Roanoke,94186,1.0617289193723058,0.0,
358282,2020-03-28,Roanoke,Virginia,51161.0,1,0,161,Virginia,Roanoke,94186,1.0617289193723058,0.0,
358283,2020-03-29,Roanoke,Virginia,51161.0,2,0,161,Virginia,Roanoke,94186,2.1234578387446117,1.0617289193723058,
358284,2020-03-30,Roanoke,Virginia,51161.0,2,0,161,Virginia,Roanoke,94186,2.1234578387446117,0.0,
358285,2020-03-31,Roanoke,Virginia,51161.0,3,0,161,Virginia,Roanoke,94186,3.1851867581169175,1.0617289193723058,
358286,2020-04-01,Roanoke,Virginia,51161.0,4,0,161,Virginia,Roanoke,94186,4.246915677489223,1.0617289193723058,
358287,2020-04-02,Roanoke,Virginia,51161.0,4,0,161,Virginia,Roanoke,94186,4.246915677489223,0.0,
358288,2020-04-03,Roanoke,Virginia,51161.0,4,0,161,Virginia,Roanoke,94186,4.246915677489223,0.0,
358289,2020-04-04,Roanoke,Virginia,51161.0,5,0,161,Virginia,Roanoke,94186,5.308644596861529,1.0617289193723058,
358290,2020-04-05,Roanoke,Virginia,51161.0,5,0,161,Virginia,Roanoke,94186,5.308644596861529,0.0,
358291,2020-04-06,Roanoke,Virginia,51161.0,5,0,161,Virginia,Roanoke,94186,5.308644596861529,0.0,
358292,2020-04-07,Roanoke,Virginia,51161.0,8,0,161,Virginia,Roanoke,94186,8.493831354978447,3.1851867581169175,
358293,2020-04-08,Roanoke,Virginia,51161.0,9,0,161,Virginia,Roanoke,94186,9.555560274350754,1.0617289193723067,0.6067022396413176
358294,2020-04-09,Roanoke,Virginia,51161.0,9,0,161,Virginia,Roanoke,94186,9.555560274350754,0.0,0.6067022396413176
358295,2020-04-10,Roanoke,Virginia,51161.0,13,0,161,Virginia,Roanoke,94186,13.802475951839977,4.246915677489223,0.9100533594619764
358296,2020-04-11,Roanoke,Virginia,51161.0,13,0,161,Virginia,Roanoke,94186,13.802475951839977,0.0,0.9100533594619764
358297,2020-04-12,Roanoke,Virginia,51161.0,14,0,161,Virginia,Roanoke,94186,14.864204871212282,1.061728919372305,0.9100533594619764
358298,2020-04-13,Roanoke,Virginia,51161.0,18,0,161,Virginia,Roanoke,94186,19.111120548701507,4.246915677489225,1.2134044792826353
358299,2020-04-14,Roanoke,Virginia,51161.0,16,0,161,Virginia,Roanoke,94186,16.987662709956894,-2.1234578387446135,0.9858911394171409
358300,2020-04-15,Roanoke,Virginia,51161.0,17,0,161,Virginia,Roanoke,94186,18.0493916293292,1.0617289193723067,0.9858911394171409
358301,2020-04-16,Roanoke,Virginia,51161.0,19,0,161,Virginia,Roanoke,94186,20.17284946807381,2.12345783874461,1.1375666993274702
358302,2020-04-17,Roanoke,Virginia,51161.0,20,0,161,Virginia,Roanoke,94186,21.234578387446117,1.0617289193723067,1.213404479282635
358303,2020-04-18,Roanoke,Virginia,51161.0,20,0,161,Virginia,Roanoke,94186,21.234578387446117,0.0,1.1375666993274702
358304,2020-04-19,Roanoke,Virginia,51161.0,22,0,161,Virginia,Roanoke,94186,23.35803622619073,2.1234578387446135,1.2892422592377997
358305,2020-04-20,Roanoke,Virginia,51161.0,24,0,161,Virginia,Roanoke,94186,25.48149406493534,2.12345783874461,1.440917819148129
358306,2020-04-21,Roanoke,Virginia,51161.0,25,0,161,Virginia,Roanoke,94186,26.543222984307643,1.0617289193723032,1.2892422592377994
358307,2020-04-22,Roanoke,Virginia,51161.0,31,0,161,Virginia,Roanoke,94186,32.91359650054148,6.370373516233837,1.6684311590136232
358308,2020-04-23,Roanoke,Virginia,51161.0,34,0,161,Virginia,Roanoke,94186,36.0987832586584,3.18518675811692,1.8959444988791174
358309,2020-04-24,Roanoke,Virginia,51161.0,39,0,161,Virginia,Roanoke,94186,41.407427855519934,5.308644596861534,1.9717822788342825
358310,2020-04-25,Roanoke,Virginia,51161.0,39,0,161,Virginia,Roanoke,94186,41.407427855519934,0.0,1.9717822788342825
358311,2020-04-26,Roanoke,Virginia,51161.0,39,0,161,Virginia,Roanoke,94186,41.407427855519934,0.0,1.8959444988791176
358312,2020-04-27,Roanoke,Virginia,51161.0,41,0,161,Virginia,Roanoke,94186,43.53088569426454,2.1234578387446064,1.7442689389687875
358313,2020-04-28,Roanoke,Virginia,51161.0,41,0,161,Virginia,Roanoke,94186,43.53088569426454,0.0,1.8959444988791172
358314,2020-04-29,Roanoke,Virginia,51161.0,47,0,161,Virginia,Roanoke,94186,49.901259210498374,6.370373516233833,2.2751333986549405
358315,2020-04-30,Roanoke,Virginia,51161.0,51,0,161,Virginia,Roanoke,94186,54.1481748879876,4.246915677489227,2.4268089585652706
358316,2020-05-01,Roanoke,Virginia,51161.0,53,0,161,Virginia,Roanoke,94186,56.27163272673221,2.1234578387446064,2.502646738520435
358317,2020-05-02,Roanoke,Virginia,51161.0,54,0,161,Virginia,Roanoke,94186,57.333361646104514,1.0617289193723067,2.5784845184755993
358318,2020-05-03,Roanoke,Virginia,51161.0,57,0,161,Virginia,Roanoke,94186,60.518548404221434,3.18518675811692,2.654322298430764
358319,2020-05-04,Roanoke,Virginia,51161.0,57,0,161,Virginia,Roanoke,94186,60.518548404221434,0.0,2.502646738520435
358320,2020-05-05,Roanoke,Virginia,51161.0,57,0,161,Virginia,Roanoke,94186,60.518548404221434,0.0,2.4268089585652706
358321,2020-05-06,Roanoke,Virginia,51161.0,57,0,161,Virginia,Roanoke,94186,60.518548404221434,0.0,1.9717822788342823
358322,2020-05-07,Roanoke,Virginia,51161.0,60,0,161,Virginia,Roanoke,94186,63.703735162338354,3.18518675811692,1.9717822788342823
358323,2020-05-08,Roanoke,Virginia,51161.0,62,0,161,Virginia,Roanoke,94186,65.82719300108296,2.1234578387446064,1.7442689389687873
358324,2020-05-09,Roanoke,Virginia,51161.0,62,0,161,Virginia,Roanoke,94186,65.82719300108296,0.0,1.7442689389687873
358325,2020-05-10,Roanoke,Virginia,51161.0,62,0,161,Virginia,Roanoke,94186,65.82719300108296,0.0,1.7442689389687873
358326,2020-05-11,Roanoke,Virginia,51161.0,79,0,161,Virginia,Roanoke,94186,83.87658463041217,18.049391629329207,2.8818356382962587
358327,2020-05-12,Roanoke,Virginia,51161.0,79,0,161,Virginia,Roanoke,94186,83.87658463041217,0.0,2.8818356382962587
358328,2020-05-13,Roanoke,Virginia,51161.0,80,0,161,Virginia,Roanoke,94186,84.93831354978447,1.0617289193722996,2.502646738520435
358329,2020-05-14,Roanoke,Virginia,51161.0,83,1,161,Virginia,Roanoke,94186,88.1235003079014,3.1851867581169273,2.4268089585652706
358330,2020-05-15,Roanoke,Virginia,51161.0,83,1,161,Virginia,Roanoke,94186,88.1235003079014,0.0,2.2751333986549414
358331,2020-05-16,Roanoke,Virginia,51161.0,84,3,161,Virginia,Roanoke,94186,89.1852292272737,1.0617289193722996,2.275133398654941
358332,2020-05-17,Roanoke,Virginia,51161.0,85,3,161,Virginia,Roanoke,94186,90.246958146646,1.0617289193722996,2.123457838744611
358333,2020-05-18,Roanoke,Virginia,51161.0,86,3,161,Virginia,Roanoke,94186,91.30868706601831,1.0617289193723138,2.199295618699776
358334,2020-05-19,Roanoke,Virginia,51161.0,88,3,161,Virginia,Roanoke,94186,93.43214490476292,2.1234578387446135,2.3509711786101057
358335,2020-05-20,Roanoke,Virginia,51161.0,88,3,161,Virginia,Roanoke,94186,93.43214490476292,0.0,2.3509711786101057
358336,2020-05-21,Roanoke,Virginia,51161.0,89,3,161,Virginia,Roanoke,94186,94.49387382413522,1.0617289193722996,2.1992956186997756
