,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,cases_per_100k,deaths_per_100k,death_rate,new_cases,new_cases_per_100k,new_deaths,new_cases_per_100k_ra,new_deaths_ra,active_cases,infected_to_one
477662,2020-03-26,Southampton,Virginia,51175.0,1,0.0,175,Virginia,Southampton,17631,5.671828030174125,0.0,0.0,,,,,,,
477663,2020-03-27,Southampton,Virginia,51175.0,1,0.0,175,Virginia,Southampton,17631,5.671828030174125,0.0,0.0,0.0,0.0,0.0,,,,
477664,2020-03-28,Southampton,Virginia,51175.0,1,0.0,175,Virginia,Southampton,17631,5.671828030174125,0.0,0.0,0.0,0.0,0.0,,,,
477665,2020-03-29,Southampton,Virginia,51175.0,1,0.0,175,Virginia,Southampton,17631,5.671828030174125,0.0,0.0,0.0,0.0,0.0,,,,
477666,2020-03-30,Southampton,Virginia,51175.0,1,0.0,175,Virginia,Southampton,17631,5.671828030174125,0.0,0.0,0.0,0.0,0.0,,,,
477667,2020-03-31,Southampton,Virginia,51175.0,1,0.0,175,Virginia,Southampton,17631,5.671828030174125,0.0,0.0,0.0,0.0,0.0,,,,
477668,2020-04-01,Southampton,Virginia,51175.0,1,0.0,175,Virginia,Southampton,17631,5.671828030174125,0.0,0.0,0.0,0.0,0.0,,,,
477669,2020-04-02,Southampton,Virginia,51175.0,2,0.0,175,Virginia,Southampton,17631,11.34365606034825,0.0,0.0,1.0,5.671828030174125,0.0,0.8102611471677321,0.0,,
477670,2020-04-03,Southampton,Virginia,51175.0,4,0.0,175,Virginia,Southampton,17631,22.6873121206965,0.0,0.0,2.0,11.34365606034825,0.0,2.430783441503196,0.0,3.0,1469.25
477671,2020-04-04,Southampton,Virginia,51175.0,5,0.0,175,Virginia,Southampton,17631,28.359140150870626,0.0,0.0,1.0,5.671828030174126,0.0,3.2410445886709285,0.0,4.0,1101.9375
477672,2020-04-05,Southampton,Virginia,51175.0,5,0.0,175,Virginia,Southampton,17631,28.359140150870626,0.0,0.0,0.0,0.0,0.0,3.2410445886709285,0.0,4.0,1101.9375
477673,2020-04-06,Southampton,Virginia,51175.0,5,0.0,175,Virginia,Southampton,17631,28.359140150870626,0.0,0.0,0.0,0.0,0.0,3.2410445886709285,0.0,4.0,1101.9375
477674,2020-04-07,Southampton,Virginia,51175.0,5,0.0,175,Virginia,Southampton,17631,28.359140150870626,0.0,0.0,0.0,0.0,0.0,3.2410445886709285,0.0,4.0,1101.9375
477675,2020-04-08,Southampton,Virginia,51175.0,5,0.0,175,Virginia,Southampton,17631,28.359140150870626,0.0,0.0,0.0,0.0,0.0,3.2410445886709285,0.0,4.0,1101.9375
477676,2020-04-09,Southampton,Virginia,51175.0,5,0.0,175,Virginia,Southampton,17631,28.359140150870626,0.0,0.0,0.0,0.0,0.0,2.430783441503196,0.0,4.0,1101.9375
477677,2020-04-10,Southampton,Virginia,51175.0,5,0.0,175,Virginia,Southampton,17631,28.359140150870626,0.0,0.0,0.0,0.0,0.0,0.810261147167732,0.0,3.0,1469.25
477678,2020-04-11,Southampton,Virginia,51175.0,5,0.0,175,Virginia,Southampton,17631,28.359140150870626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4407.75
477679,2020-04-12,Southampton,Virginia,51175.0,5,0.0,175,Virginia,Southampton,17631,28.359140150870626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
477680,2020-04-13,Southampton,Virginia,51175.0,5,0.0,175,Virginia,Southampton,17631,28.359140150870626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
477681,2020-04-14,Southampton,Virginia,51175.0,6,0.0,175,Virginia,Southampton,17631,34.03096818104475,0.0,0.0,1.0,5.671828030174122,0.0,0.8102611471677316,0.0,1.0,4407.75
477682,2020-04-15,Southampton,Virginia,51175.0,6,0.0,175,Virginia,Southampton,17631,34.03096818104475,0.0,0.0,0.0,0.0,0.0,0.8102611471677316,0.0,1.0,4407.75
477683,2020-04-16,Southampton,Virginia,51175.0,6,0.0,175,Virginia,Southampton,17631,34.03096818104475,0.0,0.0,0.0,0.0,0.0,0.8102611471677316,0.0,1.0,4407.75
477684,2020-04-17,Southampton,Virginia,51175.0,7,0.0,175,Virginia,Southampton,17631,39.702796211218875,0.0,0.0,1.0,5.671828030174126,0.0,1.6205222943354638,0.0,2.0,2203.875
477685,2020-04-18,Southampton,Virginia,51175.0,9,0.0,175,Virginia,Southampton,17631,51.04645227156713,0.0,0.0,2.0,11.343656060348252,0.0,3.241044588670928,0.0,4.0,1101.9375
477686,2020-04-19,Southampton,Virginia,51175.0,16,0.0,175,Virginia,Southampton,17631,90.749248482786,0.0,0.0,7.0,39.702796211218875,0.0,8.912872618845054,0.0,11.0,400.7045454545455
477687,2020-04-20,Southampton,Virginia,51175.0,17,0.0,175,Virginia,Southampton,17631,96.42107651296013,0.0,0.0,1.0,5.671828030174126,0.0,9.723133766012785,0.0,12.0,367.3125
477688,2020-04-21,Southampton,Virginia,51175.0,18,1.0,175,Virginia,Southampton,17631,102.09290454313425,5.671828030174125,0.05555555555555555,1.0,5.671828030174126,5.671828030174125,9.723133766012785,0.8102611471677321,13.0,339.0576923076923
477689,2020-04-22,Southampton,Virginia,51175.0,19,1.0,175,Virginia,Southampton,17631,107.76473257330836,5.671828030174125,0.05263157894736842,1.0,5.671828030174112,0.0,10.533394913180516,0.8102611471677321,13.0,339.0576923076923
477690,2020-04-23,Southampton,Virginia,51175.0,71,1.0,175,Virginia,Southampton,17631,402.6997901423629,5.671828030174125,0.014084507042253521,52.0,294.9350575690545,0.0,52.666974565902585,0.8102611471677321,65.0,67.81153846153846
477691,2020-04-24,Southampton,Virginia,51175.0,75,1.0,175,Virginia,Southampton,17631,425.3871022630594,5.671828030174125,0.013333333333333334,4.0,22.687312120696504,0.0,55.09775800740578,0.8102611471677321,69.0,63.88043478260869
477692,2020-04-25,Southampton,Virginia,51175.0,75,1.0,175,Virginia,Southampton,17631,425.3871022630594,5.671828030174125,0.013333333333333334,0.0,0.0,0.0,53.47723571307032,0.8102611471677321,68.0,64.81985294117648
477693,2020-04-26,Southampton,Virginia,51175.0,115,1.0,175,Virginia,Southampton,17631,652.2602234700245,5.671828030174125,0.008695652173913044,40.0,226.8731212069651,0.0,80.2158535696055,0.8102611471677321,106.0,41.58254716981132
477694,2020-04-27,Southampton,Virginia,51175.0,115,1.0,175,Virginia,Southampton,17631,652.2602234700245,5.671828030174125,0.008695652173913044,0.0,0.0,0.0,79.40559242243776,0.8102611471677321,99.0,44.52272727272727
477695,2020-04-28,Southampton,Virginia,51175.0,115,1.0,175,Virginia,Southampton,17631,652.2602234700245,5.671828030174125,0.008695652173913044,0.0,0.0,0.0,78.59533127527004,0.0,98.0,44.97704081632653
477696,2020-04-29,Southampton,Virginia,51175.0,115,1.0,175,Virginia,Southampton,17631,652.2602234700245,5.671828030174125,0.008695652173913044,0.0,0.0,0.0,77.78507012810232,0.0,97.0,45.44072164948454
477697,2020-04-30,Southampton,Virginia,51175.0,125,1.0,175,Virginia,Southampton,17631,708.9785037717656,5.671828030174125,0.008,10.0,56.718280301741174,0.0,43.754101947057556,0.0,106.0,41.58254716981132
477698,2020-05-01,Southampton,Virginia,51175.0,125,1.0,175,Virginia,Southampton,17631,708.9785037717656,5.671828030174125,0.008,0.0,0.0,0.0,40.513057358386625,0.0,54.0,81.625
477699,2020-05-02,Southampton,Virginia,51175.0,125,1.0,175,Virginia,Southampton,17631,708.9785037717656,5.671828030174125,0.008,0.0,0.0,0.0,40.513057358386625,0.0,50.0,88.155
477700,2020-05-03,Southampton,Virginia,51175.0,127,1.0,175,Virginia,Southampton,17631,720.3221598321139,5.671828030174125,0.007874015748031496,2.0,11.34365606034828,0.0,9.723133766012795,0.0,52.0,84.76442307692308
477701,2020-05-04,Southampton,Virginia,51175.0,127,1.0,175,Virginia,Southampton,17631,720.3221598321139,5.671828030174125,0.007874015748031496,0.0,0.0,0.0,9.723133766012795,0.0,12.0,367.3125
477702,2020-05-05,Southampton,Virginia,51175.0,128,1.0,175,Virginia,Southampton,17631,725.993987862288,5.671828030174125,0.0078125,1.0,5.671828030174083,0.0,10.533394913180521,0.0,13.0,339.0576923076923
477703,2020-05-06,Southampton,Virginia,51175.0,128,1.0,175,Virginia,Southampton,17631,725.993987862288,5.671828030174125,0.0078125,0.0,0.0,0.0,10.533394913180521,0.0,13.0,339.0576923076923
477704,2020-05-07,Southampton,Virginia,51175.0,128,1.0,175,Virginia,Southampton,17631,725.993987862288,5.671828030174125,0.0078125,0.0,0.0,0.0,2.4307834415032112,0.0,13.0,339.0576923076923
477705,2020-05-08,Southampton,Virginia,51175.0,129,1.0,175,Virginia,Southampton,17631,731.6658158924621,5.671828030174125,0.007751937984496124,1.0,5.671828030174083,0.0,3.2410445886709374,0.0,4.0,1101.9375
477706,2020-05-09,Southampton,Virginia,51175.0,131,1.0,175,Virginia,Southampton,17631,743.0094719528104,5.671828030174125,0.007633587786259542,2.0,11.34365606034828,0.0,4.861566883006406,0.0,6.0,734.625
477707,2020-05-10,Southampton,Virginia,51175.0,131,1.0,175,Virginia,Southampton,17631,743.0094719528104,5.671828030174125,0.007633587786259542,0.0,0.0,0.0,3.2410445886709374,0.0,6.0,734.625
477708,2020-05-11,Southampton,Virginia,51175.0,131,1.0,175,Virginia,Southampton,17631,743.0094719528104,5.671828030174125,0.007633587786259542,0.0,0.0,0.0,3.2410445886709374,0.0,4.0,1101.9375
477709,2020-05-12,Southampton,Virginia,51175.0,131,1.0,175,Virginia,Southampton,17631,743.0094719528104,5.671828030174125,0.007633587786259542,0.0,0.0,0.0,2.4307834415032112,0.0,4.0,1101.9375
477710,2020-05-13,Southampton,Virginia,51175.0,132,2.0,175,Virginia,Southampton,17631,748.6812999829846,11.34365606034825,0.015151515151515152,1.0,5.671828030174197,5.671828030174125,3.2410445886709534,0.8102611471677321,4.0,1101.9375
477711,2020-05-14,Southampton,Virginia,51175.0,134,2.0,175,Virginia,Southampton,17631,760.0249560433327,11.34365606034825,0.014925373134328358,2.0,11.343656060348167,0.0,4.861566883006406,0.8102611471677321,6.0,734.625
477712,2020-05-15,Southampton,Virginia,51175.0,135,2.0,175,Virginia,Southampton,17631,765.6967840735069,11.34365606034825,0.014814814814814815,1.0,5.671828030174197,0.0,4.8615668830064225,0.8102611471677321,7.0,629.6785714285714
477713,2020-05-16,Southampton,Virginia,51175.0,135,2.0,175,Virginia,Southampton,17631,765.6967840735069,11.34365606034825,0.014814814814814815,0.0,0.0,0.0,3.2410445886709534,0.8102611471677321,6.0,734.625
