,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,per_100k,new_cases,new_cases_ra
116129,2020-03-16,Stafford,Virginia,51179.0,1,0,179,Virginia,Stafford,152882,0.6540992399366832,,
116130,2020-03-17,Stafford,Virginia,51179.0,1,0,179,Virginia,Stafford,152882,0.6540992399366832,0.0,
116131,2020-03-18,Stafford,Virginia,51179.0,2,0,179,Virginia,Stafford,152882,1.3081984798733663,0.6540992399366832,
116132,2020-03-19,Stafford,Virginia,51179.0,2,0,179,Virginia,Stafford,152882,1.3081984798733663,0.0,
116133,2020-03-20,Stafford,Virginia,51179.0,2,0,179,Virginia,Stafford,152882,1.3081984798733663,0.0,
116134,2020-03-21,Stafford,Virginia,51179.0,2,0,179,Virginia,Stafford,152882,1.3081984798733663,0.0,
116135,2020-03-22,Stafford,Virginia,51179.0,5,0,179,Virginia,Stafford,152882,3.270496199683416,1.9622977198100497,
116136,2020-03-23,Stafford,Virginia,51179.0,6,0,179,Virginia,Stafford,152882,3.9245954396200995,0.6540992399366834,
116137,2020-03-24,Stafford,Virginia,51179.0,6,0,179,Virginia,Stafford,152882,3.9245954396200995,0.0,
116138,2020-03-25,Stafford,Virginia,51179.0,6,0,179,Virginia,Stafford,152882,3.9245954396200995,0.0,
116139,2020-03-26,Stafford,Virginia,51179.0,11,0,179,Virginia,Stafford,152882,7.195091639303515,3.270496199683415,
116140,2020-03-27,Stafford,Virginia,51179.0,11,0,179,Virginia,Stafford,152882,7.195091639303515,0.0,
116141,2020-03-28,Stafford,Virginia,51179.0,11,0,179,Virginia,Stafford,152882,7.195091639303515,0.0,
116142,2020-03-29,Stafford,Virginia,51179.0,13,0,179,Virginia,Stafford,152882,8.503290119176881,1.3081984798733668,
116143,2020-03-30,Stafford,Virginia,51179.0,20,0,179,Virginia,Stafford,152882,13.081984798733664,4.578694679556783,0.8877061113426414
116144,2020-03-31,Stafford,Virginia,51179.0,24,0,179,Virginia,Stafford,152882,15.698381758480398,2.6163969597467336,1.074591608467408
116145,2020-04-01,Stafford,Virginia,51179.0,28,0,179,Virginia,Stafford,152882,18.314778718227128,2.61639695974673,1.214755731310983
116146,2020-04-02,Stafford,Virginia,51179.0,28,0,179,Virginia,Stafford,152882,18.314778718227128,0.0,1.214755731310983
116147,2020-04-03,Stafford,Virginia,51179.0,29,0,179,Virginia,Stafford,152882,18.968877958163812,0.6540992399366843,1.2614771055921745
116148,2020-04-04,Stafford,Virginia,51179.0,38,0,179,Virginia,Stafford,152882,24.85577111759396,5.886893159430148,1.6819694741228994
116149,2020-04-05,Stafford,Virginia,51179.0,41,0,179,Virginia,Stafford,152882,26.81806883740401,1.9622977198100493,1.6819694741228994
116150,2020-04-06,Stafford,Virginia,51179.0,43,0,179,Virginia,Stafford,152882,28.126267317277378,1.3081984798733686,1.728690848404091
116151,2020-04-07,Stafford,Virginia,51179.0,49,0,179,Virginia,Stafford,152882,32.05086275689747,3.924595439620095,2.009019094091241
116152,2020-04-08,Stafford,Virginia,51179.0,48,0,179,Virginia,Stafford,152882,31.396763516960796,-0.6540992399366772,1.9622977198100495
116153,2020-04-09,Stafford,Virginia,51179.0,54,0,179,Virginia,Stafford,152882,35.321358956580895,3.9245954396200986,2.0090190940912414
116154,2020-04-10,Stafford,Virginia,51179.0,60,0,179,Virginia,Stafford,152882,39.24595439620099,3.9245954396200986,2.289347339778391
116155,2020-04-11,Stafford,Virginia,51179.0,67,0,179,Virginia,Stafford,152882,43.824649075757776,4.578694679556783,2.6163969597467327
116156,2020-04-12,Stafford,Virginia,51179.0,72,1,179,Virginia,Stafford,152882,47.09514527544119,3.2704961996834143,2.756561082590307
116157,2020-04-13,Stafford,Virginia,51179.0,87,1,179,Virginia,Stafford,152882,56.90663387449144,9.81148859905025,3.130332076839841
116158,2020-04-14,Stafford,Virginia,51179.0,95,1,179,Virginia,Stafford,152882,62.1394277939849,5.23279391949346,3.3172175739646073
116159,2020-04-15,Stafford,Virginia,51179.0,108,1,179,Virginia,Stafford,152882,70.64271791316179,8.503290119176889,3.7377099424953326
116160,2020-04-16,Stafford,Virginia,51179.0,120,1,179,Virginia,Stafford,152882,78.49190879240199,7.849190879240197,4.298366433869632
116161,2020-04-17,Stafford,Virginia,51179.0,128,1,179,Virginia,Stafford,152882,83.72470271189545,5.23279391949346,4.625416053837974
116162,2020-04-18,Stafford,Virginia,51179.0,143,1,179,Virginia,Stafford,152882,93.5361913109457,9.81148859905025,4.905744299525124
116163,2020-04-19,Stafford,Virginia,51179.0,152,1,179,Virginia,Stafford,152882,99.42308447037584,5.886893159430144,5.186072545212274
116164,2020-04-20,Stafford,Virginia,51179.0,161,1,179,Virginia,Stafford,152882,105.309977629806,5.886893159430159,5.513122165180616
116165,2020-04-21,Stafford,Virginia,51179.0,164,2,179,Virginia,Stafford,152882,107.27227534961604,1.9622977198100386,5.37295804233704
116166,2020-04-22,Stafford,Virginia,51179.0,170,2,179,Virginia,Stafford,152882,111.19687078923613,3.9245954396200915,5.7000076623053815
116167,2020-04-23,Stafford,Virginia,51179.0,180,2,179,Virginia,Stafford,152882,117.73786318860299,6.540992399366857,5.886893159430151
116168,2020-04-24,Stafford,Virginia,51179.0,193,2,179,Virginia,Stafford,152882,126.24115330777987,8.503290119176881,6.213942779398492
116169,2020-04-25,Stafford,Virginia,51179.0,198,2,179,Virginia,Stafford,152882,129.5116495074633,3.2704961996834214,6.120500030836108
116170,2020-04-26,Stafford,Virginia,51179.0,213,2,179,Virginia,Stafford,152882,139.3231381065135,9.811488599050222,6.587713773648024
116171,2020-04-27,Stafford,Virginia,51179.0,218,2,179,Virginia,Stafford,152882,142.59363430619692,3.270496199683407,6.120500030836106
116172,2020-04-28,Stafford,Virginia,51179.0,221,2,179,Virginia,Stafford,152882,144.55593202600699,1.962297719810067,5.88689315943015
116173,2020-04-29,Stafford,Virginia,51179.0,225,2,179,Virginia,Stafford,152882,147.17232898575372,2.616396959746737,5.466400790899423
116174,2020-04-30,Stafford,Virginia,51179.0,240,2,179,Virginia,Stafford,152882,156.98381758480397,9.81148859905025,5.606564913742999
116175,2020-05-01,Stafford,Virginia,51179.0,251,2,179,Virginia,Stafford,152882,164.17890922410749,7.195091639303513,5.746729036586574
116176,2020-05-02,Stafford,Virginia,51179.0,262,2,179,Virginia,Stafford,152882,171.374000863411,7.195091639303513,5.5598435394618075
116177,2020-05-03,Stafford,Virginia,51179.0,271,2,179,Virginia,Stafford,152882,177.26089402284114,5.886893159430144,5.5598435394618075
116178,2020-05-04,Stafford,Virginia,51179.0,288,2,179,Virginia,Stafford,152882,188.38058110176476,11.119687078923619,5.93361453371134
116179,2020-05-05,Stafford,Virginia,51179.0,308,2,179,Virginia,Stafford,152882,201.46256590049842,13.081984798733657,6.727877896491599
116180,2020-05-06,Stafford,Virginia,51179.0,308,2,179,Virginia,Stafford,152882,201.46256590049842,0.0,6.447549650804449
116181,2020-05-07,Stafford,Virginia,51179.0,334,2,179,Virginia,Stafford,152882,218.46914613885218,17.006580238353763,7.195091639303514
116182,2020-05-08,Stafford,Virginia,51179.0,344,2,179,Virginia,Stafford,152882,225.01013853821902,6.540992399366843,7.05492751645994
116183,2020-05-09,Stafford,Virginia,51179.0,354,2,179,Virginia,Stafford,152882,231.55113093758584,6.540992399366814,7.288534387865896
116184,2020-05-10,Stafford,Virginia,51179.0,374,2,179,Virginia,Stafford,152882,244.63311573631952,13.081984798733686,7.522141259271858
116185,2020-05-11,Stafford,Virginia,51179.0,384,2,179,Virginia,Stafford,152882,251.17410813568637,6.540992399366843,7.7557481306778175
116186,2020-05-12,Stafford,Virginia,51179.0,396,4,179,Virginia,Stafford,152882,259.0232990149266,7.849190879240211,8.176240499208543
116187,2020-05-13,Stafford,Virginia,51179.0,413,4,179,Virginia,Stafford,152882,270.14298609385014,11.119687078923562,8.78361836486403
116188,2020-05-14,Stafford,Virginia,51179.0,426,4,179,Virginia,Stafford,152882,278.646276213027,8.503290119176881,8.690175616301646
116189,2020-05-15,Stafford,Virginia,51179.0,442,4,179,Virginia,Stafford,152882,289.11186405201397,10.465587838986949,8.923782487707607
116190,2020-05-16,Stafford,Virginia,51179.0,458,4,179,Virginia,Stafford,152882,299.5774518910009,10.465587838986949,9.157389359113566
116191,2020-05-17,Stafford,Virginia,51179.0,467,4,179,Virginia,Stafford,152882,305.46434505043106,5.886893159430144,9.157389359113566
116192,2020-05-18,Stafford,Virginia,51179.0,484,4,179,Virginia,Stafford,152882,316.5840321293546,11.119687078923562,9.157389359113562
116193,2020-05-19,Stafford,Virginia,51179.0,501,4,179,Virginia,Stafford,152882,327.7037192082783,11.119687078923675,9.017225236269992
116194,2020-05-20,Stafford,Virginia,51179.0,514,4,179,Virginia,Stafford,152882,336.2070093274552,8.503290119176881,9.624603101925484
116195,2020-05-21,Stafford,Virginia,51179.0,540,4,179,Virginia,Stafford,152882,353.21358956580895,17.006580238353763,9.624603101925484
116196,2020-05-22,Stafford,Virginia,51179.0,552,4,179,Virginia,Stafford,152882,361.06278044504916,7.849190879240211,9.718045850487867
116197,2020-05-23,Stafford,Virginia,51179.0,569,4,179,Virginia,Stafford,152882,372.1824675239727,11.119687078923562,10.045095470456205
116198,2020-05-24,Stafford,Virginia,51179.0,581,4,179,Virginia,Stafford,152882,380.03165840321293,7.849190879240211,9.671324476206673
116199,2020-05-25,Stafford,Virginia,51179.0,599,4,179,Virginia,Stafford,152882,391.8054447220733,11.773786318860346,10.045095470456207
116200,2020-05-26,Stafford,Virginia,51179.0,642,4,179,Virginia,Stafford,152882,419.9317120393506,28.126267317277325,11.493458073173144
116201,2020-05-27,Stafford,Virginia,51179.0,657,4,179,Virginia,Stafford,152882,429.7432006384008,9.811488599050222,11.400015324610763
116202,2020-05-28,Stafford,Virginia,51179.0,672,4,179,Virginia,Stafford,152882,439.5546892374511,9.811488599050278,11.493458073173148
116203,2020-05-29,Stafford,Virginia,51179.0,681,4,179,Virginia,Stafford,152882,445.44158239688124,5.886893159430144,11.166408453204806
116204,2020-05-30,Stafford,Virginia,51179.0,702,4,179,Virginia,Stafford,152882,459.17766643555166,13.736084038670413,11.400015324610766
116205,2020-05-31,Stafford,Virginia,51179.0,713,4,179,Virginia,Stafford,152882,466.37275807485514,7.1950916393034845,11.493458073173148
116206,2020-06-01,Stafford,Virginia,51179.0,722,5,179,Virginia,Stafford,152882,472.2596512342853,5.886893159430144,11.119687078923619
116207,2020-06-02,Stafford,Virginia,51179.0,733,5,179,Virginia,Stafford,152882,479.45474287358877,7.1950916393034845,10.839358833236462
116208,2020-06-03,Stafford,Virginia,51179.0,738,5,179,Virginia,Stafford,152882,482.7252390732722,3.270496199683407,10.465587838986929
116209,2020-06-04,Stafford,Virginia,51179.0,742,5,179,Virginia,Stafford,152882,485.341636033019,2.616396959746794,9.437717604800715
116210,2020-06-05,Stafford,Virginia,51179.0,750,5,179,Virginia,Stafford,152882,490.57442995251233,5.232793919493361,9.250832107675942
116211,2020-06-06,Stafford,Virginia,51179.0,765,5,179,Virginia,Stafford,152882,500.38591855156267,9.811488599050335,9.157389359113568
116212,2020-06-07,Stafford,Virginia,51179.0,803,5,179,Virginia,Stafford,152882,525.2416896691566,24.855771117593918,10.372145090424548
116213,2020-06-08,Stafford,Virginia,51179.0,815,5,179,Virginia,Stafford,152882,533.0908805483969,7.849190879240268,10.091816844737398
116214,2020-06-09,Stafford,Virginia,51179.0,824,5,179,Virginia,Stafford,152882,538.9777737078269,5.8868931594300875,8.503290119176881
116215,2020-06-10,Stafford,Virginia,51179.0,831,5,179,Virginia,Stafford,152882,543.5564683873837,4.578694679556747,8.129519124927347
116216,2020-06-11,Stafford,Virginia,51179.0,841,5,179,Virginia,Stafford,152882,550.0974607867506,6.540992399366928,7.895912253521394
116217,2020-06-12,Stafford,Virginia,51179.0,862,5,179,Virginia,Stafford,152882,563.833544825421,13.736084038670356,8.456568744895694
116218,2020-06-13,Stafford,Virginia,51179.0,877,5,179,Virginia,Stafford,152882,573.6450334244712,9.811488599050222,8.176240499208538
116219,2020-06-14,Stafford,Virginia,51179.0,887,5,179,Virginia,Stafford,152882,580.186025823838,6.540992399366814,8.129519124927347
116220,2020-06-15,Stafford,Virginia,51179.0,893,5,179,Virginia,Stafford,152882,584.110621263458,3.9245954396200204,7.989355002083768
116221,2020-06-16,Stafford,Virginia,51179.0,900,5,179,Virginia,Stafford,152882,588.6893159430149,4.578694679556861,7.802469504959008
116222,2020-06-17,Stafford,Virginia,51179.0,906,5,179,Virginia,Stafford,152882,592.613911382635,3.924595439620134,7.849190879240203
116223,2020-06-18,Stafford,Virginia,51179.0,917,5,179,Virginia,Stafford,152882,599.8090030219385,7.195091639303428,8.176240499208534
116224,2020-06-19,Stafford,Virginia,51179.0,921,5,179,Virginia,Stafford,152882,602.4253999816852,2.616396959746794,7.989355002083779
116225,2020-06-20,Stafford,Virginia,51179.0,920,5,179,Virginia,Stafford,152882,601.7713007417485,-0.6540992399367269,7.241813013584704
116226,2020-06-21,Stafford,Virginia,51179.0,924,5,179,Virginia,Stafford,152882,604.3876977014952,2.6163969597466803,5.653286288024186
116227,2020-06-22,Stafford,Virginia,51179.0,930,5,179,Virginia,Stafford,152882,608.3122931411153,3.924595439620134,5.372958042337034
116228,2020-06-23,Stafford,Virginia,51179.0,936,5,179,Virginia,Stafford,152882,612.2368885807355,3.924595439620134,5.232793919493466
116229,2020-06-24,Stafford,Virginia,51179.0,949,5,179,Virginia,Stafford,152882,620.7401786999123,8.503290119176881,5.513122165180619
116230,2020-06-25,Stafford,Virginia,51179.0,954,5,179,Virginia,Stafford,152882,624.0106748995958,3.270496199683407,5.279515293774653
116231,2020-06-26,Stafford,Virginia,51179.0,965,5,179,Virginia,Stafford,152882,631.2057665388993,7.195091639303541,4.812301550962737
116232,2020-06-27,Stafford,Virginia,51179.0,974,5,179,Virginia,Stafford,152882,637.0926596983294,5.8868931594300875,4.531973305275585
116233,2020-06-28,Stafford,Virginia,51179.0,983,5,179,Virginia,Stafford,152882,642.9795528577596,5.886893159430201,4.485251930994399
116234,2020-06-29,Stafford,Virginia,51179.0,985,5,179,Virginia,Stafford,152882,644.2877513376329,1.3081984798733401,4.298366433869636
116235,2020-06-30,Stafford,Virginia,51179.0,988,5,179,Virginia,Stafford,152882,646.250049057443,1.962297719810067,4.111480936744864
116236,2020-07-01,Stafford,Virginia,51179.0,990,5,179,Virginia,Stafford,152882,647.5582475373163,1.3081984798733401,3.9245954396200937
116237,2020-07-02,Stafford,Virginia,51179.0,1000,5,179,Virginia,Stafford,152882,654.0992399366831,6.540992399366814,3.877874065338907
116238,2020-07-03,Stafford,Virginia,51179.0,998,5,179,Virginia,Stafford,152882,652.7910414568098,-1.3081984798733401,3.5975458196517542
116239,2020-07-04,Stafford,Virginia,51179.0,1008,5,179,Virginia,Stafford,152882,659.3320338561767,6.540992399366928,4.111480936744873
116240,2020-07-05,Stafford,Virginia,51179.0,1011,5,179,Virginia,Stafford,152882,661.2943315759868,1.962297719810067,4.064759562463686
116241,2020-07-06,Stafford,Virginia,51179.0,1012,5,179,Virginia,Stafford,152882,661.9484308159233,0.6540992399364995,3.8311526910577123
116242,2020-07-07,Stafford,Virginia,51179.0,1022,5,179,Virginia,Stafford,152882,668.4894232152902,6.540992399366928,4.018038188182483
116243,2020-07-08,Stafford,Virginia,51179.0,1029,5,179,Virginia,Stafford,152882,673.068117894847,4.578694679556747,3.737709942495331
116244,2020-07-09,Stafford,Virginia,51179.0,1038,6,179,Virginia,Stafford,152882,678.9550110542771,5.8868931594300875,3.9245954396200937
116245,2020-07-10,Stafford,Virginia,51179.0,1048,6,179,Virginia,Stafford,152882,685.496003453644,6.540992399366928,3.877874065338907
116246,2020-07-11,Stafford,Virginia,51179.0,1056,6,179,Virginia,Stafford,152882,690.7287973731375,5.232793919493474,3.8311526910577203
116247,2020-07-12,Stafford,Virginia,51179.0,1060,6,179,Virginia,Stafford,152882,693.3451943328841,2.6163969597466803,3.5975458196517542
116248,2020-07-13,Stafford,Virginia,51179.0,1065,6,179,Virginia,Stafford,152882,696.6156905325676,3.270496199683407,3.737709942495331
116249,2020-07-14,Stafford,Virginia,51179.0,1075,6,179,Virginia,Stafford,152882,703.1566829319345,6.540992399366928,4.064759562463678
116250,2020-07-15,Stafford,Virginia,51179.0,1085,6,179,Virginia,Stafford,152882,709.6976753313012,6.540992399366701,4.438530556713204
