,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,per_100k,per_100k_ra,new_cases,new_cases_ra
545080,2020-04-03,Mineral,West Virginia,54057.0,2,0,57,West Virginia,Mineral,26868,7.4437993151704624,,,
545081,2020-04-04,Mineral,West Virginia,54057.0,2,0,57,West Virginia,Mineral,26868,7.4437993151704624,,0.0,
545082,2020-04-05,Mineral,West Virginia,54057.0,2,0,57,West Virginia,Mineral,26868,7.4437993151704624,,0.0,
545083,2020-04-06,Mineral,West Virginia,54057.0,2,0,57,West Virginia,Mineral,26868,7.4437993151704624,,0.0,
545084,2020-04-07,Mineral,West Virginia,54057.0,3,0,57,West Virginia,Mineral,26868,11.165698972755694,,3.7218996575852312,
545085,2020-04-08,Mineral,West Virginia,54057.0,3,0,57,West Virginia,Mineral,26868,11.165698972755694,,0.0,
545086,2020-04-09,Mineral,West Virginia,54057.0,3,0,57,West Virginia,Mineral,26868,11.165698972755694,9.038899168421276,0.0,
545087,2020-04-10,Mineral,West Virginia,54057.0,3,0,57,West Virginia,Mineral,26868,11.165698972755694,9.570599119504879,0.0,0.5316999510836045
545088,2020-04-11,Mineral,West Virginia,54057.0,4,0,57,West Virginia,Mineral,26868,14.887598630340925,10.633999021672087,3.7218996575852312,1.063399902167209
545089,2020-04-12,Mineral,West Virginia,54057.0,4,0,57,West Virginia,Mineral,26868,14.887598630340925,11.697398923839296,0.0,1.063399902167209
545090,2020-04-13,Mineral,West Virginia,54057.0,5,0,57,West Virginia,Mineral,26868,18.609498287926158,13.292498777090108,3.721899657585233,1.5950998532508136
545091,2020-04-14,Mineral,West Virginia,54057.0,5,0,57,West Virginia,Mineral,26868,18.609498287926158,14.355898679257319,0.0,1.0633999021672091
545092,2020-04-15,Mineral,West Virginia,54057.0,6,0,57,West Virginia,Mineral,26868,22.331397945511387,15.950998532508132,3.7218996575852294,1.5950998532508134
545093,2020-04-16,Mineral,West Virginia,54057.0,7,0,57,West Virginia,Mineral,26868,26.053297603096624,18.07779833684255,3.7218996575852366,2.1267998043344187
545094,2020-04-17,Mineral,West Virginia,54057.0,8,0,57,West Virginia,Mineral,26868,29.77519726068185,20.736298092260572,3.721899657585226,2.6584997554180227
545095,2020-04-18,Mineral,West Virginia,54057.0,8,0,57,West Virginia,Mineral,26868,29.77519726068185,22.86309789659499,0.0,2.1267998043344183
545096,2020-04-19,Mineral,West Virginia,54057.0,8,0,57,West Virginia,Mineral,26868,29.77519726068185,24.989897700929408,0.0,2.1267998043344183
545097,2020-04-20,Mineral,West Virginia,54057.0,9,0,57,West Virginia,Mineral,26868,33.49709691826708,27.116697505263826,3.721899657585233,2.126799804334418
545098,2020-04-21,Mineral,West Virginia,54057.0,10,0,57,West Virginia,Mineral,26868,37.218996575852316,29.775197260681846,3.721899657585233,2.6584997554180227
545099,2020-04-22,Mineral,West Virginia,54057.0,10,0,57,West Virginia,Mineral,26868,37.218996575852316,31.901997065016268,0.0,2.1267998043344183
545100,2020-04-23,Mineral,West Virginia,54057.0,11,0,57,West Virginia,Mineral,26868,40.94089623343755,34.028796869350685,3.721899657585233,2.126799804334418
545101,2020-04-24,Mineral,West Virginia,54057.0,12,0,57,West Virginia,Mineral,26868,44.662795891022775,36.1555966736851,3.721899657585226,2.126799804334418
545102,2020-04-25,Mineral,West Virginia,54057.0,12,0,57,West Virginia,Mineral,26868,44.662795891022775,38.282396478019514,0.0,2.126799804334418
