,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,per_100k,new_cases,new_cases_ra
614486,2020-04-11,Monroe,West Virginia,54063.0,1,0,63,West Virginia,Monroe,13275,7.532956685499058,,
614487,2020-04-12,Monroe,West Virginia,54063.0,1,0,63,West Virginia,Monroe,13275,7.532956685499058,0.0,
614488,2020-04-13,Monroe,West Virginia,54063.0,1,0,63,West Virginia,Monroe,13275,7.532956685499058,0.0,
614489,2020-04-14,Monroe,West Virginia,54063.0,1,0,63,West Virginia,Monroe,13275,7.532956685499058,0.0,
614490,2020-04-15,Monroe,West Virginia,54063.0,1,0,63,West Virginia,Monroe,13275,7.532956685499058,0.0,
614491,2020-04-16,Monroe,West Virginia,54063.0,2,0,63,West Virginia,Monroe,13275,15.065913370998116,7.532956685499058,
614492,2020-04-17,Monroe,West Virginia,54063.0,2,0,63,West Virginia,Monroe,13275,15.065913370998116,0.0,
614493,2020-04-18,Monroe,West Virginia,54063.0,4,0,63,West Virginia,Monroe,13275,30.131826741996232,15.065913370998116,
614494,2020-04-19,Monroe,West Virginia,54063.0,5,0,63,West Virginia,Monroe,13275,37.664783427495294,7.532956685499062,
614495,2020-04-20,Monroe,West Virginia,54063.0,5,0,63,West Virginia,Monroe,13275,37.664783427495294,0.0,
614496,2020-04-21,Monroe,West Virginia,54063.0,5,0,63,West Virginia,Monroe,13275,37.664783427495294,0.0,
614497,2020-04-22,Monroe,West Virginia,54063.0,5,0,63,West Virginia,Monroe,13275,37.664783427495294,0.0,
614498,2020-04-23,Monroe,West Virginia,54063.0,5,0,63,West Virginia,Monroe,13275,37.664783427495294,0.0,
614499,2020-04-24,Monroe,West Virginia,54063.0,5,0,63,West Virginia,Monroe,13275,37.664783427495294,0.0,
614500,2020-04-25,Monroe,West Virginia,54063.0,5,0,63,West Virginia,Monroe,13275,37.664783427495294,0.0,2.152273338714017
614501,2020-04-26,Monroe,West Virginia,54063.0,5,0,63,West Virginia,Monroe,13275,37.664783427495294,0.0,2.152273338714017
614502,2020-04-27,Monroe,West Virginia,54063.0,5,0,63,West Virginia,Monroe,13275,37.664783427495294,0.0,2.152273338714017
614503,2020-04-28,Monroe,West Virginia,54063.0,5,0,63,West Virginia,Monroe,13275,37.664783427495294,0.0,2.152273338714017
614504,2020-04-29,Monroe,West Virginia,54063.0,5,0,63,West Virginia,Monroe,13275,37.664783427495294,0.0,2.152273338714017
