,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,cases_per_100k,deaths_per_100k,death_rate,new_cases,new_deaths,new_cases_ra,new_deaths_ra
253396,2020-03-21,Putnam,West Virginia,54079.0,1,0,79,West Virginia,Putnam,56450,1.7714791851195748,0.0,0.0,,,,
253397,2020-03-22,Putnam,West Virginia,54079.0,1,0,79,West Virginia,Putnam,56450,1.7714791851195748,0.0,0.0,0.0,0.0,,
253398,2020-03-23,Putnam,West Virginia,54079.0,1,0,79,West Virginia,Putnam,56450,1.7714791851195748,0.0,0.0,0.0,0.0,,
253399,2020-03-24,Putnam,West Virginia,54079.0,1,0,79,West Virginia,Putnam,56450,1.7714791851195748,0.0,0.0,0.0,0.0,,
253400,2020-03-25,Putnam,West Virginia,54079.0,2,0,79,West Virginia,Putnam,56450,3.5429583702391496,0.0,0.0,1.7714791851195748,0.0,,
253401,2020-03-26,Putnam,West Virginia,54079.0,2,0,79,West Virginia,Putnam,56450,3.5429583702391496,0.0,0.0,0.0,0.0,,
253402,2020-03-27,Putnam,West Virginia,54079.0,3,0,79,West Virginia,Putnam,56450,5.314437555358724,0.0,0.0,1.7714791851195746,0.0,,
253403,2020-03-28,Putnam,West Virginia,54079.0,3,0,79,West Virginia,Putnam,56450,5.314437555358724,0.0,0.0,0.0,0.0,0.5061369100341642,0.0
253404,2020-03-29,Putnam,West Virginia,54079.0,3,0,79,West Virginia,Putnam,56450,5.314437555358724,0.0,0.0,0.0,0.0,0.5061369100341642,0.0
253405,2020-03-30,Putnam,West Virginia,54079.0,4,0,79,West Virginia,Putnam,56450,7.085916740478299,0.0,0.0,1.771479185119575,0.0,0.7592053650512464,0.0
253406,2020-03-31,Putnam,West Virginia,54079.0,4,0,79,West Virginia,Putnam,56450,7.085916740478299,0.0,0.0,0.0,0.0,0.7592053650512464,0.0
253407,2020-04-01,Putnam,West Virginia,54079.0,5,0,79,West Virginia,Putnam,56450,8.857395925597874,0.0,0.0,1.771479185119575,0.0,0.7592053650512464,0.0
253408,2020-04-02,Putnam,West Virginia,54079.0,5,0,79,West Virginia,Putnam,56450,8.857395925597874,0.0,0.0,0.0,0.0,0.7592053650512464,0.0
253409,2020-04-03,Putnam,West Virginia,54079.0,5,0,79,West Virginia,Putnam,56450,8.857395925597874,0.0,0.0,0.0,0.0,0.5061369100341643,0.0
253410,2020-04-04,Putnam,West Virginia,54079.0,5,0,79,West Virginia,Putnam,56450,8.857395925597874,0.0,0.0,0.0,0.0,0.5061369100341643,0.0
253411,2020-04-05,Putnam,West Virginia,54079.0,6,0,79,West Virginia,Putnam,56450,10.628875110717448,0.0,0.0,1.7714791851195741,0.0,0.7592053650512464,0.0
253412,2020-04-06,Putnam,West Virginia,54079.0,8,0,79,West Virginia,Putnam,56450,14.171833480956598,0.0,0.0,3.54295837023915,0.0,1.0122738200683286,0.0
253413,2020-04-07,Putnam,West Virginia,54079.0,10,0,79,West Virginia,Putnam,56450,17.71479185119575,0.0,0.0,3.54295837023915,0.0,1.5184107301024927,0.0
253414,2020-04-08,Putnam,West Virginia,54079.0,10,0,79,West Virginia,Putnam,56450,17.71479185119575,0.0,0.0,0.0,0.0,1.2653422750854106,0.0
253415,2020-04-09,Putnam,West Virginia,54079.0,11,0,79,West Virginia,Putnam,56450,19.486271036315323,0.0,0.0,1.7714791851195741,0.0,1.5184107301024927,0.0
253416,2020-04-10,Putnam,West Virginia,54079.0,11,0,79,West Virginia,Putnam,56450,19.486271036315323,0.0,0.0,0.0,0.0,1.5184107301024927,0.0
253417,2020-04-11,Putnam,West Virginia,54079.0,11,0,79,West Virginia,Putnam,56450,19.486271036315323,0.0,0.0,0.0,0.0,1.5184107301024927,0.0
253418,2020-04-12,Putnam,West Virginia,54079.0,11,0,79,West Virginia,Putnam,56450,19.486271036315323,0.0,0.0,0.0,0.0,1.2653422750854106,0.0
253419,2020-04-13,Putnam,West Virginia,54079.0,12,0,79,West Virginia,Putnam,56450,21.257750221434897,0.0,0.0,1.7714791851195741,0.0,1.0122738200683283,0.0
253420,2020-04-14,Putnam,West Virginia,54079.0,13,0,79,West Virginia,Putnam,56450,23.02922940655447,0.0,0.0,1.7714791851195741,0.0,0.759205365051246,0.0
253421,2020-04-15,Putnam,West Virginia,54079.0,13,0,79,West Virginia,Putnam,56450,23.02922940655447,0.0,0.0,0.0,0.0,0.759205365051246,0.0
253422,2020-04-16,Putnam,West Virginia,54079.0,13,0,79,West Virginia,Putnam,56450,23.02922940655447,0.0,0.0,0.0,0.0,0.5061369100341641,0.0
253423,2020-04-17,Putnam,West Virginia,54079.0,14,0,79,West Virginia,Putnam,56450,24.80070859167405,0.0,0.0,1.7714791851195777,0.0,0.7592053650512466,0.0
253424,2020-04-18,Putnam,West Virginia,54079.0,14,0,79,West Virginia,Putnam,56450,24.80070859167405,0.0,0.0,0.0,0.0,0.7592053650512466,0.0
253425,2020-04-19,Putnam,West Virginia,54079.0,14,0,79,West Virginia,Putnam,56450,24.80070859167405,0.0,0.0,0.0,0.0,0.7592053650512466,0.0
253426,2020-04-20,Putnam,West Virginia,54079.0,15,0,79,West Virginia,Putnam,56450,26.57218777679362,0.0,0.0,1.7714791851195706,0.0,0.759205365051246,0.0
253427,2020-04-21,Putnam,West Virginia,54079.0,16,0,79,West Virginia,Putnam,56450,28.343666961913197,0.0,0.0,1.7714791851195777,0.0,0.7592053650512466,0.0
253428,2020-04-22,Putnam,West Virginia,54079.0,16,0,79,West Virginia,Putnam,56450,28.343666961913197,0.0,0.0,0.0,0.0,0.7592053650512466,0.0
253429,2020-04-23,Putnam,West Virginia,54079.0,17,0,79,West Virginia,Putnam,56450,30.11514614703277,0.0,0.0,1.7714791851195741,0.0,1.0122738200683286,0.0
253430,2020-04-24,Putnam,West Virginia,54079.0,16,0,79,West Virginia,Putnam,56450,28.343666961913197,0.0,0.0,-1.7714791851195741,0.0,0.5061369100341641,0.0
253431,2020-04-25,Putnam,West Virginia,54079.0,17,0,79,West Virginia,Putnam,56450,30.11514614703277,0.0,0.0,1.7714791851195741,0.0,0.759205365051246,0.0
253432,2020-04-26,Putnam,West Virginia,54079.0,18,0,79,West Virginia,Putnam,56450,31.88662533215235,0.0,0.0,1.7714791851195777,0.0,1.0122738200683286,0.0
253433,2020-04-27,Putnam,West Virginia,54079.0,21,0,79,West Virginia,Putnam,56450,37.20106288751107,0.0,0.0,5.314437555358722,0.0,1.5184107301024932,0.0
253434,2020-04-28,Putnam,West Virginia,54079.0,22,0,79,West Virginia,Putnam,56450,38.972542072630645,0.0,0.0,1.7714791851195741,0.0,1.5184107301024927,0.0
253435,2020-04-29,Putnam,West Virginia,54079.0,25,0,79,West Virginia,Putnam,56450,44.286979627989375,0.0,0.0,5.3144375553587295,0.0,2.2776160951537396,0.0
253436,2020-04-30,Putnam,West Virginia,54079.0,25,0,79,West Virginia,Putnam,56450,44.286979627989375,0.0,0.0,0.0,0.0,2.0245476401366576,0.0
253437,2020-05-01,Putnam,West Virginia,54079.0,27,1,79,West Virginia,Putnam,56450,47.82993799822852,1.7714791851195748,0.037037037037037035,3.5429583702391483,1.7714791851195748,2.783753005187904,0.25306845501708214
253438,2020-05-02,Putnam,West Virginia,54079.0,27,0,79,West Virginia,Putnam,56450,47.82993799822852,0.0,0.0,0.0,-1.7714791851195748,2.5306845501708217,0.0
253439,2020-05-03,Putnam,West Virginia,54079.0,28,0,79,West Virginia,Putnam,56450,49.6014171833481,0.0,0.0,1.7714791851195741,0.0,2.5306845501708213,0.0
253440,2020-05-04,Putnam,West Virginia,54079.0,29,0,79,West Virginia,Putnam,56450,51.37289636846767,0.0,0.0,1.7714791851195741,0.0,2.024547640136657,0.0
253441,2020-05-05,Putnam,West Virginia,54079.0,27,0,79,West Virginia,Putnam,56450,47.82993799822852,0.0,0.0,-3.5429583702391483,0.0,1.265342275085411,0.0
253442,2020-05-06,Putnam,West Virginia,54079.0,27,0,79,West Virginia,Putnam,56450,47.82993799822852,0.0,0.0,0.0,0.0,0.5061369100341641,0.0
253443,2020-05-07,Putnam,West Virginia,54079.0,27,0,79,West Virginia,Putnam,56450,47.82993799822852,0.0,0.0,0.0,0.0,0.5061369100341641,0.0
253444,2020-05-08,Putnam,West Virginia,54079.0,27,0,79,West Virginia,Putnam,56450,47.82993799822852,0.0,0.0,0.0,0.0,0.0,-0.25306845501708214
253445,2020-05-09,Putnam,West Virginia,54079.0,27,0,79,West Virginia,Putnam,56450,47.82993799822852,0.0,0.0,0.0,0.0,0.0,0.0
253446,2020-05-10,Putnam,West Virginia,54079.0,27,0,79,West Virginia,Putnam,56450,47.82993799822852,0.0,0.0,0.0,0.0,-0.25306845501708203,0.0
253447,2020-05-11,Putnam,West Virginia,54079.0,28,0,79,West Virginia,Putnam,56450,49.6014171833481,0.0,0.0,1.7714791851195741,0.0,-0.25306845501708203,0.0
253448,2020-05-12,Putnam,West Virginia,54079.0,28,0,79,West Virginia,Putnam,56450,49.6014171833481,0.0,0.0,0.0,0.0,0.25306845501708203,0.0
253449,2020-05-13,Putnam,West Virginia,54079.0,29,0,79,West Virginia,Putnam,56450,51.37289636846767,0.0,0.0,1.7714791851195741,0.0,0.5061369100341641,0.0
253450,2020-05-14,Putnam,West Virginia,54079.0,29,0,79,West Virginia,Putnam,56450,51.37289636846767,0.0,0.0,0.0,0.0,0.5061369100341641,0.0
253451,2020-05-15,Putnam,West Virginia,54079.0,29,0,79,West Virginia,Putnam,56450,51.37289636846767,0.0,0.0,0.0,0.0,0.5061369100341641,0.0
253452,2020-05-16,Putnam,West Virginia,54079.0,29,0,79,West Virginia,Putnam,56450,51.37289636846767,0.0,0.0,0.0,0.0,0.5061369100341641,0.0
253453,2020-05-17,Putnam,West Virginia,54079.0,29,0,79,West Virginia,Putnam,56450,51.37289636846767,0.0,0.0,0.0,0.0,0.5061369100341641,0.0
253454,2020-05-18,Putnam,West Virginia,54079.0,29,0,79,West Virginia,Putnam,56450,51.37289636846767,0.0,0.0,0.0,0.0,0.25306845501708203,0.0
253455,2020-05-19,Putnam,West Virginia,54079.0,29,0,79,West Virginia,Putnam,56450,51.37289636846767,0.0,0.0,0.0,0.0,0.25306845501708203,0.0
253456,2020-05-20,Putnam,West Virginia,54079.0,30,0,79,West Virginia,Putnam,56450,53.14437555358724,0.0,0.0,1.771479185119567,0.0,0.25306845501708103,0.0
253457,2020-05-21,Putnam,West Virginia,54079.0,31,0,79,West Virginia,Putnam,56450,54.91585473870682,0.0,0.0,1.7714791851195812,0.0,0.5061369100341641,0.0
253458,2020-05-22,Putnam,West Virginia,54079.0,31,0,79,West Virginia,Putnam,56450,54.91585473870682,0.0,0.0,0.0,0.0,0.5061369100341641,0.0
253459,2020-05-23,Putnam,West Virginia,54079.0,31,0,79,West Virginia,Putnam,56450,54.91585473870682,0.0,0.0,0.0,0.0,0.5061369100341641,0.0
253460,2020-05-24,Putnam,West Virginia,54079.0,32,0,79,West Virginia,Putnam,56450,56.687333923826394,0.0,0.0,1.7714791851195741,0.0,0.759205365051246,0.0
253461,2020-05-25,Putnam,West Virginia,54079.0,32,0,79,West Virginia,Putnam,56450,56.687333923826394,0.0,0.0,0.0,0.0,0.759205365051246,0.0
253462,2020-05-26,Putnam,West Virginia,54079.0,33,0,79,West Virginia,Putnam,56450,58.458813108945975,0.0,0.0,1.7714791851195812,0.0,1.012273820068329,0.0
253463,2020-05-27,Putnam,West Virginia,54079.0,33,1,79,West Virginia,Putnam,56450,58.458813108945975,1.7714791851195748,0.030303030303030304,0.0,1.7714791851195748,0.7592053650512481,0.25306845501708214
253464,2020-05-28,Putnam,West Virginia,54079.0,35,1,79,West Virginia,Putnam,56450,62.001771479185116,1.7714791851195748,0.02857142857142857,3.542958370239141,0.0,1.0122738200683281,0.25306845501708214
253465,2020-05-29,Putnam,West Virginia,54079.0,35,0,79,West Virginia,Putnam,56450,62.001771479185116,0.0,0.0,0.0,-1.7714791851195748,1.0122738200683281,0.0
253466,2020-05-30,Putnam,West Virginia,54079.0,35,0,79,West Virginia,Putnam,56450,62.001771479185116,0.0,0.0,0.0,0.0,1.0122738200683281,0.0
253467,2020-05-31,Putnam,West Virginia,54079.0,34,0,79,West Virginia,Putnam,56450,60.23029229406554,0.0,0.0,-1.7714791851195741,0.0,0.5061369100341641,0.0
253468,2020-06-01,Putnam,West Virginia,54079.0,34,0,79,West Virginia,Putnam,56450,60.23029229406554,0.0,0.0,0.0,0.0,0.5061369100341641,0.0
253469,2020-06-02,Putnam,West Virginia,54079.0,37,0,79,West Virginia,Putnam,56450,65.54472984942426,0.0,0.0,5.314437555358715,0.0,1.0122738200683261,0.0
253470,2020-06-03,Putnam,West Virginia,54079.0,38,0,79,West Virginia,Putnam,56450,67.31620903454385,0.0,0.0,1.7714791851195884,0.0,1.2653422750854102,-0.25306845501708214
253471,2020-06-04,Putnam,West Virginia,54079.0,38,0,79,West Virginia,Putnam,56450,67.31620903454385,0.0,0.0,0.0,0.0,0.759205365051247,-0.25306845501708214
253472,2020-06-05,Putnam,West Virginia,54079.0,38,0,79,West Virginia,Putnam,56450,67.31620903454385,0.0,0.0,0.0,0.0,0.759205365051247,0.0
253473,2020-06-06,Putnam,West Virginia,54079.0,39,0,79,West Virginia,Putnam,56450,69.08768821966342,0.0,0.0,1.7714791851195741,0.0,1.012273820068329,0.0
253474,2020-06-07,Putnam,West Virginia,54079.0,39,0,79,West Virginia,Putnam,56450,69.08768821966342,0.0,0.0,0.0,0.0,1.265342275085411,0.0
253475,2020-06-08,Putnam,West Virginia,54079.0,40,0,79,West Virginia,Putnam,56450,70.859167404783,0.0,0.0,1.7714791851195741,0.0,1.5184107301024932,0.0
253476,2020-06-09,Putnam,West Virginia,54079.0,40,0,79,West Virginia,Putnam,56450,70.859167404783,0.0,0.0,0.0,0.0,0.7592053650512481,0.0
253477,2020-06-10,Putnam,West Virginia,54079.0,41,0,79,West Virginia,Putnam,56450,72.63064658990257,0.0,0.0,1.7714791851195741,0.0,0.759205365051246,0.0
253478,2020-06-11,Putnam,West Virginia,54079.0,41,0,79,West Virginia,Putnam,56450,72.63064658990257,0.0,0.0,0.0,0.0,0.759205365051246,0.0
253479,2020-06-12,Putnam,West Virginia,54079.0,42,0,79,West Virginia,Putnam,56450,74.40212577502214,0.0,0.0,1.7714791851195741,0.0,1.0122738200683281,0.0
253480,2020-06-13,Putnam,West Virginia,54079.0,42,0,79,West Virginia,Putnam,56450,74.40212577502214,0.0,0.0,0.0,0.0,0.759205365051246,0.0
253481,2020-06-14,Putnam,West Virginia,54079.0,42,0,79,West Virginia,Putnam,56450,74.40212577502214,0.0,0.0,0.0,0.0,0.759205365051246,0.0
253482,2020-06-15,Putnam,West Virginia,54079.0,42,0,79,West Virginia,Putnam,56450,74.40212577502214,0.0,0.0,0.0,0.0,0.5061369100341641,0.0
253483,2020-06-16,Putnam,West Virginia,54079.0,42,0,79,West Virginia,Putnam,56450,74.40212577502214,0.0,0.0,0.0,0.0,0.5061369100341641,0.0
253484,2020-06-17,Putnam,West Virginia,54079.0,40,0,79,West Virginia,Putnam,56450,70.859167404783,0.0,0.0,-3.5429583702391483,0.0,-0.25306845501708203,0.0
253485,2020-06-18,Putnam,West Virginia,54079.0,40,0,79,West Virginia,Putnam,56450,70.859167404783,0.0,0.0,0.0,0.0,-0.25306845501708203,0.0
253486,2020-06-19,Putnam,West Virginia,54079.0,41,0,79,West Virginia,Putnam,56450,72.63064658990257,0.0,0.0,1.7714791851195741,0.0,-0.25306845501708203,0.0
253487,2020-06-20,Putnam,West Virginia,54079.0,44,0,79,West Virginia,Putnam,56450,77.94508414526129,0.0,0.0,5.314437555358722,0.0,0.5061369100341641,0.0
253488,2020-06-21,Putnam,West Virginia,54079.0,44,0,79,West Virginia,Putnam,56450,77.94508414526129,0.0,0.0,0.0,0.0,0.5061369100341641,0.0
253489,2020-06-22,Putnam,West Virginia,54079.0,45,0,79,West Virginia,Putnam,56450,79.71656333038086,0.0,0.0,1.7714791851195741,0.0,0.759205365051246,0.0
253490,2020-06-23,Putnam,West Virginia,54079.0,44,0,79,West Virginia,Putnam,56450,77.94508414526129,0.0,0.0,-1.7714791851195741,0.0,0.5061369100341641,0.0
