,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,per_100k,new_cases,new_cases_ra
668616,2020-05-14,Burnett,Wisconsin,55013.0,1,1,13,Wisconsin,Burnett,15414,6.48760866744518,,
668617,2020-05-15,Burnett,Wisconsin,55013.0,1,1,13,Wisconsin,Burnett,15414,6.48760866744518,0.0,
668618,2020-05-16,Burnett,Wisconsin,55013.0,1,1,13,Wisconsin,Burnett,15414,6.48760866744518,0.0,
668619,2020-05-17,Burnett,Wisconsin,55013.0,1,1,13,Wisconsin,Burnett,15414,6.48760866744518,0.0,
668620,2020-05-18,Burnett,Wisconsin,55013.0,2,1,13,Wisconsin,Burnett,15414,12.97521733489036,6.48760866744518,
668621,2020-05-19,Burnett,Wisconsin,55013.0,1,1,13,Wisconsin,Burnett,15414,6.48760866744518,-6.48760866744518,
668622,2020-05-20,Burnett,Wisconsin,55013.0,1,1,13,Wisconsin,Burnett,15414,6.48760866744518,0.0,
668623,2020-05-21,Burnett,Wisconsin,55013.0,1,1,13,Wisconsin,Burnett,15414,6.48760866744518,0.0,
668624,2020-05-22,Burnett,Wisconsin,55013.0,1,1,13,Wisconsin,Burnett,15414,6.48760866744518,0.0,
668625,2020-05-23,Burnett,Wisconsin,55013.0,1,1,13,Wisconsin,Burnett,15414,6.48760866744518,0.0,
668626,2020-05-24,Burnett,Wisconsin,55013.0,1,1,13,Wisconsin,Burnett,15414,6.48760866744518,0.0,
668627,2020-05-25,Burnett,Wisconsin,55013.0,1,1,13,Wisconsin,Burnett,15414,6.48760866744518,0.0,
668628,2020-05-26,Burnett,Wisconsin,55013.0,1,1,13,Wisconsin,Burnett,15414,6.48760866744518,0.0,
668629,2020-05-27,Burnett,Wisconsin,55013.0,1,1,13,Wisconsin,Burnett,15414,6.48760866744518,0.0,
668630,2020-05-28,Burnett,Wisconsin,55013.0,1,1,13,Wisconsin,Burnett,15414,6.48760866744518,0.0,0.0
668631,2020-05-29,Burnett,Wisconsin,55013.0,1,1,13,Wisconsin,Burnett,15414,6.48760866744518,0.0,0.0
668632,2020-05-30,Burnett,Wisconsin,55013.0,1,1,13,Wisconsin,Burnett,15414,6.48760866744518,0.0,0.0
668633,2020-05-31,Burnett,Wisconsin,55013.0,1,1,13,Wisconsin,Burnett,15414,6.48760866744518,0.0,0.0
