,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,per_100k,new_cases,new_cases_ra
629543,2020-04-13,Green Lake,Wisconsin,55047.0,1,0,47,Wisconsin,Green Lake,18913,5.287368476709142,,
629544,2020-04-14,Green Lake,Wisconsin,55047.0,1,0,47,Wisconsin,Green Lake,18913,5.287368476709142,0.0,
629545,2020-04-15,Green Lake,Wisconsin,55047.0,1,0,47,Wisconsin,Green Lake,18913,5.287368476709142,0.0,
629546,2020-04-16,Green Lake,Wisconsin,55047.0,1,0,47,Wisconsin,Green Lake,18913,5.287368476709142,0.0,
629547,2020-04-17,Green Lake,Wisconsin,55047.0,1,0,47,Wisconsin,Green Lake,18913,5.287368476709142,0.0,
629548,2020-04-18,Green Lake,Wisconsin,55047.0,1,0,47,Wisconsin,Green Lake,18913,5.287368476709142,0.0,
629549,2020-04-19,Green Lake,Wisconsin,55047.0,1,0,47,Wisconsin,Green Lake,18913,5.287368476709142,0.0,
629550,2020-04-20,Green Lake,Wisconsin,55047.0,1,0,47,Wisconsin,Green Lake,18913,5.287368476709142,0.0,
629551,2020-04-21,Green Lake,Wisconsin,55047.0,1,0,47,Wisconsin,Green Lake,18913,5.287368476709142,0.0,
629552,2020-04-22,Green Lake,Wisconsin,55047.0,1,0,47,Wisconsin,Green Lake,18913,5.287368476709142,0.0,
629553,2020-04-23,Green Lake,Wisconsin,55047.0,1,0,47,Wisconsin,Green Lake,18913,5.287368476709142,0.0,
629554,2020-04-24,Green Lake,Wisconsin,55047.0,1,0,47,Wisconsin,Green Lake,18913,5.287368476709142,0.0,
629555,2020-04-25,Green Lake,Wisconsin,55047.0,1,0,47,Wisconsin,Green Lake,18913,5.287368476709142,0.0,
629556,2020-04-26,Green Lake,Wisconsin,55047.0,1,0,47,Wisconsin,Green Lake,18913,5.287368476709142,0.0,
629557,2020-04-27,Green Lake,Wisconsin,55047.0,2,0,47,Wisconsin,Green Lake,18913,10.574736953418284,5.287368476709142,0.3776691769077959
629558,2020-04-28,Green Lake,Wisconsin,55047.0,2,0,47,Wisconsin,Green Lake,18913,10.574736953418284,0.0,0.3776691769077959
629559,2020-04-29,Green Lake,Wisconsin,55047.0,2,0,47,Wisconsin,Green Lake,18913,10.574736953418284,0.0,0.3776691769077959
629560,2020-04-30,Green Lake,Wisconsin,55047.0,2,0,47,Wisconsin,Green Lake,18913,10.574736953418284,0.0,0.3776691769077959
629561,2020-05-01,Green Lake,Wisconsin,55047.0,3,0,47,Wisconsin,Green Lake,18913,15.862105430127427,5.287368476709142,0.7553383538155918
629562,2020-05-02,Green Lake,Wisconsin,55047.0,3,0,47,Wisconsin,Green Lake,18913,15.862105430127427,0.0,0.7553383538155918
629563,2020-05-03,Green Lake,Wisconsin,55047.0,3,0,47,Wisconsin,Green Lake,18913,15.862105430127427,0.0,0.7553383538155918
629564,2020-05-04,Green Lake,Wisconsin,55047.0,5,0,47,Wisconsin,Green Lake,18913,26.43684238354571,10.574736953418283,1.5106767076311836
629565,2020-05-05,Green Lake,Wisconsin,55047.0,5,0,47,Wisconsin,Green Lake,18913,26.43684238354571,0.0,1.5106767076311836
629566,2020-05-06,Green Lake,Wisconsin,55047.0,5,0,47,Wisconsin,Green Lake,18913,26.43684238354571,0.0,1.5106767076311836
629567,2020-05-07,Green Lake,Wisconsin,55047.0,5,0,47,Wisconsin,Green Lake,18913,26.43684238354571,0.0,1.5106767076311836
629568,2020-05-08,Green Lake,Wisconsin,55047.0,6,0,47,Wisconsin,Green Lake,18913,31.724210860254853,5.287368476709144,1.8883458845389796
629569,2020-05-09,Green Lake,Wisconsin,55047.0,7,0,47,Wisconsin,Green Lake,18913,37.01157933696399,5.287368476709137,2.266015061446775
629570,2020-05-10,Green Lake,Wisconsin,55047.0,8,0,47,Wisconsin,Green Lake,18913,42.29894781367314,5.287368476709148,2.643684238354571
629571,2020-05-11,Green Lake,Wisconsin,55047.0,8,0,47,Wisconsin,Green Lake,18913,42.29894781367314,0.0,2.2660150614467756
629572,2020-05-12,Green Lake,Wisconsin,55047.0,8,0,47,Wisconsin,Green Lake,18913,42.29894781367314,0.0,2.2660150614467756
629573,2020-05-13,Green Lake,Wisconsin,55047.0,10,0,47,Wisconsin,Green Lake,18913,52.87368476709142,10.574736953418281,3.021353415262367
629574,2020-05-14,Green Lake,Wisconsin,55047.0,10,0,47,Wisconsin,Green Lake,18913,52.87368476709142,0.0,3.021353415262367
629575,2020-05-15,Green Lake,Wisconsin,55047.0,10,0,47,Wisconsin,Green Lake,18913,52.87368476709142,0.0,2.643684238354571
629576,2020-05-16,Green Lake,Wisconsin,55047.0,10,0,47,Wisconsin,Green Lake,18913,52.87368476709142,0.0,2.643684238354571
629577,2020-05-17,Green Lake,Wisconsin,55047.0,11,0,47,Wisconsin,Green Lake,18913,58.16105324380056,5.2873684767091405,3.021353415262367
629578,2020-05-18,Green Lake,Wisconsin,55047.0,11,0,47,Wisconsin,Green Lake,18913,58.16105324380056,0.0,2.2660150614467756
629579,2020-05-19,Green Lake,Wisconsin,55047.0,11,0,47,Wisconsin,Green Lake,18913,58.16105324380056,0.0,2.2660150614467756
629580,2020-05-20,Green Lake,Wisconsin,55047.0,11,0,47,Wisconsin,Green Lake,18913,58.16105324380056,0.0,2.2660150614467756
629581,2020-05-21,Green Lake,Wisconsin,55047.0,12,0,47,Wisconsin,Green Lake,18913,63.44842172050971,5.287368476709148,2.6436842383545716
629582,2020-05-22,Green Lake,Wisconsin,55047.0,13,0,47,Wisconsin,Green Lake,18913,68.73579019721885,5.2873684767091405,2.6436842383545716
629583,2020-05-23,Green Lake,Wisconsin,55047.0,14,0,47,Wisconsin,Green Lake,18913,74.02315867392798,5.287368476709133,2.6436842383545716
629584,2020-05-24,Green Lake,Wisconsin,55047.0,14,0,47,Wisconsin,Green Lake,18913,74.02315867392798,0.0,2.2660150614467756
629585,2020-05-25,Green Lake,Wisconsin,55047.0,15,0,47,Wisconsin,Green Lake,18913,79.31052715063713,5.287368476709148,2.6436842383545716
629586,2020-05-26,Green Lake,Wisconsin,55047.0,15,0,47,Wisconsin,Green Lake,18913,79.31052715063713,0.0,2.6436842383545716
629587,2020-05-27,Green Lake,Wisconsin,55047.0,16,0,47,Wisconsin,Green Lake,18913,84.59789562734628,5.287368476709148,2.2660150614467764
629588,2020-05-28,Green Lake,Wisconsin,55047.0,16,0,47,Wisconsin,Green Lake,18913,84.59789562734628,0.0,2.2660150614467764
629589,2020-05-29,Green Lake,Wisconsin,55047.0,18,0,47,Wisconsin,Green Lake,18913,95.17263258076456,10.574736953418281,3.021353415262368
629590,2020-05-30,Green Lake,Wisconsin,55047.0,19,0,47,Wisconsin,Green Lake,18913,100.46000105747369,5.287368476709133,3.399022592170163
629591,2020-05-31,Green Lake,Wisconsin,55047.0,20,0,47,Wisconsin,Green Lake,18913,105.74736953418284,5.287368476709148,3.3990225921701636
629592,2020-06-01,Green Lake,Wisconsin,55047.0,20,0,47,Wisconsin,Green Lake,18913,105.74736953418284,0.0,3.3990225921701636
