,date,county,state,fips,cases,deaths,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,cases_per_100k,deaths_per_100k,death_rate,new_cases,new_cases_per_100k,new_deaths,new_cases_per_100k_ra,new_deaths_ra,active_cases,infected_to_one
131776,2020-03-16,Wood,Wisconsin,55141.0,1,0.0,141,Wisconsin,Wood,72999,1.369881779202455,0.0,0.0,,,,,,,
131777,2020-03-17,Wood,Wisconsin,55141.0,1,0.0,141,Wisconsin,Wood,72999,1.369881779202455,0.0,0.0,0.0,0.0,0.0,,,,
131778,2020-03-18,Wood,Wisconsin,55141.0,1,0.0,141,Wisconsin,Wood,72999,1.369881779202455,0.0,0.0,0.0,0.0,0.0,,,,
131779,2020-03-19,Wood,Wisconsin,55141.0,1,0.0,141,Wisconsin,Wood,72999,1.369881779202455,0.0,0.0,0.0,0.0,0.0,,,,
131780,2020-03-20,Wood,Wisconsin,55141.0,1,0.0,141,Wisconsin,Wood,72999,1.369881779202455,0.0,0.0,0.0,0.0,0.0,,,,
131781,2020-03-21,Wood,Wisconsin,55141.0,1,0.0,141,Wisconsin,Wood,72999,1.369881779202455,0.0,0.0,0.0,0.0,0.0,,,,
131782,2020-03-22,Wood,Wisconsin,55141.0,1,0.0,141,Wisconsin,Wood,72999,1.369881779202455,0.0,0.0,0.0,0.0,0.0,,,,
131783,2020-03-23,Wood,Wisconsin,55141.0,1,0.0,141,Wisconsin,Wood,72999,1.369881779202455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
131784,2020-03-24,Wood,Wisconsin,55141.0,1,0.0,141,Wisconsin,Wood,72999,1.369881779202455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
131785,2020-03-25,Wood,Wisconsin,55141.0,1,0.0,141,Wisconsin,Wood,72999,1.369881779202455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
131786,2020-03-26,Wood,Wisconsin,55141.0,2,0.0,141,Wisconsin,Wood,72999,2.73976355840491,0.0,0.0,1.0,1.369881779202455,0.0,0.19569739702892214,0.0,1.0,18249.75
131787,2020-03-27,Wood,Wisconsin,55141.0,2,0.0,141,Wisconsin,Wood,72999,2.73976355840491,0.0,0.0,0.0,0.0,0.0,0.19569739702892214,0.0,1.0,18249.75
131788,2020-03-28,Wood,Wisconsin,55141.0,2,0.0,141,Wisconsin,Wood,72999,2.73976355840491,0.0,0.0,0.0,0.0,0.0,0.19569739702892214,0.0,1.0,18249.75
131789,2020-03-29,Wood,Wisconsin,55141.0,2,0.0,141,Wisconsin,Wood,72999,2.73976355840491,0.0,0.0,0.0,0.0,0.0,0.19569739702892214,0.0,1.0,18249.75
131790,2020-03-30,Wood,Wisconsin,55141.0,2,0.0,141,Wisconsin,Wood,72999,2.73976355840491,0.0,0.0,0.0,0.0,0.0,0.19569739702892214,0.0,1.0,18249.75
131791,2020-03-31,Wood,Wisconsin,55141.0,2,0.0,141,Wisconsin,Wood,72999,2.73976355840491,0.0,0.0,0.0,0.0,0.0,0.19569739702892214,0.0,1.0,18249.75
131792,2020-04-01,Wood,Wisconsin,55141.0,2,0.0,141,Wisconsin,Wood,72999,2.73976355840491,0.0,0.0,0.0,0.0,0.0,0.19569739702892214,0.0,1.0,18249.75
131793,2020-04-02,Wood,Wisconsin,55141.0,2,0.0,141,Wisconsin,Wood,72999,2.73976355840491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18249.75
131794,2020-04-03,Wood,Wisconsin,55141.0,2,0.0,141,Wisconsin,Wood,72999,2.73976355840491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf
